cluster.index	parent.mass	RTMean	LibraryID	MetFragID	MetFragSC	FusionID	FusionSC	ConsensusID	ConsensusSC
2	280.2635	0	N/A	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds	CHEBI:82984#SN00397241#CHEBI:87149	Lipids and lipid-like molecules#Organoheterocyclic compounds
3	256.2637	0	SpectralMatchtoPalmitamidefromNIST14						
4	310.3104	0	N/A						
5	338.3419	0	SpectralMatchtoN-CyclohexanecarbonylpentadecylaminefromNIST14						
7	458.1679	0	N/A	SN00003461#SN00008758#SN00089643#SN00014247#SN00014692#SN00017444#SN00017443#SN00053571#CHEBI:79623#SN00007694#SN00008506#SN00011013#SN00365270#SN00011015	Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids			SN00003461#SN00008758#SN00089643#SN00014247#SN00014692#SN00017444#SN00017443#SN00053571#CHEBI:79623#SN00007694#SN00008506#SN00011013#SN00365270#SN00011015	Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids
8	563.5518	0	SpectralMatchto9-Octadecenamide,(Z)-fromNIST14						
9	254.248	0	N/A						
10	388.2547	0	N/A	SN00013962#CHEBI:107874#SN00170867#SN00099742	Alkaloids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules			SN00013962#CHEBI:107874#SN00170867#SN00099742	Alkaloids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules
11	344.2285	0	N/A	SN00027959#SN00093333#SN00021873	Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00027959#SN00093333#SN00021873	Lipids and lipid-like molecules#Organoheterocyclic compounds
12	398.1669	0	N/A	SN00138487#SN00113857#SN00387862#SN00010181#SN00104852#SN00005083#SN00022155	Organic acids and derivatives#Organoheterocyclic compounds			SN00138487#SN00113857#SN00387862#SN00010181#SN00104852#SN00005083#SN00022155	Organic acids and derivatives#Organoheterocyclic compounds
14	758.2231	0	N/A	SN00231792#SN00269961#SN00325999#SN00283577#SN00402791#SN00363578#SN00316978#SN00317158#SN00347298#SN00380595	Phenylpropanoids and polyketides			SN00231792#SN00269961#SN00325999#SN00283577#SN00402791#SN00363578#SN00316978#SN00317158#SN00347298#SN00380595	Phenylpropanoids and polyketides
16	518.1371	0	N/A	CHEBI:110127#CHEBI:125174#SN00005383#SN00099503	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids			SN00042141#SN00083822	Benzenoids#Organic acids and derivatives
17	228.2325	0	N/A	SN00258674#SN00298347#SN00228070	Organic nitrogen compounds			SN00258674#SN00298347#SN00228070	Organic nitrogen compounds
18	476.3069	0	N/A	SN00344364#SN00336176#CHEBI:7528	Organic oxygen compounds			SN00344364#SN00336176#CHEBI:7528	Organic oxygen compounds
20	226.9518	0	N/A						
21	192.1384	0	Diethyltoluamide	SN00262152#CCMSLIB00004679313#SN00238223#SN00118011#SN00118015	Benzenoids#Lipids and lipid-like molecules	SN00359525#SN00349623#SN00051785#SN00120740	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids	SN00359525#SN00349623#SN00051785#SN00120740	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids
22	520.3332	0	N/A	SN00034802#SN00143614#SN00168112#SN00166159	Lipids and lipid-like molecules			CHEBI:76084#SN00024230#CCMSLIB00000574215#SN00176301	Lipids and lipid-like molecules#Benzenoids
23	610.1851	0	N/A	SN00272694#SN00272269#SN00271876	Phenylpropanoids and polyketides			SN00272694#SN00272269#SN00271876	Phenylpropanoids and polyketides
25	283.1742	0	Hexaethyleneglycol	CHEBI:49793	Organic oxygen compounds	CHEBI:49793	Organic oxygen compounds	CHEBI:49793	Organic oxygen compounds
26	684.2043	0	N/A						
27	296.2583	0	N/A						
29	564.3575	0	N/A						
30	850.2526	0	N/A						
31	339.3011	0	N/A						
32	284.2069	0	N/A	CHEBI:118037	Organic oxygen compounds			SN00027428#SN00085776#SN00018493	Organic oxygen compounds#Alkaloids and derivatives#Organoheterocyclic compounds
35	239.1484	0	Pentaethyleneglycol	CHEBI:39631#SN00275652	Organic oxygen compounds#Lipids and lipid-like molecules	CHEBI:39631#SN00275652	Organic oxygen compounds#Lipids and lipid-like molecules	CHEBI:39631#SN00275652	Organic oxygen compounds#Lipids and lipid-like molecules
36	263.2371	0	10E,12Z-octadecadienoicacid	SN00160020#SN00272230#SN00338236#SN00322755#SN00254929#SN00158072#SN00355779#SN00224586#SN00368900	Lipids and lipid-like molecules#Organic oxygen compounds	SN00160020#SN00272230#SN00338236#SN00322755#SN00254929#SN00158072#SN00355779#SN00224586#SN00368900	Lipids and lipid-like molecules#Organic oxygen compounds	SN00160020#SN00272230#SN00338236#SN00322755#SN00254929#SN00158072#SN00355779#SN00224586#SN00368900	Lipids and lipid-like molecules#Organic oxygen compounds
38	318.2423	0	N/A	CHEBI:93825#SN00143132	Organoheterocyclic compounds#Benzenoids	SN00214922#SN00159284	Lipids and lipid-like molecules#Organoheterocyclic compounds	SN00046086#SN00007899	Organoheterocyclic compounds#Benzenoids
39	328.2332	0	N/A						
40	442.3379	0	N/A	SN00348430#SN00311705#SN00289440	Lipids and lipid-like molecules#Organic oxygen compounds	SN00348430#SN00311705#SN00289440	Lipids and lipid-like molecules#Organic oxygen compounds	CHEBI:64925#SN00167387#SN00006596	Lipids and lipid-like molecules
41	298.2739	0	N/A	SN00256903#CHEBI:73889#SN00213390	Organic nitrogen compounds#Organic oxygen compounds			SN00332740#SN00238370#SN00299540#SN00251610	Organoheterocyclic compounds#Alkaloids and derivatives
43	430.9141	0	N/A						
45	608.3853	0	N/A	CHEBI:127146#SN00172339	Benzenoids#Lipids and lipid-like molecules			SN00350047#SN00170758#SN00170742	Organic oxygen compounds#Organoheterocyclic compounds#Lipids and lipid-like molecules
46	367.2057	0	ThromboxaneB3	SN00232634#SN00312226#SN00215094	Lipids and lipid-like molecules			SN00330068#SN00321291#SN00283375#SN00283389#SN00357682#SN00394596#SN00263784#CHEBI:80834#SN00027345	Organoheterocyclic compounds#Alkaloids and derivatives
47	442.114	0	N/A	SN00090456#SN00050897#SN00061734#SN00074784#CHEBI:109741#SN00138378	Phenylpropanoids and polyketides#Organoheterocyclic compounds#Organic acids and derivatives			SN00090456#SN00050897#SN00061734#SN00074784#CHEBI:109741#SN00138378	Phenylpropanoids and polyketides#Organoheterocyclic compounds#Organic acids and derivatives
48	592.1559	0	N/A	SN00118771	Benzenoids			SN00118771	Benzenoids
49	532.1888	0	N/A	SN00325500#SN00173765#SN00098391#SN00167255	Alkaloids and derivatives#Organoheterocyclic compounds#Organic oxygen compounds			SN00325500#SN00173765#SN00098391#SN00167255	Alkaloids and derivatives#Organoheterocyclic compounds#Organic oxygen compounds
50	182.9854	0	N/A						
52	384.2961	0	N/A						
57	372.2597	0	N/A	CHEBI:129204#CHEBI:130935	Organoheterocyclic compounds			SN00027921#CHEBI:109445#SN00012627	Lipids and lipid-like molecules#Organoheterocyclic compounds#Benzenoids
58	500.3797	0	N/A	SN00163776#SN00167752#SN00136765	Lipids and lipid-like molecules	SN00163776#SN00167752#SN00136765	Lipids and lipid-like molecules	SN00163776#SN00167752#SN00136765	Lipids and lipid-like molecules
59	339.1742	0	N/A	CHEBI:117982#SN00123944#SN00054958#SN00337243#SN00004301#CHEBI:128584#SN00358751#SN00089822#CHEBI:82713	Organic oxygen compounds#Organoheterocyclic compounds#Organic acids and derivatives#Lipids and lipid-like molecules#Benzenoids	CHEBI:117982#SN00123944#SN00054958#SN00337243#SN00004301#CHEBI:128584#SN00358751#SN00089822#CHEBI:82713	Organic oxygen compounds#Organoheterocyclic compounds#Organic acids and derivatives#Lipids and lipid-like molecules#Benzenoids	SN00376135#SN00251461#CHEBI:70511#CCMSLIB00005436291#SN00286274	Organoheterocyclic compounds#Alkaloids and derivatives
61	251.1854	0	N/A	SN00000001#SN00167034#SN00167027	Benzenoids			SN00000001#SN00167034#SN00167027	Benzenoids
62	167.013	0	N/A						
65	628.1959	0	NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one						
66	532.1527	0	N/A	SN00050786#SN00105738#SN00165651#SN00166314	Phenylpropanoids and polyketides			SN00052372#SN00394690#SN00228827#SN00281132#CHEBI:64979	Organic acids and derivatives#Organoheterocyclic compounds#Alkaloids and derivatives#Phenylpropanoids and polyketides
67	327.201	0	N/A	CHEBI:44748#SN00103772#SN00034843#CCMSLIB00000842018	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids	CHEBI:44748#SN00103772#SN00034843#CCMSLIB00000842018	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids	CHEBI:44748#SN00103772#SN00034843#CCMSLIB00000842018	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids
68	385.1493	0	N/A	SN00308244#SN00145595#SN00146463#SN00156617#SN00066417#SN00019415#SN00123784#SN00074414#SN00144798#SN00144620#CHEBI:105328#CHEBI:113057#CHEBI:118802#CHEBI:84272	Benzenoids#Phenylpropanoids and polyketides#Hydrocarbon derivatives#Organoheterocyclic compounds#Organic acids and derivatives#Organometallic compounds			SN00240483#SN00382672#SN00240167#SN00355026#SN00321687#SN00249775#SN00328548#SN00239322#SN00236281#SN00385925	Organic oxygen compounds#Phenylpropanoids and polyketides#Lipids and lipid-like molecules
70	387.1934	0	N/A	SN00397880#SN00375835#SN00377142#SN00391439#SN00273554#SN00287834	Lipids and lipid-like molecules#Organic oxygen compounds			SN00291410#SN00131471#SN00022027#SN00025561#SN00269758#SN00017330#SN00113515#SN00402674#SN00052150#CHEBI:82700	Lipids and lipid-like molecules#Benzenoids#Organic acids and derivatives#Organic oxygen compounds#Organoheterocyclic compounds#Alkaloids and derivatives
71	278.2478	0	N/A	SN00304053#SN00303125#SN00282210	Organic nitrogen compounds			SN00253215#SN00309784#SN00025308	Organoheterocyclic compounds#Organic oxygen compounds
72	270.1853	0	N/A	SN00092869#CHEBI:116385#SN00046041	Organoheterocyclic compounds#Benzenoids#Lipids and lipid-like molecules			SN00092869#CHEBI:116385#SN00046041	Organoheterocyclic compounds#Benzenoids#Lipids and lipid-like molecules
73	518.137	0	N/A	CHEBI:110127#CHEBI:125174#SN00099503#SN00005383	Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids			SN00083822#SN00042141	Organic acids and derivatives#Benzenoids
74	367.3323	0	N/A						
75	383.2046	0	N/A	SN00361961#SN00312119#SN00292201#SN00325524#SN00287608#SN00366339#SN00395354#SN00274194#SN00267003#SN00282398#SN00373792	Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00361961#SN00312119#SN00292201#SN00325524#SN00287608#SN00366339#SN00395354#SN00274194#SN00267003#SN00282398#SN00373792	Lipids and lipid-like molecules#Organoheterocyclic compounds
76	532.1526	0	N/A	SN00166314#SN00050786#SN00105738#SN00165651	Phenylpropanoids and polyketides			SN00166314#SN00050786#SN00105738#SN00165651	Phenylpropanoids and polyketides
77	273.1235	0	N/A	SN00029910#SN00064079#SN00084942#SN00044459	Organic acids and derivatives#Organoheterocyclic compounds			SN00029910#SN00064079#SN00084942#SN00044459	Organic acids and derivatives#Organoheterocyclic compounds
78	280.1895	0	N/A	SN00018474#SN00131474#CHEBI:94754#SN00044194#CHEBI:109038#SN00161117#CCMSLIB00000568000#SN00310651#SN00045507	Organoheterocyclic compounds#Lipids and lipid-like molecules#Benzenoids			SN00018474#SN00131474#CHEBI:94754#SN00044194#CHEBI:109038#SN00161117#CCMSLIB00000568000#SN00310651#SN00045507	Organoheterocyclic compounds#Lipids and lipid-like molecules#Benzenoids
83	675.6774	0	SpectralMatchto13-Docosenamide,(Z)-fromNIST14						
84	266.1749	0	N/A	SN00225961#SN00319733#SN00069255#SN00285330#SN00043628#SN00065120#SN00044686#SN00000038#SN00118714	Organoheterocyclic compounds#Lipids and lipid-like molecules			SN00225961#SN00319733#SN00069255#SN00285330#SN00043628#SN00065120#SN00044686#SN00000038#SN00118714	Organoheterocyclic compounds#Lipids and lipid-like molecules
85	702.2148	0	N/A						
87	256.1756	0	N/A	SN00012529#SN00077261#SN00085028	Organoheterocyclic compounds#Organic acids and derivatives			SN00012529#SN00077261#SN00085028	Organoheterocyclic compounds#Organic acids and derivatives
88	399.2518	0	SpectralMatchtoTris(2-butoxyethyl)phosphatefromNIST14	CCMSLIB00000573768#SN00214462		CCMSLIB00000573768#SN00214462		CCMSLIB00000573768#SN00214462	
89	154.9904	0	N/A						
91	416.2859	0	N/A	SN00027918#SN00027647#SN00032198#SN00027729#SN00071838	Lipids and lipid-like molecules			SN00027918#SN00027647#SN00032198#SN00027729#SN00071838	Lipids and lipid-like molecules
92	440.1161	0	N/A	SN00009779#SN00118827#SN00011955#SN00158605#SN00127203	Alkaloids and derivatives#Benzenoids#Lignans, neolignans and related compounds#Organoheterocyclic compounds			SN00009779#SN00118827#SN00011955#SN00158605#SN00127203	Alkaloids and derivatives#Benzenoids#Lignans, neolignans and related compounds#Organoheterocyclic compounds
96	558.4217	0	N/A						
97	652.4122	0	N/A	CCMSLIB00004679264#SN00041021#SN00244076#SN00168816	Lipids and lipid-like molecules#Organic oxygen compounds			CCMSLIB00004679264#SN00041021#SN00244076#SN00168816	Lipids and lipid-like molecules#Organic oxygen compounds
98	184.9858	0	N/A						
99	450.3948	0	N/A						
100	297.2901	0	N/A						
102	401.2631	0	N/A	SN00167036#SN00393600#SN00330563#SN00229787#SN00343885#SN00302695	Lipids and lipid-like molecules#Organoheterocyclic compounds#Benzenoids#Organic oxygen compounds			SN00287353#SN00356627#SN00263762#SN00374061#SN00268588#SN00259472#SN00396297#SN00357953	Organic oxygen compounds#Lipids and lipid-like molecules
103	214.1804	0	N/A						
104	230.1753	0	Icaridin	CCMSLIB00000842075#CHEBI:74430#SN00058155#SN00237647#SN00128601	Organic acids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules	CCMSLIB00000842075#CHEBI:74430#SN00058155#SN00237647#SN00128601	Organic acids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules	CCMSLIB00000842075#CHEBI:74430#SN00058155#SN00237647#SN00128601	Organic acids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules
112	468.3899	0	N/A	SN00169548#SN00383637	Organoheterocyclic compounds			SN00293964#CHEBI:77213	Lipids and lipid-like molecules
113	423.2744	0	N/A	SN00025513#SN00027465#CHEBI:125619	Organoheterocyclic compounds			SN00071379#SN00088812#SN00089194#SN00024600	Lipids and lipid-like molecules#Organoheterocyclic compounds
116	182.9854	0	N/A						
117	342.213	0	N/A	SN00014294#SN00099236#CHEBI:117228#CHEBI:104049#SN00093185#CHEBI:125000#CHEBI:104124#CHEBI:22024	Organic acids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules			SN00014294#SN00099236#CHEBI:117228#CHEBI:104049#SN00093185#CHEBI:125000#CHEBI:104124#CHEBI:22024	Organic acids and derivatives#Organoheterocyclic compounds#Lipids and lipid-like molecules
119	674.5059	0	N/A						
121	402.1637	0	N/A	CHEBI:114561#SN00261603	Organoheterocyclic compounds#Nucleosides, nucleotides, and analogues			CHEBI:114561#SN00261603	Organoheterocyclic compounds#Nucleosides, nucleotides, and analogues
123	244.1909	0	N/A	SN00061098#CHEBI:74438#SN00236512#SN00305120	Organoheterocyclic compounds#Organic acids and derivatives#Organic oxygen compounds			SN00061098#CHEBI:74438#SN00236512#SN00305120	Organoheterocyclic compounds#Organic acids and derivatives#Organic oxygen compounds
125	326.2538	0	N/A						
126	272.2221	0	N/A	SN00142814#CHEBI:74437	Organic oxygen compounds#Organic acids and derivatives			SN00142814#CHEBI:74437	Organic oxygen compounds#Organic acids and derivatives
127	402.234	0	N/A	SN00005585#CHEBI:106252#SN00012188#SN00024688#SN00021436	Organic acids and derivatives#Organic oxygen compounds#Organoheterocyclic compounds#Benzenoids			SN00012546#SN00012543	Benzenoids
129	202.1439	0	N/A	SN00064548#CHEBI:89901	Organic acids and derivatives			SN00271733#SN00215852#SN00376092	Organoheterocyclic compounds#Organic acids and derivatives
132	353.2802	0	N/A	SN00124367#SN00122364	Lipids and lipid-like molecules				
133	559.5188	0	N/A						
134	723.3862	0	N/A	SN00225465#SN00399818#SN00242889#SN00226787	Lipids and lipid-like molecules#Organic oxygen compounds			SN00225465#SN00399818#SN00242889#SN00226787	Lipids and lipid-like molecules#Organic oxygen compounds
138	298.1858	0	N/A						
139	445.1168	0	N/A	SN00022641#SN00130333#CHEBI:131572#SN00008075	Organoheterocyclic compounds#Benzenoids#Nucleosides, nucleotides, and analogues			SN00265448#SN00246287#SN00335756#SN00085560	Phenylpropanoids and polyketides
141	345.0854	0	N/A	SN00044854#SN00044715#SN00046104#SN00000634	Phenylpropanoids and polyketides			SN00044854#SN00044715#SN00046104#SN00000634	Phenylpropanoids and polyketides
142	367.2694	0	N/A	SN00136952#SN00136963	Organoheterocyclic compounds			SN00052042#SN00013077	Organoheterocyclic compounds
143	354.2856	0	N/A						
144	460.3117	0	N/A	SN00028301#SN00024728#CHEBI:104280#SN00028315#SN00026208	Lipids and lipid-like molecules#Organoheterocyclic compounds#Phenylpropanoids and polyketides			SN00028301#SN00024728#CHEBI:104280#SN00028315#SN00026208	Lipids and lipid-like molecules#Organoheterocyclic compounds#Phenylpropanoids and polyketides
146	616.4639	0	N/A	SN00167699#SN00165957#CHEBI:72963	Lipids and lipid-like molecules			SN00167699#SN00165957#CHEBI:72963	Lipids and lipid-like molecules
147	195.1227	0	Tetraethyleneglycol	SN00322133#SN00307268#SN00118175	Organic oxygen compounds#Lipids and lipid-like molecules#Benzenoids	SN00322133#SN00307268#SN00118175	Organic oxygen compounds#Lipids and lipid-like molecules#Benzenoids	SN00322133#SN00307268#SN00118175	Organic oxygen compounds#Lipids and lipid-like molecules#Benzenoids
148	314.181	0	N/A						
150	302.3051	0	N/A						
151	467.3006	0	N/A	SN00176464#SN00021687#SN00280520#SN00176484#SN00028140#SN00296707#SN00176935	Benzenoids#Organoheterocyclic compounds#Alkaloids and derivatives#Lipids and lipid-like molecules#Organic acids and derivatives#Phenylpropanoids and polyketides			SN00030948#SN00396980#SN00320228#SN00034418#SN00305701#SN00272321#SN00271405#SN00277461	Lipids and lipid-like molecules#Organoheterocyclic compounds
152	357.2367	0	N/A	SN00294134#SN00013411#SN00213048	Lipids and lipid-like molecules#Alkaloids and derivatives			SN00294134#SN00013411#SN00213048	Lipids and lipid-like molecules#Alkaloids and derivatives
153	347.0834	0	N/A	SN00003304#SN00003303#SN00003230	Phenylpropanoids and polyketides			SN00003304#SN00003303#SN00003230	Phenylpropanoids and polyketides
156	238.2016	0	N/A	SN00093232#SN00017198#SN00093438	Organoheterocyclic compounds			SN00093232#SN00017198#SN00093438	Organoheterocyclic compounds
157	516.1577	0	N/A	SN00063582#SN00049114#SN00167249#CHEBI:105790#SN00249779#SN00095697#CHEBI:70212	Phenylpropanoids and polyketides#Organic oxygen compounds#Organoheterocyclic compounds			SN00063582#SN00049114#SN00167249#CHEBI:105790#SN00249779#SN00095697#CHEBI:70212	Phenylpropanoids and polyketides#Organic oxygen compounds#Organoheterocyclic compounds
159	446.2602	0	N/A	CHEBI:101534#CHEBI:98227#CHEBI:73409	Organic acids and derivatives#Organoheterocyclic compounds			CHEBI:115418#CHEBI:115313#CHEBI:111873#CHEBI:115328	Phenylpropanoids and polyketides
161	445.288	0	N/A	SN00024841#SN00293863#SN00018275#SN00026629	Organoheterocyclic compounds			SN00016911#CHEBI:104183#SN00015570#SN00051340	Organoheterocyclic compounds#Organic acids and derivatives#Benzenoids
164	230.1753	0	N/A	SN00058155#CCMSLIB00000842075#CHEBI:74430#SN00237647#SN00128601	Organoheterocyclic compounds#Organic acids and derivatives#Lipids and lipid-like molecules			SN00058155#CCMSLIB00000842075#CHEBI:74430#SN00237647#SN00128601	Organoheterocyclic compounds#Organic acids and derivatives#Lipids and lipid-like molecules
167	228.196	0	N/A	SN00318882#CHEBI:87145	Organoheterocyclic compounds#Organic acids and derivatives			SN00226986#SN00230260#SN00394998	Organoheterocyclic compounds#Alkaloids and derivatives
170	246.2429	0	N/A						
172	424.3638	0	N/A	SN00019047#SN00068982#SN00281913	Organic acids and derivatives#Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00019047#SN00068982#SN00281913	Organic acids and derivatives#Lipids and lipid-like molecules#Organoheterocyclic compounds
175	425.217	0	N/A	SN00321788#SN00029545#SN00290546#SN00379793	Lipids and lipid-like molecules			SN00398812#SN00381874#SN00227042#SN00036222#SN00259742#SN00384699#CHEBI:79330#SN00365218#SN00392408#SN00349143#SN00367839#SN00264095#SN00270853#SN00237627#SN00379586#SN00307141#SN00403696#SN00239811	Organic acids and derivatives#Lipids and lipid-like molecules#Organic oxygen compounds#Organoheterocyclic compounds
176	546.4005	0	N/A						
177	304.1753	0	N/A	CHEBI:98663#SN00163952#CHEBI:73049#CHEBI:85525#SN00043351#SN00073785#SN00032564	Organic oxygen compounds#Alkaloids and derivatives#Organic acids and derivatives#Lipids and lipid-like molecules#Organoheterocyclic compounds			CHEBI:98663#SN00163952#CHEBI:73049#CHEBI:85525#SN00043351#SN00073785#SN00032564	Organic oxygen compounds#Alkaloids and derivatives#Organic acids and derivatives#Lipids and lipid-like molecules#Organoheterocyclic compounds
178	230.1753	0	N/A	SN00135999#SN00142742	Organic oxygen compounds#Phenylpropanoids and polyketides			SN00135999#SN00142742	Organic oxygen compounds#Phenylpropanoids and polyketides
179	456.188	0	N/A	SN00081780#SN00081144#SN00078499#SN00081105	Alkaloids and derivatives			SN00081743#SN00081519#SN00081626#SN00056163#SN00057214#SN00059476#SN00063504#SN00060693#SN00063612#SN00057618	Organic acids and derivatives
180	776.2336	0	N/A						
182	402.2701	0	N/A	SN00027804#SN00028225#SN00027258	Lipids and lipid-like molecules#Organic acids and derivatives			SN00027804#SN00028225#SN00027258	Lipids and lipid-like molecules#Organic acids and derivatives
183	337.285	0	N/A	CHEBI:93890#SN00014042#SN00093730	Organoheterocyclic compounds			CHEBI:93890#SN00014042#SN00093730	Organoheterocyclic compounds
184	172.1334	0	Altretamine	SN00017832#SN00285142#SN00282664	Organic acids and derivatives			SN00017832#SN00285142#SN00282664	Organic acids and derivatives
187	489.3128	0	N/A	SN00018211#SN00018197	Organic acids and derivatives			CHEBI:97269#SN00356335#SN00083025#SN00015473#SN00394674#SN00021412#SN00176190#SN00234115#SN00098542	Benzenoids#Organic acids and derivatives#Phenylpropanoids and polyketides#Organoheterocyclic compounds
188	435.3951	0	N/A						
189	732.5477	0	N/A	CCMSLIB00000571061#CCMSLIB00000574156		SN00219065#SN00218716	Lipids and lipid-like molecules	SN00219065#SN00218716	Lipids and lipid-like molecules
190	270.2793	0	N/A	SN00399225#CHEBI:67186#SN00340527	Organic acids and derivatives#Organic oxygen compounds#Lipids and lipid-like molecules			SN00399225#CHEBI:67186#SN00340527	Organic acids and derivatives#Organic oxygen compounds#Lipids and lipid-like molecules
191	454.3299	0	N/A	SN00164538#SN00164256#SN00263024#SN00025924#SN00385688	Benzenoids#Lipids and lipid-like molecules			SN00164538#SN00164256#SN00263024#SN00025924#SN00385688	Benzenoids#Lipids and lipid-like molecules
193	704.2129	0	N/A						
194	590.427	0	N/A						
198	286.2376	0	N/A	SN00142802#SN00093370	Organoheterocyclic compounds#Lipids and lipid-like molecules			SN00142802#SN00093370	Organoheterocyclic compounds#Lipids and lipid-like molecules
200	592.1559	0	N/A	SN00118771	Benzenoids			SN00118771	Benzenoids
201	296.1698	0	N/A	SN00105187#SN00018520	Organoheterocyclic compounds			SN00105187#SN00018520	Organoheterocyclic compounds
202	490.286	0	N/A	SN00026712#SN00009063#SN00010958#CHEBI:78745#SN00390187#SN00130534	Organic oxygen compounds#Lipids and lipid-like molecules#Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids			SN00026712#SN00009063#SN00010958#CHEBI:78745#SN00390187#SN00130534	Organic oxygen compounds#Lipids and lipid-like molecules#Organic acids and derivatives#Organoheterocyclic compounds#Benzenoids
203	273.1236	0	N/A	SN00044744#SN00047065	Organoheterocyclic compounds			SN00044744#SN00047065	Organoheterocyclic compounds
205	212.1185	0	N/A	CHEBI:8356#SN00134723#SN00294963	Organic nitrogen compounds#Organoheterocyclic compounds#Alkaloids and derivatives			CHEBI:8356#SN00134723#SN00294963	Organic nitrogen compounds#Organoheterocyclic compounds#Alkaloids and derivatives
206	472.1832	0	N/A	SN00081075#SN00105277#SN00081474#SN00102996#SN00012978#SN00078487#SN00007407#CHEBI:129957#SN00003843#SN00022494#CHEBI:116142#SN00091328#SN00017504#SN00017503#SN00007400#CHEBI:104910#SN00124989	Alkaloids and derivatives#Organoheterocyclic compounds#Organic acids and derivatives#Benzenoids			SN00081075#SN00105277#SN00081474#SN00102996#SN00012978#SN00078487#SN00007407#CHEBI:129957#SN00003843#SN00022494#CHEBI:116142#SN00091328#SN00017504#SN00017503#SN00007400#CHEBI:104910#SN00124989	Alkaloids and derivatives#Organoheterocyclic compounds#Organic acids and derivatives#Benzenoids
207	303.2642	0	N/A	SN00281832#SN00066197#SN00320524	Organic oxygen compounds#Lipids and lipid-like molecules#Organoheterocyclic compounds			SN00281832#SN00066197#SN00320524	Organic oxygen compounds#Lipids and lipid-like molecules#Organoheterocyclic compounds
208	520.3966	0	N/A						
211	325.3215	0	N/A						
212	414.322	0	N/A	CHEBI:85105#CHEBI:84655#SN00164981	Lipids and lipid-like molecules			CHEBI:85105#CHEBI:84655#SN00164981	Lipids and lipid-like molecules
213	447.2933	0	N/A	SN00135932#SN00022110#SN00086639#SN00015568#SN00032141#SN00018069#SN00059821#SN00168553	Lipids and lipid-like molecules#Organic acids and derivatives#Organoheterocyclic compounds			SN00135932#SN00022110#SN00086639#SN00015568#SN00032141#SN00018069#SN00059821#SN00168553	Lipids and lipid-like molecules#Organic acids and derivatives#Organoheterocyclic compounds
214	502.3743	0	N/A						
215	258.2065	0	N/A	SN00306172#CHEBI:74441#SN00142795	Alkaloids and derivatives#Organic acids and derivatives#Organic oxygen compounds			SN00306172#CHEBI:74441#SN00142795	Alkaloids and derivatives#Organic acids and derivatives#Organic oxygen compounds
216	790.2492	0	N/A						
217	312.943	0	N/A						
219	696.4387	0	N/A	SN00164871#SN00381181#SN00176683	Organic acids and derivatives#Organic oxygen compounds#Lipids and lipid-like molecules			SN00164871#SN00381181#SN00176683	Organic acids and derivatives#Organic oxygen compounds#Lipids and lipid-like molecules
220	790.5896	0	N/A						
221	294.2427	0	N/A	SN00239098#SN00323971#SN00298922	Organic oxygen compounds#Lipids and lipid-like molecules			SN00239098#SN00323971#SN00298922	Organic oxygen compounds#Lipids and lipid-like molecules
222	606.208	0	N/A						
224	372.2236	0	N/A	SN00213094#SN00021858#SN00103136#SN00115844#SN00056272	Organic acids and derivatives#Organoheterocyclic compounds			CHEBI:128939#CHEBI:126164#CHEBI:128424#SN00068076#CHEBI:126221	Organoheterocyclic compounds#Organic acids and derivatives
228	533.3393	0	N/A	SN00172100#SN00172090	Lipids and lipid-like molecules			SN00172100#SN00172090	Lipids and lipid-like molecules
230	555.3543	0	N/A	CHEBI:123639#CHEBI:110949	Phenylpropanoids and polyketides			SN00315833#SN00178091	Lipids and lipid-like molecules
232	634.4534	0	N/A	CHEBI:128743#SN00218638#SN00218670	Phenylpropanoids and polyketides#Lipids and lipid-like molecules			CHEBI:128743#SN00218638#SN00218670	Phenylpropanoids and polyketides#Lipids and lipid-like molecules
