cluster.index	parent.mass	RTMean	LibraryID	MetFragID	MetFragSC	FusionID	FusionSC	ConsensusID	ConsensusSC
14408	533.3378	0	N/A	SN00102041#SN00082837	Organic acids and derivatives			SN00102041#SN00082837	Organic acids and derivatives
14409	386.2906	0	N/A	SN00313442#CHEBI:89748#CHEBI:73062	Lipids and lipid-like molecules			SN00313442#CHEBI:89748#CHEBI:73062	Lipids and lipid-like molecules
14411	453.2406	0	N/A	SN00022136#SN00031197#SN00016761#CHEBI:51232	Organic acids and derivatives#Organoheterocyclic compounds#Organic oxygen compounds			SN00027712#CHEBI:131226#SN00012317	Lipids and lipid-like molecules#Organic acids and derivatives#Alkaloids and derivatives
14412	850.4054	0	N/A						
14413	450.2975	0	N/A	SN00014725#SN00084109#SN00377405#SN00026506#SN00009314	Benzenoids#Organic acids and derivatives#Organoheterocyclic compounds#Alkaloids and derivatives			SN00163009#SN00372612#CHEBI:27784	Lipids and lipid-like molecules#Organic oxygen compounds
14414	482.7221	0	N/A						
14415	333.1694	0	Androsta-1,4-dien-3-one,4-chloro-6,17-dihydroxy-17-methyl-,(6.beta.,17.beta.)-	SN00281280#SN00281415#SN00321498#SN00044215#SN00229392#SN00255704#SN00053285#SN00233686#SN00061798#SN00046311#SN00033802#SN00020695	Phenylpropanoids and polyketides	SN00235394#SN00401364#SN00273218#SN00257539#SN00273971#SN00335075#SN00239422#SN00234430#SN00332498#SN00344009#SN00291134#SN00302345#SN00331287#SN00337615#SN00403147#SN00013844#SN00350965#SN00253874#SN00241639#SN00241041#SN00234739#SN00289308#SN00242755#SN00330010#SN00260159#SN00393385#SN00402681#SN00076017#SN00299635#SN00308913#SN00262517#SN00404084#SN00240950#SN00360886#SN00317914#SN00143647#SN00038453	Organoheterocyclic compounds#Lipids and lipid-like molecules#Phenylpropanoids and polyketides	SN00235394#SN00401364#SN00273218#SN00257539#SN00273971#SN00335075#SN00239422#SN00234430#SN00332498#SN00344009#SN00291134#SN00302345#SN00331287#SN00337615#SN00403147#SN00013844#SN00350965#SN00253874#SN00241639#SN00241041#SN00234739#SN00289308#SN00242755#SN00330010#SN00260159#SN00393385#SN00402681#SN00076017#SN00299635#SN00308913#SN00262517#SN00404084#SN00240950#SN00360886#SN00317914#SN00143647#SN00038453	Organoheterocyclic compounds#Lipids and lipid-like molecules#Phenylpropanoids and polyketides
14416	738.2812	0	N/A	SN00173676#CHEBI:82755#SN00174133	Benzenoids#Phenylpropanoids and polyketides#Organoheterocyclic compounds			SN00173676#CHEBI:82755#SN00174133	Benzenoids#Phenylpropanoids and polyketides#Organoheterocyclic compounds
14417	376.3066	0	N/A	SN00027167#SN00017363#SN00007910	Benzenoids#Organoheterocyclic compounds			SN00027167#SN00017363#SN00007910	Benzenoids#Organoheterocyclic compounds
14418	232.0971	0	N/A	CHEBI:95254#SN00016176#SN00116840	Organic acids and derivatives#Lipids and lipid-like molecules	CHEBI:95254#SN00016176#SN00116840	Organic acids and derivatives#Lipids and lipid-like molecules	SN00047779#SN00133176#SN00042767#SN00084863#SN00120897	Phenylpropanoids and polyketides#Organoheterocyclic compounds
14419	186.0915	0	SpectralMatchto4-(Phenylamino)phenolfromNIST14	CHEBI:105700#CHEBI:16580#CHEBI:35435	Benzenoids	CHEBI:105700#CHEBI:16580#CHEBI:35435	Benzenoids	CHEBI:105700#CHEBI:16580#CHEBI:35435	Benzenoids
