	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-ConsensusClassification	9-Clustering_100	10-TaxaFilter_100	11-MultipletonsFilter_100	12-Subsampling_100	13-Lulu_100	14-RareSeqsFilter_100
D_WA_1_T0D	33087	22842	22842	22842 (10563 uniques)	21653 (238 uniques)	20545 (204 uniques)	20542 (195 uniques)	20502 (191 uniques)	20502 (191 uniques)	20502 (191 uniques)	20502 (191 uniques)	20143 (181 uniques)	20143 (181 uniques)	8000 (171 uniques)	8000 (156 uniques)	7992 (151 uniques)
D_WA_1_T0N	38979	27891	27891	27891 (11992 uniques)	26563 (290 uniques)	25317 (256 uniques)	25317 (241 uniques)	25240 (230 uniques)	25240 (230 uniques)	25240 (230 uniques)	25240 (230 uniques)	24905 (219 uniques)	24905 (219 uniques)	8000 (206 uniques)	8000 (185 uniques)	7982 (171 uniques)
D_WA_1_TFD	32950	24120	24120	24120 (10015 uniques)	23282 (215 uniques)	22366 (203 uniques)	22331 (198 uniques)	22305 (192 uniques)	22305 (192 uniques)	22305 (192 uniques)	22305 (192 uniques)	22292 (190 uniques)	22292 (190 uniques)	8000 (182 uniques)	8000 (163 uniques)	7985 (152 uniques)
D_WA_1_TFN	34345	24088	24088	24088 (8000 uniques)	23557 (147 uniques)	22869 (132 uniques)	22829 (129 uniques)	22577 (121 uniques)	22577 (121 uniques)	22577 (121 uniques)	22577 (121 uniques)	22567 (120 uniques)	22567 (120 uniques)	8000 (118 uniques)	8000 (110 uniques)	7994 (106 uniques)
D_WA_2_T0D	40307	28272	28272	28272 (13793 uniques)	26892 (290 uniques)	25718 (286 uniques)	25718 (271 uniques)	25662 (258 uniques)	25662 (258 uniques)	25662 (258 uniques)	25662 (258 uniques)	25075 (241 uniques)	25074 (240 uniques)	8000 (227 uniques)	8000 (199 uniques)	7987 (189 uniques)
D_WA_2_T0N	32328	22529	22529	22529 (9505 uniques)	21370 (245 uniques)	20390 (222 uniques)	20390 (212 uniques)	20273 (193 uniques)	20273 (193 uniques)	20273 (193 uniques)	20273 (193 uniques)	20164 (185 uniques)	20164 (185 uniques)	8000 (175 uniques)	8000 (164 uniques)	7975 (147 uniques)
D_WA_2_TFD	38705	29037	29037	29037 (11762 uniques)	28091 (229 uniques)	27057 (234 uniques)	27024 (226 uniques)	26822 (200 uniques)	26822 (200 uniques)	26822 (200 uniques)	26822 (200 uniques)	26782 (195 uniques)	26782 (195 uniques)	8000 (177 uniques)	8000 (149 uniques)	7988 (140 uniques)
D_WA_3_TFD	38800	27741	27741	27741 (11633 uniques)	26841 (241 uniques)	25634 (223 uniques)	25634 (218 uniques)	25441 (200 uniques)	25441 (200 uniques)	25441 (200 uniques)	25441 (200 uniques)	25354 (191 uniques)	25354 (191 uniques)	8000 (177 uniques)	8000 (156 uniques)	7989 (149 uniques)
D_WA_3_TFN	38698	26500	26500	26500 (8450 uniques)	25996 (158 uniques)	25372 (144 uniques)	25346 (141 uniques)	25083 (129 uniques)	25083 (129 uniques)	25083 (129 uniques)	25083 (129 uniques)	25077 (128 uniques)	25077 (128 uniques)	8000 (122 uniques)	8000 (110 uniques)	7993 (104 uniques)
D_WA_4_TFD	30483	22895	22895	22895 (9913 uniques)	22078 (215 uniques)	21188 (212 uniques)	21156 (205 uniques)	21087 (192 uniques)	21087 (192 uniques)	21087 (192 uniques)	21087 (192 uniques)	21069 (190 uniques)	21069 (190 uniques)	8000 (181 uniques)	8000 (158 uniques)	7989 (151 uniques)
D_WA_4_TFN_SA503_SC703	22406	15271	15271	15271 (5071 uniques)	14834 (118 uniques)	14423 (101 uniques)	14423 (98 uniques)	14402 (94 uniques)	14402 (94 uniques)	14402 (94 uniques)	14402 (94 uniques)	14402 (94 uniques)	14402 (94 uniques)	8000 (92 uniques)	8000 (89 uniques)	7995 (85 uniques)
D_WA_4_TFN_SA504_SC703	18806	12781	12781	12781 (4770 uniques)	12436 (117 uniques)	12054 (98 uniques)	12054 (97 uniques)	11985 (94 uniques)	11985 (94 uniques)	11985 (94 uniques)	11985 (94 uniques)	11985 (94 uniques)	11985 (94 uniques)	8000 (92 uniques)	8000 (88 uniques)	7995 (85 uniques)
Dorcierr_D_DT_1_TFD	21206	14967	14967	14967 (6082 uniques)	14489 (128 uniques)	13837 (109 uniques)	13837 (105 uniques)	13796 (99 uniques)	13796 (99 uniques)	13796 (99 uniques)	13796 (99 uniques)	13771 (96 uniques)	13771 (96 uniques)	8000 (96 uniques)	8000 (92 uniques)	7993 (88 uniques)
Dorcierr_unlabeled_SC505_SA709	44995	31939	31939	31939 (15002 uniques)	30600 (335 uniques)	28978 (275 uniques)	28978 (269 uniques)	28904 (253 uniques)	28904 (253 uniques)	28904 (253 uniques)	28904 (253 uniques)	28604 (243 uniques)	28603 (242 uniques)	8000 (214 uniques)	8000 (196 uniques)	7974 (175 uniques)
Dorcierr_unlabeled_SC505_SA710	37356	26115	26115	26115 (13091 uniques)	25190 (348 uniques)	23864 (296 uniques)	23859 (289 uniques)	23811 (280 uniques)	23811 (280 uniques)	23811 (280 uniques)	23811 (280 uniques)	23038 (263 uniques)	23037 (262 uniques)	8000 (245 uniques)	8000 (225 uniques)	7950 (190 uniques)
INTFlag01	40432	28511	28511	28511 (14782 uniques)	24550 (632 uniques)	21709 (595 uniques)	21707 (553 uniques)	21580 (523 uniques)	21580 (523 uniques)	21580 (523 uniques)	21580 (523 uniques)	20601 (493 uniques)	20597 (489 uniques)	8000 (455 uniques)	8000 (344 uniques)	7930 (298 uniques)
INTFlag02	39419	27624	27624	27624 (14649 uniques)	24419 (607 uniques)	21491 (545 uniques)	21468 (509 uniques)	21437 (497 uniques)	21437 (497 uniques)	21437 (497 uniques)	21437 (497 uniques)	19821 (467 uniques)	19818 (464 uniques)	8000 (434 uniques)	8000 (364 uniques)	7914 (308 uniques)
INTFlag03	169	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag04	140	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag05	210	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag06	163	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag15	190	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag16	157	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag17	54842	38036	38036	38036 (19411 uniques)	32863 (962 uniques)	27523 (754 uniques)	27516 (715 uniques)	27370 (692 uniques)	27370 (692 uniques)	27370 (692 uniques)	27370 (692 uniques)	26484 (662 uniques)	26475 (653 uniques)	8000 (593 uniques)	8000 (509 uniques)	7856 (406 uniques)
INTFlag18	132	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag19	96	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
INTFlag20	40971	28273	28273	28273 (15320 uniques)	24134 (651 uniques)	20713 (569 uniques)	20693 (536 uniques)	20638 (515 uniques)	20638 (515 uniques)	20638 (515 uniques)	20638 (515 uniques)	19624 (483 uniques)	19622 (481 uniques)	8000 (453 uniques)	8000 (364 uniques)	7942 (324 uniques)
M1ALT1	958	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M1ALT2	30336	21843	21843	21843 (7944 uniques)	21188 (200 uniques)	20191 (195 uniques)	19670 (186 uniques)	19546 (169 uniques)	19546 (169 uniques)	19546 (169 uniques)	19546 (169 uniques)	19546 (169 uniques)	19546 (169 uniques)	8000 (164 uniques)	8000 (143 uniques)	7989 (136 uniques)
M1ALT3	32892	22753	22753	22753 (9956 uniques)	21493 (283 uniques)	20054 (242 uniques)	16887 (225 uniques)	16751 (217 uniques)	16751 (217 uniques)	16751 (217 uniques)	16751 (217 uniques)	16739 (216 uniques)	16739 (216 uniques)	8000 (208 uniques)	8000 (190 uniques)	7971 (171 uniques)
M1ALT4	1638	89	89	89 (70 uniques)	55 (5 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	13 (1 uniques)	/	/	/
M1ART1	640	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M1ART2	33104	23532	23532	23532 (10272 uniques)	21628 (443 uniques)	19569 (367 uniques)	16524 (350 uniques)	16416 (329 uniques)	16416 (329 uniques)	16416 (329 uniques)	16416 (329 uniques)	16379 (322 uniques)	16378 (321 uniques)	8000 (308 uniques)	8000 (290 uniques)	7967 (267 uniques)
M1ART3	49218	32703	32703	32703 (16785 uniques)	30137 (503 uniques)	27433 (395 uniques)	26387 (377 uniques)	26231 (353 uniques)	26231 (353 uniques)	26231 (353 uniques)	26231 (353 uniques)	26220 (351 uniques)	26220 (351 uniques)	8000 (319 uniques)	8000 (294 uniques)	7950 (257 uniques)
M1ART4	1611	209	209	209 (162 uniques)	140 (14 uniques)	70 (10 uniques)	70 (10 uniques)	70 (10 uniques)	70 (10 uniques)	70 (10 uniques)	70 (10 uniques)	66 (9 uniques)	66 (9 uniques)	/	/	/
M1AWT1	19790	13981	13981	13981 (5666 uniques)	13429 (192 uniques)	12662 (202 uniques)	10765 (193 uniques)	10718 (183 uniques)	10718 (183 uniques)	10718 (183 uniques)	10718 (183 uniques)	10718 (183 uniques)	10715 (180 uniques)	8000 (180 uniques)	8000 (154 uniques)	7995 (151 uniques)
M1AWT2	36739	26498	26498	26498 (8920 uniques)	25911 (225 uniques)	24869 (244 uniques)	23646 (233 uniques)	23475 (203 uniques)	23475 (203 uniques)	23475 (203 uniques)	23475 (203 uniques)	23475 (203 uniques)	23474 (202 uniques)	8000 (190 uniques)	8000 (148 uniques)	7996 (144 uniques)
M1AWT3	31619	22044	22044	22044 (9207 uniques)	21280 (206 uniques)	20152 (198 uniques)	19939 (188 uniques)	19909 (182 uniques)	19909 (182 uniques)	19909 (182 uniques)	19909 (182 uniques)	19909 (182 uniques)	19907 (180 uniques)	8000 (174 uniques)	8000 (152 uniques)	7986 (143 uniques)
M1AWT4	3662	174	174	174 (116 uniques)	129 (5 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	120 (4 uniques)	/	/	/
M1CLT1	2676	259	259	259 (186 uniques)	197 (17 uniques)	115 (10 uniques)	109 (9 uniques)	109 (9 uniques)	109 (9 uniques)	109 (9 uniques)	109 (9 uniques)	109 (9 uniques)	109 (9 uniques)	/	/	/
M1CLT2	32457	22391	22391	22391 (8811 uniques)	21578 (246 uniques)	20302 (242 uniques)	19578 (231 uniques)	19443 (217 uniques)	19443 (217 uniques)	19443 (217 uniques)	19443 (217 uniques)	19443 (217 uniques)	19443 (217 uniques)	8000 (211 uniques)	8000 (184 uniques)	7987 (175 uniques)
M1CLT3	29744	21287	21287	21287 (8932 uniques)	20575 (211 uniques)	19329 (189 uniques)	19079 (179 uniques)	19042 (168 uniques)	19042 (168 uniques)	19042 (168 uniques)	19042 (168 uniques)	19042 (168 uniques)	19042 (168 uniques)	8000 (164 uniques)	8000 (146 uniques)	7988 (138 uniques)
M1CLT4	37315	27795	27795	27795 (8920 uniques)	27041 (244 uniques)	25723 (285 uniques)	25617 (263 uniques)	25093 (226 uniques)	25093 (226 uniques)	25093 (226 uniques)	25093 (226 uniques)	25093 (226 uniques)	25089 (222 uniques)	8000 (208 uniques)	8000 (150 uniques)	7988 (141 uniques)
M1CRT1	507	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M1CRT2	33763	23448	23448	23448 (8778 uniques)	22390 (264 uniques)	21031 (255 uniques)	19331 (246 uniques)	18939 (223 uniques)	18939 (223 uniques)	18939 (223 uniques)	18939 (223 uniques)	18939 (223 uniques)	18939 (223 uniques)	8000 (219 uniques)	8000 (179 uniques)	7991 (172 uniques)
M1CRT3	57422	39817	39817	39817 (13439 uniques)	38633 (290 uniques)	37070 (290 uniques)	36412 (279 uniques)	35819 (235 uniques)	35819 (235 uniques)	35819 (235 uniques)	35819 (235 uniques)	35815 (234 uniques)	35813 (232 uniques)	8000 (209 uniques)	8000 (155 uniques)	7988 (145 uniques)
M1CRT4	1380	128	128	128 (94 uniques)	85 (5 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	61 (4 uniques)	/	/	/
M1OWT1	39085	27451	27451	27451 (13974 uniques)	24167 (532 uniques)	21448 (447 uniques)	21378 (424 uniques)	21284 (415 uniques)	21284 (415 uniques)	21284 (415 uniques)	21284 (415 uniques)	20180 (382 uniques)	20178 (380 uniques)	8000 (349 uniques)	8000 (302 uniques)	7953 (270 uniques)
M1OWT2	1773	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M1OWT3	35848	23781	23781	23781 (13076 uniques)	21095 (425 uniques)	18878 (314 uniques)	18868 (296 uniques)	18791 (287 uniques)	18791 (287 uniques)	18791 (287 uniques)	18791 (287 uniques)	18496 (276 uniques)	18496 (276 uniques)	8000 (270 uniques)	8000 (239 uniques)	7955 (207 uniques)
M1OWT4	906	92	92	92 (79 uniques)	51 (5 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	33 (3 uniques)	/	/	/
M1TWT1	1952	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M1TWT2	26692	18073	18073	18073 (8555 uniques)	16277 (354 uniques)	14598 (273 uniques)	14579 (263 uniques)	14552 (256 uniques)	14552 (256 uniques)	14552 (256 uniques)	14552 (256 uniques)	14474 (250 uniques)	14473 (249 uniques)	8000 (244 uniques)	8000 (221 uniques)	7974 (201 uniques)
M1TWT3	36868	24470	24470	24470 (12262 uniques)	22437 (359 uniques)	20654 (288 uniques)	20642 (277 uniques)	20614 (266 uniques)	20614 (266 uniques)	20614 (266 uniques)	20614 (266 uniques)	20414 (257 uniques)	20410 (253 uniques)	8000 (244 uniques)	8000 (217 uniques)	7980 (203 uniques)
M1TWT4	20570	143	143	143 (114 uniques)	95 (6 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	65 (4 uniques)	/	/	/
M3ALT1	752	82	82	82 (68 uniques)	50 (5 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	43 (3 uniques)	/	/	/
M3ALT2	472	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3ALT3	221	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3ALT4	55217	37169	37169	37169 (17883 uniques)	33711 (633 uniques)	30410 (483 uniques)	30189 (464 uniques)	29804 (405 uniques)	29804 (405 uniques)	29804 (405 uniques)	29804 (405 uniques)	29760 (400 uniques)	29755 (395 uniques)	8000 (352 uniques)	8000 (323 uniques)	7919 (259 uniques)
M3ART1	4334	2924	2924	2924 (1528 uniques)	2571 (73 uniques)	2290 (47 uniques)	2290 (47 uniques)	2288 (46 uniques)	2288 (46 uniques)	2288 (46 uniques)	2288 (46 uniques)	2269 (44 uniques)	2269 (44 uniques)	/	/	/
M3ART2	699	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3ART3	36411	25366	25366	25366 (6896 uniques)	24964 (120 uniques)	24448 (149 uniques)	24405 (143 uniques)	23771 (97 uniques)	23771 (97 uniques)	23771 (97 uniques)	23771 (97 uniques)	23771 (97 uniques)	23770 (96 uniques)	8000 (92 uniques)	8000 (69 uniques)	7995 (66 uniques)
M3ART4	239	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3AWT1	1031	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3AWT2	525	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3AWT3	16693	11937	11937	11937 (5168 uniques)	11180 (259 uniques)	10426 (193 uniques)	10228 (186 uniques)	10216 (183 uniques)	10216 (183 uniques)	10216 (183 uniques)	10216 (183 uniques)	10178 (178 uniques)	10178 (178 uniques)	8000 (177 uniques)	8000 (171 uniques)	7964 (150 uniques)
M3AWT4	29403	22390	22390	22390 (5503 uniques)	22052 (105 uniques)	21620 (142 uniques)	21614 (140 uniques)	21078 (100 uniques)	21078 (100 uniques)	21078 (100 uniques)	21078 (100 uniques)	21078 (100 uniques)	21075 (97 uniques)	8000 (91 uniques)	8000 (63 uniques)	7996 (59 uniques)
M3CLT1	996	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3CLT2	358	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3CLT3	15663	10860	10860	10860 (4998 uniques)	10225 (143 uniques)	9590 (109 uniques)	8486 (105 uniques)	8467 (99 uniques)	8467 (99 uniques)	8467 (99 uniques)	8467 (99 uniques)	8467 (99 uniques)	8467 (99 uniques)	8000 (99 uniques)	8000 (96 uniques)	7989 (90 uniques)
M3CLT4	39475	27992	27992	27992 (10501 uniques)	26961 (203 uniques)	26110 (236 uniques)	26024 (221 uniques)	25575 (184 uniques)	25575 (184 uniques)	25575 (184 uniques)	25575 (184 uniques)	25553 (182 uniques)	25550 (179 uniques)	8000 (158 uniques)	8000 (124 uniques)	7979 (109 uniques)
M3CRT1	283	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3CRT2	699	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3CRT3	37202	26439	26439	26439 (7389 uniques)	26102 (95 uniques)	25540 (133 uniques)	25540 (130 uniques)	25021 (92 uniques)	25021 (92 uniques)	25021 (92 uniques)	25021 (92 uniques)	25021 (92 uniques)	25020 (91 uniques)	8000 (86 uniques)	8000 (61 uniques)	7994 (57 uniques)
M3CRT4	30624	21939	21939	21939 (7924 uniques)	21107 (165 uniques)	20442 (153 uniques)	20399 (149 uniques)	20203 (123 uniques)	20203 (123 uniques)	20203 (123 uniques)	20203 (123 uniques)	20203 (123 uniques)	20203 (123 uniques)	8000 (112 uniques)	8000 (96 uniques)	7990 (90 uniques)
M3CWT2	15721	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3CWT3	19135	13117	13117	13117 (6877 uniques)	11526 (283 uniques)	10332 (205 uniques)	10280 (198 uniques)	10266 (192 uniques)	10266 (192 uniques)	10266 (192 uniques)	10266 (192 uniques)	10264 (191 uniques)	10264 (191 uniques)	8000 (190 uniques)	8000 (180 uniques)	7973 (163 uniques)
M3OWT1	441	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3OWT2	46991	32412	32412	32412 (12651 uniques)	29553 (538 uniques)	26598 (431 uniques)	26592 (421 uniques)	26268 (384 uniques)	26268 (384 uniques)	26268 (384 uniques)	26268 (384 uniques)	26220 (377 uniques)	26214 (371 uniques)	8000 (333 uniques)	8000 (294 uniques)	7956 (263 uniques)
M3OWT3	1322	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3OWT4	284	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
M3TWT1	22136	15306	15306	15306 (6462 uniques)	14146 (249 uniques)	13259 (205 uniques)	13231 (194 uniques)	13014 (172 uniques)	13014 (172 uniques)	13014 (172 uniques)	13014 (172 uniques)	12960 (169 uniques)	12960 (169 uniques)	8000 (167 uniques)	8000 (148 uniques)	7982 (137 uniques)
M3TWT2	39561	27346	27346	27346 (9783 uniques)	25763 (335 uniques)	24479 (361 uniques)	24479 (342 uniques)	24047 (297 uniques)	24047 (297 uniques)	24047 (297 uniques)	24047 (297 uniques)	24011 (292 uniques)	24004 (285 uniques)	8000 (248 uniques)	8000 (204 uniques)	7973 (186 uniques)
M3TWT3	4042	305	305	305 (189 uniques)	221 (17 uniques)	199 (16 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	151 (12 uniques)	/	/	/
M3TWT4	272	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
MCR_LTER_FR15	47138	32462	32462	32462 (15324 uniques)	31218 (306 uniques)	30137 (367 uniques)	30135 (338 uniques)	30035 (317 uniques)	30035 (317 uniques)	30035 (317 uniques)	30035 (317 uniques)	28070 (278 uniques)	28065 (273 uniques)	8000 (243 uniques)	8000 (192 uniques)	7990 (183 uniques)
MCR_LTER_FR30	49369	34175	34175	34175 (16422 uniques)	32882 (336 uniques)	31754 (393 uniques)	31754 (356 uniques)	31687 (335 uniques)	31687 (335 uniques)	31687 (335 uniques)	31687 (335 uniques)	29543 (298 uniques)	29540 (295 uniques)	8000 (266 uniques)	8000 (202 uniques)	7977 (185 uniques)
MCR_LTER_FR48	47020	32438	32438	32438 (15484 uniques)	31147 (333 uniques)	29828 (373 uniques)	29828 (346 uniques)	29705 (330 uniques)	29705 (330 uniques)	29705 (330 uniques)	29705 (330 uniques)	27824 (296 uniques)	27822 (294 uniques)	8000 (265 uniques)	8000 (204 uniques)	7981 (189 uniques)
MOCKPlateIII_SA506_SB701	4456	2673	2673	2673 (1030 uniques)	2662 (17 uniques)	2659 (17 uniques)	2649 (16 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	2645 (15 uniques)	/	/	/
MOCKPlateIII_SC508_SC711	38267	22915	22915	22915 (7138 uniques)	22768 (56 uniques)	22361 (97 uniques)	22361 (97 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21657 (45 uniques)	21652 (40 uniques)	8000 (40 uniques)	8000 (23 uniques)	7999 (22 uniques)
MOCKPlateV	26449	16259	16259	16259 (5697 uniques)	16117 (37 uniques)	15878 (48 uniques)	15842 (47 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	15530 (26 uniques)	8000 (26 uniques)	8000 (19 uniques)	8000 (19 uniques)
MOCKPlateVII	60613	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT1	463	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT2	734	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor1CWT4	21631	15168	15168	15168 (4046 uniques)	14711 (119 uniques)	14333 (132 uniques)	14298 (118 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	14183 (113 uniques)	8000 (110 uniques)	8000 (85 uniques)	7987 (77 uniques)
Mordor1_M1CWT3	47079	33639	33639	33639 (10965 uniques)	32456 (262 uniques)	31297 (255 uniques)	30761 (242 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	30368 (205 uniques)	8000 (182 uniques)	8000 (149 uniques)	7980 (136 uniques)
Mordor2_CW_2_T1	194	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor2_CW_2_T3	34950	23875	23875	23875 (7864 uniques)	23099 (188 uniques)	22496 (161 uniques)	22391 (157 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	22295 (140 uniques)	8000 (131 uniques)	8000 (121 uniques)	7978 (107 uniques)
Mordor3_M3CWT1	990	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
Mordor3_M3CWT4	26795	19712	19712	19712 (5688 uniques)	19512 (90 uniques)	19167 (124 uniques)	19167 (122 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18741 (81 uniques)	18740 (80 uniques)	8000 (75 uniques)	8000 (50 uniques)	7993 (46 uniques)
NTC1PlateVIII	47674	/	/	/	/	/	/	/	/	/	/	/	/	/	/	/
NTC2PlateVIII	62752	189	189	189 (106 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	168 (3 uniques)	/	/	/
NTC3PlateVIII	40209	138	138	138 (88 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	122 (3 uniques)	/	/	/
NTC4PlateVIII	17224	137	137	137 (84 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	119 (3 uniques)	/	/	/
NTC5PlateVIII	16887	101	101	101 (69 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	88 (4 uniques)	/	/	/
NTC6PlateVIII	3909	85	85	85 (55 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	62 (3 uniques)	/	/	/
NTCAPlateIII	6752	3174	3174	3174 (1409 uniques)	3131 (21 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3127 (23 uniques)	3066 (22 uniques)	3066 (22 uniques)	/	/	/
NTCAPlateIV	19015	12161	12161	12161 (2733 uniques)	11995 (23 uniques)	11916 (41 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	178 (7 uniques)	139 (6 uniques)	139 (6 uniques)	/	/	/
NTCAPlateV	9319	612	612	612 (284 uniques)	596 (8 uniques)	596 (8 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	201 (5 uniques)	/	/	/
NTCAPlateVII	382	60	60	60 (49 uniques)	28 (3 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	20 (2 uniques)	/	/	/
NTCBPlateIV	2238	445	445	445 (153 uniques)	435 (5 uniques)	431 (4 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	108 (2 uniques)	/	/	/
NTCCPlateIV	3061	1004	1004	1004 (336 uniques)	996 (9 uniques)	992 (8 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	522 (6 uniques)	/	/	/
OW_2_T1	35530	24851	24851	24851 (12084 uniques)	22283 (409 uniques)	20284 (301 uniques)	20284 (290 uniques)	20244 (275 uniques)	20244 (275 uniques)	20244 (275 uniques)	20244 (275 uniques)	19693 (256 uniques)	19693 (256 uniques)	8000 (244 uniques)	8000 (228 uniques)	7964 (204 uniques)
OW_2_T2	39339	27496	27496	27496 (12839 uniques)	24917 (408 uniques)	22413 (312 uniques)	22413 (304 uniques)	22222 (281 uniques)	22222 (281 uniques)	22222 (281 uniques)	22222 (281 uniques)	22171 (278 uniques)	22171 (278 uniques)	8000 (254 uniques)	8000 (236 uniques)	7965 (213 uniques)
OW_2_T3	31982	22091	22091	22091 (9876 uniques)	20077 (361 uniques)	18410 (269 uniques)	18410 (262 uniques)	18383 (251 uniques)	18383 (251 uniques)	18383 (251 uniques)	18383 (251 uniques)	18115 (239 uniques)	18115 (239 uniques)	8000 (228 uniques)	8000 (220 uniques)	7964 (194 uniques)
