178
AL_2_T1   
AL_2_T3   	0.181921
AR_2_T2   	0.365413	0.239361
AW_2_T1   	0.304325	0.261114	0.221765
AW_2_T2   	0.398111	0.290068	0.14037	0.226766
AW_2_T3   	0.497305	0.373401	0.238292	0.326816	0.231161
CL_2_T1   	0.134378	0.186382	0.318027	0.270397	0.36587	0.454788
CL_2_T2   	0.330627	0.196711	0.139163	0.205604	0.222448	0.282904	0.260443
CR_2_T3   	0.272278	0.164765	0.255772	0.276523	0.318492	0.304429	0.220475	0.190936
DORCIERR_D_WA_2_TFN	0.228541	0.205196	0.30973	0.306568	0.353917	0.458728	0.183976	0.286065	0.260983
D_CC_1_T0D	0.367114	0.267023	0.216786	0.300977	0.28579	0.332823	0.327709	0.205689	0.215584	0.294872
D_CC_1_T0N	0.587375	0.480881	0.402385	0.472094	0.451534	0.307833	0.539238	0.397008	0.395839	0.470104	0.275346
D_CC_1_TFD	0.444143	0.364737	0.261011	0.346802	0.245198	0.360729	0.411058	0.317952	0.372478	0.35375	0.253878	0.388801
D_CC_1_TFN	0.28976	0.240413	0.270263	0.266344	0.312275	0.416211	0.236904	0.246435	0.269609	0.109442	0.242161	0.401128	0.273483
D_CC_2_T0D	0.49609	0.392855	0.307187	0.38916	0.361288	0.355884	0.453453	0.310885	0.350921	0.393562	0.150923	0.228157	0.265934	0.315133
D_CC_2_T0N	0.588557	0.485517	0.417267	0.483162	0.464552	0.300185	0.53991	0.410668	0.397478	0.473459	0.282981	0.0435825	0.410844	0.415848	0.251578
D_CC_2_TFD	0.396223	0.321175	0.235493	0.317049	0.217065	0.364549	0.366621	0.284993	0.333795	0.30983	0.235643	0.406157	0.0504938	0.239568	0.281946	0.42797
D_CC_2_TFN	0.36304	0.305448	0.211501	0.269606	0.261631	0.367061	0.309494	0.23798	0.302038	0.219733	0.219901	0.369653	0.180887	0.123035	0.275038	0.385965	0.15943
D_CC_3_TFD	0.418064	0.331839	0.229238	0.321422	0.222117	0.354919	0.381631	0.283871	0.343874	0.318714	0.221037	0.383962	0.0578443	0.24119	0.252078	0.40832	0.0546626	0.153495
D_CC_3_TFN	0.322677	0.265368	0.22808	0.251921	0.284401	0.393367	0.268036	0.217324	0.265874	0.175443	0.204673	0.363634	0.228357	0.084343	0.265606	0.383239	0.203319	0.0707625	0.19659
D_CC_4_TFD	0.417469	0.343502	0.238763	0.325387	0.227085	0.359975	0.383225	0.295444	0.352032	0.325852	0.225832	0.387804	0.051393	0.243645	0.256922	0.408539	0.0561491	0.152522	0.0233201	0.198555
D_CC_4_TFN	0.275359	0.222528	0.291844	0.283943	0.337826	0.436771	0.225932	0.270287	0.272039	0.0785618	0.262697	0.420018	0.30988	0.0620181	0.337275	0.430291	0.275275	0.168029	0.277044	0.126861	0.281139
D_DT_1_T0D	0.509975	0.41395	0.321139	0.409019	0.356866	0.24609	0.473224	0.346432	0.335659	0.428395	0.241983	0.17747	0.284864	0.341863	0.207312	0.192086	0.294711	0.288281	0.280078	0.317354	0.276306	0.385349
D_DT_1_T0N	0.52113	0.436782	0.355215	0.420416	0.4023	0.272444	0.477008	0.361614	0.357796	0.405795	0.243756	0.118391	0.341401	0.34126	0.19153	0.133604	0.353058	0.315791	0.330374	0.305709	0.332715	0.362958	0.134997
D_DT_1_TFN	0.281712	0.229252	0.251307	0.255923	0.302867	0.408814	0.238582	0.23926	0.263918	0.142147	0.228322	0.39366	0.260121	0.0835726	0.293708	0.408332	0.224582	0.139706	0.222483	0.0934974	0.227751	0.106581	0.344706	0.311017
D_DT_2_T0D	0.526555	0.424447	0.326241	0.42	0.363873	0.245853	0.487165	0.354386	0.347567	0.439682	0.252226	0.173769	0.285164	0.353552	0.212079	0.188588	0.29743	0.291242	0.281758	0.327012	0.280229	0.393631	0.0312783	0.140575	0.354712
D_DT_2_T0N	0.48599	0.410511	0.329411	0.383525	0.377007	0.279768	0.439438	0.334981	0.326653	0.37719	0.217499	0.161271	0.313138	0.306922	0.193791	0.177619	0.32626	0.281634	0.305308	0.273282	0.305453	0.334794	0.151329	0.0678441	0.279846	0.16068
