feature_number,log2_sizing
10000,-2.628886020610649
10003,-3.657216519528314
10003,-3.657216519528314
10007,-6.48832494330128
10008,-1.4218121091483586
10008,-1.4218121091483586
1001,-11.094528030949714
10013,-5.458831520580369
10014,-5.1048375871489995
10015,-3.2111676537868212
10017,-2.174663744235658
10018,-1.8045076841988172
10019,-7.8145812933269525
10023,-0.6777905003843576
10025,-0.8635338153559078
10027,-8.651811276585125
10030,-6.3872106064135235
10031,-6.892272703447343
10032,-5.939341889780891
10034,-2.9231023278734893
10035,-2.4707863031754385
10036,-9.392278852049746
10037,-5.500752134758407
10039,-3.178736746157615
1004,-0.5515074970272928
10041,-2.3690292622331284
10041,-2.3690292622331284
10042,-8.083999599967928
10046,-5.807206662132153
10047,-8.298914436089044
10048,-2.7980817456836413
10049,-6.056534507320798
10049,-6.056534507320798
10051,-3.7839893299139615
10051,-3.7839893299139615
10056,-2.6558344625032153
10057,-1.282545685340897
10062,-5.158369785814072
10066,-3.5355761456123673
10067,-4.701088867385384
10068,-10.268463288582229
1007,-0.16082983948724777
1007,-0.16082983948724777
10071,-4.317777832356237
10072,-6.3901773092175045
10081,-4.638784563549785
10082,-9.224364914083099
10091,-5.145304978479438
10098,-9.299003231178215
10102,-3.349570165986778
10103,-3.473526209621281
10104,-3.5364180879801834
10107,-11.042886884022094
10107,-11.042886884022094
10108,-3.0516788215142876
10109,-6.682230351799969
10110,-2.2292106068615944
10111,-1.8738118162125579
10112,-2.62741703496715
10116,-8.013967669152047
10121,-0.8629272886507964
10122,-3.6139795640177366
10126,-3.598088018142719
10128,-2.4328775335254758
10128,-2.4328775335254758
10129,-7.798313575458901
10133,-0.8687007237653553
10134,-5.9922544096509345
10135,-4.3939262768253515
10139,-5.577324591147546
1014,-5.518712344266409
10146,-5.363385957526954
10150,-3.4506047434053326
10153,-3.213375578814033
10155,-12.08718774341505
10156,-7.0027606701156335
10158,-3.7321559357168637
10159,-7.143290007088716
10164,-5.488025344911659
10164,-5.488025344911659
10165,-6.454267327430682
10167,-0.37281794480241354
10168,-6.061778262162799
10173,-8.86015964436176
10173,-8.86015964436176
10174,-4.466304642771039
10174,-4.466304642771039
10176,-3.631089465695553
10177,-6.578159246847252
10178,-2.4764637621463463
10180,-3.7851670033876417
10184,9.592189581850726e-4
10185,-5.964249920819196
10188,-5.083082016211343
10189,-0.7790330139497567
10190,-0.7181139283655579
10191,-2.9362740507493608
10192,-0.19666992120639526
10193,-6.20440634179849
10194,-0.4634322440460117
10198,-3.705680056264054
10199,-2.9224569427307783
10201,-0.5614506551128972
