feature_number,log2_sizing
10202,-3.8237754830385926
10203,-6.651243953552674
10204,-3.216355061397662
10205,-9.436387389465494
10205,-9.436387389465494
10206,-7.855389081379641
10206,-7.855389081379641
10208,-3.1326514799316443
10208,-3.1326514799316443
10209,-3.1982167957043486
10209,-3.1982167957043486
10210,-2.0815329882455313
10210,-2.0815329882455313
10211,-3.71491178418757
10212,-3.4019330316135656
10214,-4.091918554118078
10215,-2.4498303366319982
10216,-5.6216854855679905
10216,-5.6216854855679905
10217,-3.221061389824185
10218,-7.459029730294478
10220,-0.5850744776760223
10222,-5.76536079817671
10223,-9.444707174281556
10224,-0.7094589490818479
10226,-3.296505823580139
10228,-2.9829899718988284
10228,-2.9829899718988284
10231,-1.1978150053162904
10232,-3.4243514530168153
10234,-1.6398861769901005
10235,-1.129043825373984
10236,-8.212616849796872
10240,-3.1007048001935895
10242,-1.796593766942563
10243,-0.8670625253590191
10244,-2.886456415659914
10245,-1.3792641506590466
10246,-2.6252668322404955
10246,-2.6252668322404955
10247,-2.7051460759533215
1025,-0.2707692744657457
10250,-5.992238384683201
10251,-1.3302538559635044
10252,-2.3512758080356195
10252,-2.3512758080356195
10253,-1.4593848202019155
10254,-5.16457440763117
10255,-3.4651542496438283
10256,-7.397720572828324
10258,-4.510174903084708
10260,-3.1550268270323465
10262,-4.127907566926824
10263,-2.028355274942463
10264,-1.3476215355536645
10266,-3.839375172511371
10267,-3.8959737570309745
10268,-2.416447123520333
10269,-6.506632708434018
10270,-2.9027044028383244
10271,-3.175803745636934
10272,9.592189581850726e-4
10273,-11.514658066369602
10274,-1.3270492726603837
10275,-5.156019051181671
10277,-1.5246412288784736
10278,-0.3903301747161369
10279,9.592189581850726e-4
10280,-6.036264235116076
10280,-6.036264235116076
10281,-2.7368476230206267
10283,-5.353808760041655
10284,-5.929266647360601
10284,-5.929266647360601
10285,9.592189581850726e-4
10285,9.592189581850726e-4
10286,9.592189581850726e-4
10287,-0.8355711685754088
10287,-0.8355711685754088
10288,-3.517718674859471
10289,-6.371764477847829
10289,-6.371764477847829
10290,-3.332433595631401
10292,-0.3157540633869466
10293,-1.7842597032584595
10294,-4.79140547498195
10295,-4.1727997502484495
10296,-6.856615901516343
10297,-4.369427639499195
10299,-7.951472028329508
10300,-6.588259970154467
10301,-4.412700448783823
10302,-4.104240868566127
10303,-2.882238230844723
10305,-2.817950014280722
10306,-2.918143258933887
10307,-8.189536830232768
10308,-5.124788936035578
10309,-1.245161877600451
10310,-8.325599029358349
10311,-2.5295366651097155
10312,-1.4434710873388799
10313,-2.2352954664540556
10314,0.013638536471696763
10315,-2.429878350654118
10316,-2.513383197985478
10317,-7.760341193070605
10320,-3.599834891306247
10321,-1.00670005719418
10322,-2.664177369844775
10323,-2.5990105763468248
10324,-5.499300122989455
10325,-2.5797863293330554
10325,-2.5797863293330554
10326,-6.120579414153923
10327,-3.8550845902540747
10329,-3.567525991677448
10330,-5.939311022037572
10331,-3.4020012808037414
10331,-3.4020012808037414
10332,-11.962125627349879
10334,-4.9246801147570185
10335,-1.5951541340441946
10336,-5.637912383167005
10336,-5.637912383167005
10337,-0.07539754249946314
10338,-3.4855571080250924
10339,-7.17118226322596
10340,-3.573573848921068
10341,-7.649450517161287
10342,-4.526873618663662
10343,-6.1164681587416245
10343,-6.1164681587416245
10344,-2.74500236886072
10345,-6.354874295790766
10345,-6.354874295790766
10346,-4.742505723833653
10347,-4.625138102167837
10348,-1.6547140881884213
10349,-2.8794751974635693
10350,-2.9539271458021807
10352,-3.4171413419966483
10353,-3.517767524450617
10353,-3.517767524450617
10354,-1.2951294881740159
10356,-6.321774839188045
10357,-1.941418106519369
10358,-0.468062006062481
10359,-3.823316543619649
10359,-3.823316543619649
10360,-2.5403873637007215
10360,-2.5403873637007215
10361,-1.085507321972498
10362,-2.9769611042126276
10363,-0.9328527472439001
10364,-2.616898220728235
10365,-2.944334967666054
10366,9.592189581850726e-4
10368,-5.659722899655873
10369,-4.036003872851115
10370,-3.7500057196098027
10371,-8.375945154836494
10372,-2.8649351408274155
10373,-2.9436147839269173
10374,-4.206620876042535
10375,9.592189581850726e-4
10376,-5.584569444409586
10377,-3.469525618636166
10378,-6.625058065223453
10379,-4.914155486454312
10379,-4.914155486454312
10381,-4.195135398330941
10383,-1.0949716085067076
10384,-2.5161297289553715
10384,-2.5161297289553715
10385,-3.233941306135596
10386,-7.436226906899586
10388,-2.1454616785816842
10389,-3.036151653708219
10390,-3.9556273467157044
10391,-5.829966750688432
10393,-0.24699691957877876
10394,-4.3285600347998185
10395,-7.3278604927882425
10396,-6.452743601172401
10397,-3.5762357490550456
10398,-3.210336656994438
10399,-6.390927568805954
10399,-6.390927568805954
104,-0.04870202330502547
10402,-6.895705014702756
10402,-6.895705014702756
10403,-1.771946270677408
10404,-2.551518522164534
10405,-3.004966056365225
10405,-3.004966056365225
10407,-5.15525406156625
10408,-7.844595445605215
10409,-3.150581206092446
10412,-6.235129062302207
10413,-5.498071000524251
10414,-8.522374259173802
10415,-2.2700321554088205
10417,-0.8274812722413097
10417,-0.8274812722413097
10418,-2.3927429158360676
10419,-3.3301100504372956
10420,-4.924767517605735
10421,-4.9702463033988105
10422,-2.423012564036503
10423,-8.371016402466644
10424,-4.930169130505265
10425,-0.9794175515996746
10426,-4.903792504463015
10426,-4.903792504463015
10427,-0.9154374887382171
1043,-0.8018798497091744
10430,-5.682522931840045
10430,-5.682522931840045
10431,-3.3301560894267865
10433,0.39801308811065816
10434,-4.014398981264461
10434,-4.014398981264461
10435,-3.623267090992153
10436,-6.415652328248189
10438,-4.211828826438761
10440,-4.580127128756013
10441,-2.6505701830950836
10443,-1.44109006108954
10444,-2.0806224641770745
10445,-3.596322986072187
10446,-7.8800539055691825
10447,-6.716208326809673
10450,-6.770529007657119
10451,-7.280966566948306
10452,-1.9334803733803674
10453,-4.004709300203476
10454,-1.1439294432597045
10455,-2.451845804270518
10456,-6.930782408415178
10457,-9.004985611149909
10458,-3.9109851628467016
10459,-6.412212822024322
10460,-3.670418849685293
10461,-1.9047783132584404
10462,-3.944523257397261
10463,-0.45036065215716925
10464,-3.4633716104269907
10465,-1.4401148463858229
10466,-2.3332440744789262
10467,-6.173802173108647
10468,-5.0063269032071895
10469,-5.059831546794032
10469,-5.059831546794032
1047,0.7416714903726235
10470,-2.8022046000012706
10471,-0.7739713341023653
10471,-0.7739713341023653
10472,-2.0970704131281472
10473,-3.7605239112433835
10474,-3.6204598443751435
10474,-3.6204598443751435
10475,-7.509303740575921
10477,-0.7017323102289468
10478,-1.8380619795152413
10479,-6.3055279927103465
1048,-0.16976979522035254
10480,-6.488473188200188
10481,-6.232078010927523
10482,-5.933530457900749
10483,-7.971240800256895
10484,-4.416262057143622
10485,-3.2678942654859546
10486,-5.513873574068037
10488,-0.18997264842988013
10489,-4.930776349279197
10489,-4.930776349279197
1049,-0.6698883585391509
1049,-0.6698883585391509
10490,-6.494133659540845
10491,-5.153184133323463
10492,-1.949924593866223
10493,-2.903914425619298
10494,-0.425445279501104
10496,-4.39068676619908
10497,-1.60099783669384
10499,-1.3011010410814017
10500,-4.35682518563201
10501,-4.903558522093213
10502,-2.930202331618549
10503,-2.3961586535099344
10503,-2.3961586535099344
10504,-5.704403389153208
10505,-7.509657184936884
10506,-4.120216988352436
10508,-2.6966377695764274
10509,-6.0986256137237875
10510,-3.6451201399686055
10512,-2.5710318636375695
10513,-2.575454044095979
10514,-0.4758543993830717
10515,-3.593076366445297
10515,-3.593076366445297
10516,-1.0895011067489702
10517,-1.7665240097035568
10518,-4.119917622232424
10519,-3.42958985729106
10520,-4.457374253925068
10521,-1.9340718833653865
10524,-1.6892812123582988
10525,-3.634345916322044
10526,-5.370450160992123
10527,-0.5187302221038361
10530,-4.199277738277759
10531,-4.290747845916236
10533,-4.348210470677051
10534,-4.134035354003934
10535,-4.624636167342201
10536,-1.4831461037449494
10537,-6.462471274636485
10538,-5.736905609250414
10539,-9.711048684514646
10541,-2.3302443675619444
10542,-1.1630925383484707
10543,-7.640308130240584
10544,-4.949791854977206
10544,-4.949791854977206
10545,-2.7990171879579213
10546,-2.97182561416847
10549,-7.3956544457970494
10549,-7.3956544457970494
1055,-0.38103764186321687
10550,-4.003293689187681
10551,-4.170429904698968
10552,-3.1861209868129503
10553,-4.553273674032349
10554,-3.151690054785998
10555,-4.722869637998876
10556,-1.3990297088100514
10557,-8.384458715073247
10558,-3.473157195217932
10560,-3.1139546452055735
10561,-1.5481252972346862
10564,-2.520428438575412
10565,-3.0822607796813295
10566,-4.17432370856348
10567,-4.677870169850516
10569,-2.882745951546887
10570,-0.820197146221379
10571,-3.00953421891464
10572,-6.66548157200439
10573,-1.034851138351037
10574,-5.489954175592555
10578,-5.120530090655732
10579,-5.409653171228977
1058,-0.15449872941162635
10580,-3.3568760410277996
10581,-3.2823643759970906
10582,-5.573086171962107
10583,-1.4940199342948766
10584,-2.525196700588493
10588,-1.5536137319928043
10589,-5.552003386704513
10590,-2.952387470139272
10591,-1.9810602470852703
10592,-4.872775881041804
10593,-0.3293173472839252
10595,-0.5043833649525059
10597,-10.701812076224858
10597,-10.701812076224858
10598,-4.345421197981846
10599,-3.862381316103103
10601,-5.603852753588952
10601,-5.603852753588952
10602,-11.66029578340467
10603,-11.817310373265672
10604,-4.686981785030988
10605,-3.780943753523514
10608,-4.508156478305332
10609,-6.248326863364718
10610,-4.938514082893146
10613,-6.5510061310634224
10614,-6.129517854931618
10615,-6.474870067028605
10616,-2.989064711979837
10617,-2.4263550797178817
10618,-0.16071576369805637
10618,-0.16071576369805637
10619,-9.314294810120234
10620,-6.051087004336903
10621,-4.9575814301288235
10622,-6.1528451495865575
10623,-0.2812398238544148
10624,-1.2409308532088843
10628,-0.565854050620856
10629,-3.645108052429856
10631,-6.919896431289045
10632,-7.452278823649566
10633,-5.298046423044083
10634,-7.931095777116367
10637,-3.7650135991631912
10637,-3.7650135991631912
10639,-4.280427092533125
1064,-0.8329713716868867
10640,-5.770111780229431
10641,-4.18944518105032
10642,-3.276283784190709
10643,-4.770545497509669
10644,-2.6463503623221185
10645,-6.81507352641613
10646,-1.8708534703615867
10647,-10.289488213152007
10648,9.592189581850726e-4
10649,-6.543129290399586
10650,-0.833554783457141
10651,-3.9113831441501086
10652,-2.5748652162097394
10654,-3.3055191242089563
10655,-2.7155475317030504
10656,-8.569184367625741
10657,-12.670103227588775
10658,-1.8333698911777125
10659,-2.760735331005802
10660,-8.485002860591607
10661,-1.8818576832449354
10662,-4.111025773726753
10663,-2.580207502747008
10664,-3.168432407223237
10666,-4.966342033159392
10667,-2.0958343841979006
10668,-1.2502840360148044
10669,-4.868375009047101
10670,-5.6362315824354825
10671,-9.72770134064895
10672,-4.4995245482965744
10673,-4.07310357897729
10675,-10.222528555348752
10676,9.592189581850726e-4
10677,-4.1662570188765855
10678,-1.3294819062095191
10679,-4.401000001096983
10681,-7.121349453153902
10684,-4.069958071021834
10686,-3.791187759829331
10687,-6.490218006366222
10688,-2.315019598352583
10689,-6.0672092408916285
10689,-6.0672092408916285
10691,-9.493281744735386
10693,-10.061325509993528
10694,-1.4956475332365804
10695,-4.8273802727720225
10696,-3.6900959666693134
10697,-7.182456722501673
10698,-3.9923922835161743
10699,-5.05005432743762
10700,-9.823906000262378
10701,-0.9471930343935868
10702,-8.31683954394341
10703,-2.35512151198526
10704,-6.147665281051902
10705,9.592189581850726e-4
10705,9.592189581850726e-4
10706,-6.179094161364081
10707,-3.587488194339531
10709,-5.541468935998434
10710,-1.1440444997972752
10712,-2.017916945129038
10713,-9.543146764743199
10714,-8.371881033415127
10715,-7.298223777110959
10715,-7.298223777110959
10716,-1.7763019265118973
10717,-1.8092014357942399
10718,9.592189581850726e-4
10719,-3.359903073093947
10720,-3.146377034531364
10725,-0.23646552553489114
10726,-0.5445161358708877
10727,-6.756298199349369
10728,-12.448834863891687
10730,-2.0557339826958727
10730,-2.0557339826958727
10731,-3.3848923694240445
10732,-7.632811271829017
10733,-2.2875501923031307
10734,-1.7814141579565004
10735,-10.466382870070387
10735,-10.466382870070387
10738,-1.1735896636106322
10739,-4.2094622615741075
10741,-6.29625493303475
10743,-2.128588834981707
10744,-7.849537301840605
10745,-1.5256177219585938
10747,-1.9331375302081963
10748,-6.778938280685907
10749,-4.149457267242327
10751,-3.815274509059093
10752,-9.791797318932675
10753,-7.572961633051851
10754,-4.181676347235083
10755,-11.640847729206506
10756,-3.3179385479305075
10757,-1.013435983391222
10758,-3.7095566765424897
1076,-1.2136754490963568
10760,-9.95341399613443
10763,-3.086045826164011
10764,-7.213452740701683
10764,-7.213452740701683
10766,-6.677506745904572
10769,-10.84479991483094
10770,-0.5349528991764605
10771,-3.646242961741997
10772,-3.729765981869518
10773,-1.300729546876425
10774,-1.0220002127779855
10775,-0.9872204439282068
10775,-0.9872204439282068
10776,-1.0885637194070286
10777,-4.355988299585452
10779,-3.7177728117234867
10779,-3.7177728117234867
1078,9.592189581850726e-4
10780,-3.5806204147463476
10781,-7.948052608154867
10782,-2.403695812514735
10783,-3.93159655998987
10784,-3.489654891907188
10784,-3.489654891907188
10785,-4.862773537228147
10786,-4.087075629447762
10787,-3.9000544723956247
10789,-2.2246791295511
10790,-2.748115448852202
10791,-3.5101058708695123
10792,-4.850472074326976
10793,-8.629237397387321
10796,-3.4429824245845886
10797,-3.4404440279878115
10798,-5.221558898632264
10800,-1.641170083286074
10801,-3.032304553836023
10802,-0.8882220738477519
10803,-5.759805393925644
10804,-4.291505686375279
10805,-4.346798926213765
10806,-5.121182892960429
10808,-3.429216370516453
10808,-3.429216370516453
10809,-5.038471842776699
10810,-5.073648053580365
10810,-5.073648053580365
10811,-3.6761551374437316
10813,-6.330331168843575
10813,-6.330331168843575
10816,-3.4911623271738184
10817,-1.2575238113367775
10818,-0.6436258117815502
10820,-0.5922856713153439
10823,-4.824079109807857
10824,-3.2714206984326166
10827,-2.1236625379322
10831,-5.997095526445747
10833,-9.558729709841613
10834,-3.51756608991216
10835,-3.3216223089764494
10836,-0.8304621623534111
10837,-6.756803820206885
10838,-9.993254540515416
10839,-3.217866433796901
10840,9.592189581850726e-4
10842,-2.6865701361376995
10844,-1.7590595483968459
10845,-1.4510095528294535
10846,-2.707482964992451
10846,-2.707482964992451
10847,-0.457768619894548
10848,-6.646624823446958
10849,-10.458310016740874
10850,-2.3134811161176394
10852,-4.911607899886965
10854,-10.048229169982697
10855,-6.587708008167381
10856,-3.7833983415544963
10857,-2.8186866891153772
10858,-5.974469159963753
10859,-6.048831398618502
10860,-5.307340323065566
10863,-4.973198544600039
10864,-4.51953296751717
10864,-4.51953296751717
10866,9.592189581850726e-4
10867,-4.776480788981219
1087,-4.636257887126946
10873,-1.9240208396024514
10874,-6.548840771038561
10876,-1.6265846235927832
10877,-4.337594182331563
10880,-5.768031075900075
10880,-5.768031075900075
10881,-9.289376232897904
10882,-7.3036952799805714
10883,-1.6582201814142297
10886,-5.274360323547134
10888,-0.7137672666692072
10889,-1.4041768972296729
10890,-1.9232106116537575
10891,-1.4552996583458842
10891,-1.4552996583458842
10892,-9.453717488593929
10893,-2.3777529830552626
10894,-5.401653428404695
10895,-6.467781322998364
10895,-6.467781322998364
10896,-6.901904011214491
10898,-5.336520639918536
10899,-4.4305286790173675
10900,-6.025420082221264
10901,-3.1298914922243113
10902,-4.608406839548396
10903,-9.966877332145616
10904,-4.282360749836273
10905,-0.9454721648029842
10906,-9.382502853609601
10907,-7.256804689886136
10908,-5.050919161730097
10909,-3.572429232133112
1091,-1.1497687824359444
10910,-7.452977630175862
10911,-0.8820456635005102
10912,-5.029225121982825
10913,-4.073513450023361
10915,0.8807457932203723
10916,-5.531515577555443
10919,-1.584603080793614
10920,-1.2735192297060738
10922,-5.727728379267765
10922,-5.727728379267765
10924,-7.164637560799275
10927,0.3064479030775902
10929,-2.5315813114516295
10930,-3.0273430056779174
10932,-3.5804007180457615
10933,-6.431202157003189
10934,-2.768825919752663
10935,-4.589615209018668
10935,-4.589615209018668
10936,-2.028017390851929
10938,-3.4358391378662914
10939,-8.233683994994816
10940,-2.228401069442873
10942,-0.515508832534249
10944,-3.628430882030022
10945,-4.864423159336456
10947,-1.1857100051058471
10949,-4.277174720178417
10950,-3.8730371792659906
10951,-10.305995598923314
10953,-7.564628237290586
10954,-7.733856753754107
10955,-2.7337913714720306
10957,-0.4410295389319853
10958,-2.3326328721149197
10959,-4.219202840964119
10960,-4.667731503923305
10961,-5.691237226073196
10962,-2.7244632201089427
10963,-5.363586287876068
10964,-0.4271809864691334
10965,-0.08997834842942445
10968,-3.318129952627416
10970,-4.488729282432286
10970,-4.488729282432286
10972,-2.6204355820882625
10973,-2.6887651280489964
10975,-5.779120027168398
10978,-3.672359068326715
10979,-3.3141883078290557
10981,-4.029211358751539
10983,-3.2880064513672167
10985,-3.452619709679852
10987,-4.087160727944911
10988,-1.111014139430639
10989,-2.8203950052959055
10989,-2.8203950052959055
10990,-1.6655297598907004
10991,-1.505929341397283
10993,-10.15412089420307
10994,-0.8257636565832717
10996,-4.6423629617879865
10998,-2.210240111931695
10998,-2.210240111931695
10999,-2.470980835942217
11000,-4.32266780609385
11002,-4.473771866118993
11004,-2.9489630540604006
11005,-8.686692885779575
11007,-2.5913890147889416
11008,-4.1223005189366075
11008,-4.1223005189366075
11011,-6.292435282258587
11012,-8.539735917035323
11013,-3.198046850238654
11013,-3.198046850238654
11015,-1.7109477203254524
11016,-6.664231730200562
11019,-3.496781561364098
11020,-5.235144102095093
11024,-0.6808798537333889
11024,-0.6808798537333889
11026,-1.2538454107436012
11026,-1.2538454107436012
11027,-1.871561275072219
11028,1.1260001136093722
11029,-2.1450829566931007
11030,-3.9113358921993937
11031,-3.9857405495278297
11032,-1.8922523305476149
11033,-0.7714985799518764
11034,-3.053025857534229
11035,-6.014585779055524
11035,-6.014585779055524
11040,-2.6201466380631357
11041,-7.38641128045449
11043,-7.739282604726544
11045,-6.536017243346716
11047,-7.075654001330321
11049,-4.0176942905767925
11051,-1.4649683791037538
11052,-5.8260692127039375
11052,-5.8260692127039375
11053,-1.7914945644240838
11054,-5.498808478477531
11057,-0.1890265754709039
11059,-2.251266200634991
11060,-8.912029259960407
11062,-1.5214703388729252
11063,-2.7078726405098967
11063,-2.7078726405098967
11065,-5.970931238908087
11066,-4.100110719118679
11067,-3.673284290110408
11070,0.41860448899095876
11073,-2.186093612715856
11074,-8.30870003821669
11076,-8.403200766852155
11077,-6.465839981304944
11078,-4.914640505014919
11078,-4.914640505014919
11079,-3.024761199368681
11080,-1.5183071352659998
11081,-2.3849906123291507
11081,-2.3849906123291507
11083,-1.3283498581232631
11084,-6.122397308695672
11085,-2.813019854276008
11088,-5.350413804016381
11089,-5.075821464955376
11090,-7.889472846500741
11091,-8.161667434888464
11093,-6.6079067493905255
11094,-7.817038981976487
11095,-4.983330459792095
11097,-1.9622841233602426
11098,-6.183906277851192
11099,-5.756557088014772
11100,-6.182458095770163
11102,-2.8130916990587136
11103,-1.4582782712078848
11104,-5.855531227207194
11105,-1.840063333146728
11106,-2.0156919996727236
11107,-6.635919338361076
11107,-6.635919338361076
11108,-3.346350298997084
11109,-2.4240872065224632
11110,-7.002444643395785
11113,-2.3099886588502185
11115,9.592189581850726e-4
11118,-3.051452213572408
11119,-2.3589062865348063
11120,-8.891786487988268
11121,-10.332206747928657
11121,-10.332206747928657
11124,-8.900790731701147
11128,-13.53626524568624
11129,-6.785647887927773
11130,-8.533734805244631
11130,-8.533734805244631
11136,-8.199986632607912
11138,-2.5241220094953505
11144,-8.426224368638398
11145,-4.909261219209417
11146,9.592189581850726e-4
11147,9.592189581850726e-4
11148,-14.496166371906341
11149,-3.73443096876669
11149,-3.73443096876669
1115,9.592189581850726e-4
1115,9.592189581850726e-4
11150,-6.828461888274409
11151,-0.1523246188165459
11154,-5.19330348983226
11155,-14.159205754235467
11162,-1.5767608801335433
11164,-0.8953952586439065
11167,-3.550428787281801
11167,-3.550428787281801
11168,-6.7190875823530964
11169,-11.836604134450745
11170,-0.34933230784489805
11173,-3.4445899032795566
11174,-7.763577708865547
11175,-5.7060771403671415
11176,-7.847867125382226
11178,-3.2982452421791884
11179,-7.040075142252689
1118,-2.8123101535769837
11180,-2.8602225219023976
11181,-6.744924812542207
11182,-5.3227651755348635
11185,-7.919332309674077
11186,-5.290815902121084
11186,-5.290815902121084
11188,-4.7647699922727105
11189,-2.887426198630996
11190,-5.3482468156030425
11191,-5.672905169436109
11192,9.592189581850726e-4
11193,-5.040720221689499
11197,-12.219557713474591
11198,2.3928473980557228
11199,-0.9063002198633291
11201,-0.6621780879876086
11206,-4.211132282553945
11206,-4.211132282553945
11207,-8.850292440241143
1121,9.592189581850726e-4
1121,9.592189581850726e-4
11211,-2.9533724515245705
11212,9.592189581850726e-4
11213,-6.614629534838389
11213,-6.614629534838389
11214,-2.5117372311637802
11227,-8.538851172343751
11230,-7.316109361329881
11232,-5.2613164385887465
11233,-5.3303703194341265
11234,-1.6348162893783624
11234,-1.6348162893783624
11242,-5.535918437749534
11246,-3.209982737461105
11247,-13.141750447716456
11248,-9.081911522725857
11249,9.592189581850726e-4
11250,-1.6413289558809794
11250,-1.6413289558809794
11255,-1.476802815770706
11255,-1.476802815770706
11256,-8.973941172307429
11257,-4.239840817867035
11258,-3.7398831064740543
11258,-3.7398831064740543
11259,-8.777243645308664
11260,-9.087670527735256
11261,-1.376406168654823
11263,-7.171376305622252
11264,-2.7403490124580547
11265,-8.012009488833781
11274,-2.231056674954586
11276,-3.7756715746923106
11280,-4.4972523871959105
11282,-2.8880464580601335
11284,-4.637436875009868
11287,-6.2285151068433535
11288,-4.769294745318926
1129,-0.5600260084317586
11290,-1.0228803887895477
11290,-1.0228803887895477
11291,-8.65021356307011
11292,-3.923938331691383
11294,-4.909721429615971
11295,-2.026525044356302
11298,-4.237984893042597
11299,-7.315584702879914
11301,-1.214623450050339
11302,-8.103846668698022
11305,-7.716268378532817
11305,-7.716268378532817
11306,-2.331482604980764
11306,-2.331482604980764
11307,-7.495556135849672
11309,-5.303094620863329
11311,9.592189581850726e-4
11312,-6.05331593654308
11313,-9.741778779559194
11315,-5.834639380222231
11317,-3.567380430902229
11318,-1.3327131767703153
11320,-14.09910574157432
11321,-5.836459606105105
11322,0.09441201466742763
11324,-0.7251511940215295
11325,-1.6253945510595558
11329,-12.016755403773905
1133,9.592189581850726e-4
1133,9.592189581850726e-4
11330,-0.9523262252007566
11332,-9.23156001156379
11336,-4.11337832125898
11339,9.592189581850726e-4
11340,-5.272580371739782
11341,-4.374905171784771
11342,-5.0534841557275545
11343,-5.944377348304006
11346,-0.42486715205199327
11347,-1.4120242653329622
11350,-12.223349467816426
11351,-7.406677116161587
11354,-7.664878963617243
11358,-4.310553978566116
11359,-5.835415813885038
11360,-4.080944155175385
11361,-0.4696500267862568
11362,-2.8998159076328625
11363,-3.557004494007119
11364,-7.652268354550046
11365,-3.5333814035801057
11366,-3.9900368206904067
11367,-3.374735663163843
11368,-1.2401565390323672
11369,-3.8268049757314673
11369,-3.8268049757314673
11372,-5.5872630230540405
11373,-11.167972118384023
11374,-0.14759687337663172
11378,-3.8283300419542488
11379,-2.4016019155104735
11383,-2.527295845358956
11385,-3.1175463227867573
11389,-5.521073856361827
11391,-3.4984475183335464
11394,-4.955278301140239
11395,-6.541196210830012
1140,-0.7570222942322031
11403,-10.997179362036807
11404,-9.269400465663463
11406,-5.886641408951783
11407,-6.32409431499305
11408,-4.30916274176046
11410,-5.506204214553073
11411,-3.9560128519712228
11412,-3.4829415820756977
11414,-4.66580891348527
11418,-5.68526639381351
11419,-6.4883165912843745
11422,-6.216229291602773
11423,-4.123889092536924
11425,-4.431399077288062
11427,-5.812331323503445
11427,-5.812331323503445
11428,-1.5717728084064764
11430,-7.5225631386241165
11431,-4.406279925471579
11435,-2.4670485957825186
11436,-6.120759816050591
11438,-3.068830265469866
11439,2.9632485301334017
11440,-7.634503736376859
11441,-6.719741984343686
11442,-5.849802230673706
11445,-0.7484405532205364
11446,-2.3580166635134168
11447,-7.140524405430823
11447,-7.140524405430823
11451,-2.341183213989189
11453,-3.6459395936666352
11454,-6.06873893867746
11460,-2.740416888456398
11461,-3.6109227581699197
11462,-6.034271045113572
11462,-6.034271045113572
11463,-1.761017758787168
11464,-7.007696173664238
11466,-5.662786959781983
11467,-4.866629957366262
11469,-0.3171372482001279
11472,-1.95389474354202
11475,-4.575229960033954
11476,-4.735747820684254
11477,-3.274450184135663
11483,-4.766728166269951
11489,-2.390120807182801
11489,-2.390120807182801
11490,-7.637315011562681
11492,-9.507941901004358
11492,-9.507941901004358
11493,-0.4549730729883885
11497,-5.227480666832868
11499,-2.660596936375695
11500,-4.928259227823466
11502,-6.036574876434736
11504,-4.179966769692968
11505,0.3192415749437389
11506,-5.801563324683431
11508,-0.9525579609253202
11512,-7.999255718451676
11515,-4.90008881565055
11516,-7.836530620282286
11517,-5.352834163149604
11518,-9.17093979284219
11521,-0.47131162871291227
11522,-5.968671304402536
11523,-8.312701925337336
11525,-5.895463174911008
11525,-5.895463174911008
11526,9.592189581850726e-4
11527,-5.507767884799528
11528,-9.383300833869367
