feature_number	inchi_key
10003	MIKGGKWYYRGUOI-UHFFFAOYSA-N
10035	RUQJSJHHSDXJNE-UHFFFAOYSA-N
10110	IPQVGGPKPGSZRF-UHFFFAOYSA-N
10205	VVRCMYBORQSUTG-UHFFFAOYSA-N
10266	NIZDTKKFYLYFHL-UHFFFAOYSA-N
10311	QIEQKZQJQYOBMT-UHFFFAOYSA-N
10312	RFTZALIPXZADMG-UHFFFAOYSA-N
10369	KTTKTRPGIPHOHS-UHFFFAOYSA-N
10580	QOWWJNPJMGCTMO-UHFFFAOYSA-N
10604	KIVAWRFBLXNJMC-UHFFFAOYSA-N
10632	FOGOKKRFWKCVQL-UHFFFAOYSA-N
10663	KLOVRGVJXDKOCC-UHFFFAOYSA-N
10675	ZGBQAQWFRYPPCX-UHFFFAOYSA-N
10681	YHDAOLOJCJJQDK-UHFFFAOYSA-N
10684	UUQJYCLLOPYGJU-UHFFFAOYSA-N
10696	GIJVDTCIXGNNIX-UHFFFAOYSA-N
10698	CFGPREJTPSBXHY-UHFFFAOYSA-N
10703	GZFVGYNDYJGOFD-UHFFFAOYSA-N
10712	IOIIVJILYSFEGC-UHFFFAOYSA-N
10719	FHXNJPUMTPPACZ-UHFFFAOYSA-N
10743	QNKINRGFGIQVCZ-UHFFFAOYSA-N
10749	HUBMVUJKYHOYDU-UHFFFAOYSA-N
10758	OFPYAWPBACBVDD-UHFFFAOYSA-N
10797	WBBGHNOGIHYRBE-UHFFFAOYSA-N
10801	WRMXRRHQPCZYLN-UHFFFAOYSA-N
10833	ZFXMWLBJTVDJDF-UHFFFAOYSA-O
10839	CLBTWRRHGQBGIA-UHFFFAOYSA-N
10874	LUBMSOHGUAAXAM-UHFFFAOYSA-N
10950	SFCYYQOMNJKEMP-UHFFFAOYSA-N
11083	RIEHICRNINRNPG-UHFFFAOYSA-N
11130	YGLKVMXFHFFGJI-UHFFFAOYSA-N
11138	RXAZVEZCVBLWKV-UHFFFAOYSA-N
11162	YYPBISTZUIDAHI-UHFFFAOYSA-N
11180	YFXONOKYPFZTMT-UHFFFAOYSA-N
11190	PKOIVMTWTZPJFW-UHFFFAOYSA-N
11193	ANBSLCNNBOEVII-UHFFFAOYSA-N
11295	CZXYINYTXYDVJU-UHFFFAOYSA-N
11366	PYRZWDCBYGRESL-UHFFFAOYSA-N
11408	HLVHLOMZXCWFRK-UHFFFAOYSA-N
11483	BTBAUDOPDNQGPF-UHFFFAOYSA-N
11550	UEAYEXIRZLSDGM-UHFFFAOYSA-N
11625	VKMAFEOAGIZJDG-UHFFFAOYSA-N
11709	KAFAUDKXLNVIFI-UHFFFAOYSA-N
11779	CJYLBOBCMBSNBJ-UHFFFAOYSA-N
11887	YSYYXTPOWMFMEU-UHFFFAOYSA-N
11904	YSDIBIHEZXMDAX-UHFFFAOYSA-N
11973	GTENJNGFKWQSBH-UHFFFAOYSA-N
12004	NPJBZGIYDBLGAO-UHFFFAOYSA-N
12048	JSJRDBIHQCSPBH-UHFFFAOYSA-N
12057	AIQQSWMXNPMCJK-UHFFFAOYSA-N
12104	PCPHDANCTNHYNO-UHFFFAOYSA-N
12180	REXIDJJYMIZLNM-UHFFFAOYSA-N
12197	ATHOESDBHWREBB-UHFFFAOYSA-N
12280	FEQWWLBNVBPZBI-UHFFFAOYSA-N
12374	RTSQHHMTZYWCJM-UHFFFAOYSA-N
12437	MKJNWTRDZWQZRC-UHFFFAOYSA-N
12613	KIVAWRFBLXNJMC-UHFFFAOYSA-N
12624	FBBBYTFYYNYGMH-UHFFFAOYSA-N
12625	XUKALFGLKSNDRK-UHFFFAOYSA-N
12685	ISBYLADRNFAXKB-UHFFFAOYSA-N
12836	VZJWUONKSRFBMF-UHFFFAOYSA-N
12957	KVDDHYJMXSLMJC-UHFFFAOYSA-N
12980	FLWNMCDXJOHKEA-UHFFFAOYSA-N
13139	DKNYFJIVBZTCKO-UHFFFAOYSA-N
