superclass_consensus,featureCount_Day,featureCount_Night,relativeCounts_Day,relativeCounts_Night,relativeT0Prod_Day,relativeT0Prod_Night,TIC_Day,TIC_Night
Benzenoids,85,47,0.08235294117647059,0.2765957446808511,0.034080260940077156,0.29275517109560234,2638936987.643305,562944078.651427
"Lignans, neolignans and related compounds",2,NA,0.5,NA,0.2744194339308885,NA,20137900.674517557,NA
Lipids and lipid-like molecules,739,625,0.2774018944519621,0.2928,0.12120123505313711,0.184946914088934,18123657324.7062,20476425290.794483
Organic acids and derivatives,684,522,0.24853801169590642,0.11494252873563218,0.20876556375131056,0.03957983824993254,18027779026.705315,15702370445.98888
Organic nitrogen compounds,61,57,0.21311475409836064,0.7543859649122807,0.07077725515154977,0.8722119406378421,3707026393.604252,1372188703.789558
Organic oxygen compounds,157,138,0.044585987261146494,0.09420289855072464,0.020923657291278604,0.06598521562195786,1459022882.6231532,490365304.5321876
Organoheterocyclic compounds,74,48,0.0945945945945946,0.20833333333333334,0.015713182228476907,0.07440982237975477,4133959827.056313,614409909.2320691
NA,2337,1986,0.12537441163885324,0.2084592145015106,0.25171086064509796,0.49855335067735196,78953407146.55803,54071432012.0611
