DayNight,feature_number,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,ZodiacMF,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,inchi,inchi_key
Night,12479,-0.3544633884178015,-0.9289998006455318,-2.564400070468692,1.7568483455958714,0.40909755697021244,-2.4892110353360613,Pocillopora verrucosa,0.999688044205179,3.119557948210459e-4,0.9999999384831213,0.04046686996904909,depletolite,83,DL-.beta.-Homoleucine,2,Monoalkylamines,1,CHEMONTID:0000469,6,CHEMONTID:0002450,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450;CHEMONTID:0000469,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,Monoalkylamines,NA,NA,C6H25N11O4,Bad quality,6,25,11,4,0,0,2.666666666666667,-15.700000000000017,2,"InChI=1S/C7H15NO2/c1-5(2)3-6(8)4-7(9)10/h5-6H,3-4,8H2,1-2H3,(H,9,10)",uncharacterized,NA,NA
Night,12596,-2.820030340830647,-1.9074503872849395,-2.3646662472423547,0.309500329711103,-1.2924722724929403,1.9396490547609375,Pocillopora verrucosa,0.999340134213929,6.598657860710786e-4,0.9999999384831213,0.049703790560717484,depletolite,21,Organic acids and derivatives,3,Carboxylic acid derivatives,0.89,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C19H33NO6,Good,19,33,1,6,0,0,-0.9473684210526319,87.30000000000001,3,N/A,CHON,"InChI=1S/C19H33NO6/c1-5-7-8-9-11-14-17(26-15(21)10-6-2)13(4)25-19(23)16(20)12(3)24-18(14)22/h12-14,16-17H,5-11,20H2,1-4H3",QVYKGTOHLWCFJN-UHFFFAOYSA-N
Night,12681,-0.12383266515100881,-0.7526775141498887,-3.774397167728747,0.13795831689100943,0.3019408538756122,-1.1996570412574235,Pocillopora verrucosa,0.9994169641194304,5.830358805695644e-4,0.9999999384831213,0.047891141927414234,depletolite,5254,Massbank:EA017203 Metoprolol|1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C13H23N4O2,Bad quality,13,23,4,2,0,0,-0.5384615384615383,75.64615384615384,1,"1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3",uncharacterized,NA,NA
Night,12910,0.45475561676832676,-3.811918871545605,-5.429620871532843,0.36595986368642,-0.053530843801577514,-0.4133450627693161,Pocillopora verrucosa,0.9999620439184758,3.795608152424003e-5,0.9999999384831213,0.02804085201400325,depletolite,-1,L-Homocitrulline,2,Carbonyl compounds,0.82,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,C18H27NO7,Good,18,27,1,7,0,0,-0.5555555555555554,76.13333333333333,2,"InChI=1S/C7H15N3O3/c8-5(6(11)12)3-1-2-4-10-7(9)13/h5H,1-4,8H2,(H,11,12)(H3,9,10,13)",CHON,"InChI=1S/C18H27NO7/c1-19-16(21)9-10-17(22)26-15(12-20)4-2-3-11-25-14-7-5-13(6-8-14)18(23)24/h5-8,15,18,20,23-24H,2-4,9-12H2,1H3,(H,19,21)",FZCRIJMGCOQNJL-UHFFFAOYSA-N
Night,12964,-0.7658736448840886,-0.36078634884592503,-2.6690091287427826,-1.1186145602714817,-0.3373394351654449,-1.4163756562541607,Pocillopora verrucosa,0.9999998904373499,1.0956265011631446e-7,0.9999999384831213,0.0053016818578033986,depletolite,434,11.beta.-Misoprostol,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C15H24O3,Good,15,24,0,3,0,0,-1.2000000000000002,94.5,2,"InChI=1S/C22H38O5/c1-4-5-14-22(2,26)15-10-12-18-17(19(23)16-20(18)24)11-8-6-7-9-13-21(25)27-3/h10,12,17-18,20,24,26H,4-9,11,13-16H2,1-3H3/b12-10+/t17-,18-,20+,22?/m1/s1",CHO,"InChI=1S/C15H24O3/c1-11-6-5-9-15(2,3)13(11)8-7-12(16)10-14(17)18-4/h6,13H,5,7-10H2,1-4H3",HTKAMZWBGHMAFF-UHFFFAOYSA-N
Night,13114,-0.9303975211325464,-0.9224216989282364,-3.615929140673129,-0.17045945033533122,0.19535341341808388,-0.23134514789825067,Pocillopora verrucosa,0.9999979385234952,2.0614765048210066e-6,0.9999999384831213,0.024938454332509026,depletolite,-1,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,N/A,uncharacterized,NA,NA
Night,13158,7.231409333359949,6.371215373076888,-2.4529113652424916,0,0,4.744395078837313,Pocillopora verrucosa,0.9995294201069129,4.7057989308714286e-4,0.9999999384831213,0.045315673107542885,depletolite,343,Eicosapentaenoic acid ethyl ester,2,Dialkyl phosphates,1,CHEMONTID:0003459,6,CHEMONTID:0003457,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000402;CHEMONTID:0000408;CHEMONTID:0003457;CHEMONTID:0003459,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Phosphate esters,Alkyl phosphates,Dialkyl phosphates,NA,NA,C25H42NO7P,Good,25,42,1,7,1,0,-1.2000000000000002,94.5,2,"InChI=1S/C22H34O2/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24-4-2/h5-6,8-9,11-12,14-15,17-18H,3-4,7,10,13,16,19-21H2,1-2H3/b6-5-,9-8-,12-11-,15-14-,18-17-",CHONP,"InChI=1S/C25H42NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-25(28)31-22-24(27)23-33-34(29,30)32-21-20-26/h3-4,6-7,9-10,12-13,15-16,24,27H,2,5,8,11,14,17-23,26H2,1H3,(H,29,30)",KCWGBXXAJHVZNN-UHFFFAOYSA-N
Night,13247,-1.5115175822373115,-0.035961378142686184,-2.950388758384678,-2.2714167015733437,-2.605779944738438,3.064234213661785,Pocillopora verrucosa,0.9994881665947444,5.118334052555503e-4,0.9999999384831213,0.04599305481379327,depletolite,61,THEAFLAVIN DIGALLATE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"InChI=1S/C43H32O20/c44-17-7-23(46)21-12-33(62-42(58)15-3-25(48)36(54)26(49)4-15)40(60-31(21)9-17)14-1-19-20(11-30(53)39(57)35(19)38(56)29(52)2-14)41-34(13-22-24(47)8-18(45)10-32(22)61-41)63-43(59)16-5-27(50)37(55)28(51)6-16/h1-11,33-34,40-41,44-51,53-55,57H,12-13H2,(H,52,56)/t33-,34-,40-,41-/m1/s1",uncharacterized,NA,NA
Night,1355,-0.7580874985802004,-0.18896913903737586,-2.8491315227484444,-0.5412533774472754,-0.9569563733313693,1.004452626493968,Pocillopora verrucosa,0.9994121175398613,5.878824601387502e-4,0.9999999384831213,0.047891141927414234,depletolite,1251,Tetraethylene glycol,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C5H17N5OP,Low probability,5,17,5,1,1,0,-1,88.8,2,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",uncharacterized,NA,NA
Night,13637,0.9392246797425655,-0.09061263007297043,-2.3339250651309937,-2.540777689628757,-3.814459630042973,-1.6343789558038406,Pocillopora verrucosa,0.9993270183104985,6.729816895014747e-4,0.9999999384831213,0.049724315252288535,depletolite,5486,"(S)-8-(2-hydroxy-2,2-diphenylacetoxy)-1-methyl-1-azoniabicyclo[2.2.2]octane",2,Carboxylic acid derivatives,0.8,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,C24H32NO2,Good,24,32,1,2,0,0,-1.041666666666667,89.98750000000001,2,"InChI=1S/C22H26NO3.BrH/c1-23-14-12-17(13-15-23)20(16-23)26-21(24)22(25,18-8-4-2-5-9-18)19-10-6-3-7-11-19;/h2-11,17,20,25H,12-16H2,1H3;1H/q+1;/p-1",CHON,"InChI=1S/C24H32NO2/c1-5-6-17-22(23(26)27-24(2,3)4)25(18-20-13-9-7-10-14-20)19-21-15-11-8-12-16-21/h7-16,22H,1,5-6,17-19H2,2-4H3",LPRSWKJRDAGQGG-UHFFFAOYSA-N
