netEcoNet,Superclass,Class,Subclass,net_act
Organic acids and derivatives_35,Organic acids and derivatives,NA,NA,35
Organic nitrogen compounds_3585,Organic nitrogen compounds,NA,NA,3585
Lipids and lipid-like molecules;Fatty Acyls;Lineolic acids and derivatives_480,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,480
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_-4549",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-4549
Lipids and lipid-like molecules;Sphingolipids;Ceramides_1876,Lipids and lipid-like molecules,Sphingolipids,Ceramides,1876
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_5425",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",5425
Organoheterocyclic compounds;Indoles and derivatives;N-alkylindoles_280,Organoheterocyclic compounds,Indoles and derivatives,N-alkylindoles,280
Lipids and lipid-like molecules_2152,Lipids and lipid-like molecules,NA,NA,2152
Organic oxygen compounds;Organooxygen compounds_2159,Organic oxygen compounds,Organooxygen compounds,NA,2159
Benzenoids;Benzene and substituted derivatives;Benzoic acids and derivatives_2933,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,2933
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_4953",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",4953
Lipids and lipid-like molecules_1514,Lipids and lipid-like molecules,NA,NA,1514
Lipids and lipid-like molecules;Fatty Acyls_2035,Lipids and lipid-like molecules,Fatty Acyls,NA,2035
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_1075",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1075
Lipids and lipid-like molecules;Fatty Acyls;Eicosanoids_533,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,533
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_336",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",336
Lipids and lipid-like molecules_107,Lipids and lipid-like molecules,NA,NA,107
Organic oxygen compounds;Organooxygen compounds;Alcohols and polyols_5393,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,5393
Organic nitrogen compounds;Organonitrogen compounds;Amines_-5247,Organic nitrogen compounds,Organonitrogen compounds,Amines,-5247
Organic acids and derivatives;Carboxylic acids and derivatives_4032,Organic acids and derivatives,Carboxylic acids and derivatives,NA,4032
Benzenoids_2181,Benzenoids,NA,NA,2181
Organic oxygen compounds_485,Organic oxygen compounds,NA,NA,485
Lipids and lipid-like molecules_774,Lipids and lipid-like molecules,NA,NA,774
Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates_1266,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1266
Lipids and lipid-like molecules;Fatty Acyls;Fatty acids and conjugates_5736,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,5736
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_-5650",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",-5650
Organic acids and derivatives_437,Organic acids and derivatives,NA,NA,437
Lipids and lipid-like molecules_3292,Lipids and lipid-like molecules,NA,NA,3292
Lipids and lipid-like molecules_636,Lipids and lipid-like molecules,NA,NA,636
Organic acids and derivatives_992,Organic acids and derivatives,NA,NA,992
"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues_1291",Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",1291
Organic acids and derivatives;Carboxylic acids and derivatives_1304,Organic acids and derivatives,Carboxylic acids and derivatives,NA,1304
Lipids and lipid-like molecules_3813,Lipids and lipid-like molecules,NA,NA,3813
"Organoheterocyclic compounds;Triazines;1,3,5-triazines_-6269",Organoheterocyclic compounds,Triazines,"1,3,5-triazines",-6269
Lipids and lipid-like molecules;Steroids and steroid derivatives;Estrane steroids_-6367,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,-6367
Phenylpropanoids and polyketides;Flavonoids;Flavones_1961,Phenylpropanoids and polyketides,Flavonoids,Flavones,1961
Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates_1072,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,1072
