Organism,network,molnet_string,modeled_lability,activity,log2_change,N,P,C,NOSC
Dictyota,980,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Triterpenoids,-4.297474059570834,depletolite,-3.321695492432862,2,0,25.333333333333332,-1.3811063627730296
Dictyota,1018,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-3.308744065505715,depletolite,-1.0713093291508184,2,1.3333333333333333,17,-1.6813897488820089
Dictyota,1063,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Eicosanoids,-3.6637351479395934,depletolite,-0.22813457937945422,4,0.25,21.25,-0.7230731225296443
Dictyota,1095,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,-2.907614031906384,depletolite,-3.506140122644747,2,0,14.5,-0.8952380952380952
Dictyota,1291,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Carbohydrates and carbohydrate conjugates,-3.2750661154530416,depletolite,-0.965777100579284,1,0,18.428571428571427,-1.1782397169394074
Dictyota,1332,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Diterpenoids,-3.4892774638261512,depletolite,-5.656054919635129,2,0,29,-0.5517241379310347
Dictyota,1370,Organic compounds;Organoheterocyclic compounds;Pyrans;Pyranones and derivatives,-3.657676228260118,depletolite,0.17177353762274597,1,1,7,-1.8571428571428568
Dictyota,1827,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;nan,-4.000186881332632,depletolite,-2.3275555883112014,2,0,16.5,-0.48897058823529393
Dictyota,1969,"Organic compounds;Alkaloids and derivatives;Lupin alkaloids;Amino acids, peptides, and analogues",-3.345849480329158,depletolite,-10.709108876924052,3,0,20.5,-1.2572463768115942
Dictyota,2108,Organic compounds;Lipids and lipid-like molecules;Steroids and steroid derivatives;Vitamin D and derivatives,-4.4306097920557095,depletolite,-2.600058312016488,6,0,24,-0.75
Dictyota,2232,Organic compounds;Phenylpropanoids and polyketides;Macrolactams;nan,-5.390539797328819,depletolite,-7.458436437784829,3,0,23,-0.5217391304347823
Dictyota,2405,Organic compounds;Organoheterocyclic compounds;Piperidines;nan,-3.468821137982075,depletolite,-2.234447550723945,2,0,15,-0.8666666666666663
Dictyota,3585,Organic compounds;Organoheterocyclic compounds;Pyrrolidines;nan,-2.764526020630071,depletolite,-1.7870889515396826,1,0,16,-1.625
Dictyota,4779,Organic compounds;Organoheterocyclic compounds;Tropane alkaloids;nan,-3.5424994263513403,depletolite,-3.3838543316082923,1,0,14,-0.8571428571428568
Dictyota,4953,Organic compounds;Lipids and lipid-like molecules;Benzene and substituted derivatives;Amines,-3.395407642099343,depletolite,-4.8473860933930695,2,0,13,-1.0769230769230766
Pocillopora verrucosa,17,"Organic compounds;Lipids and lipid-like molecules;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-3.8949905096388053,depletolite,-9.735352592460218,1.1428571428571428,1,19.428571428571427,-1.5668354298241036
Pocillopora verrucosa,21,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-3.406190904536531,depletolite,-8.975817671423801,1.2045454545454546,0.022727272727272728,20.84090909090909,-1.2657275887011321
Pocillopora verrucosa,77,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-635.88715783617,depletolite,-3.1300238094824553,0,0,20,-1.2000000000000002
Pocillopora verrucosa,80,"Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-282.4989580532537,depletolite,-1.2599513537811524,1.6071428571428572,0.2857142857142857,18.607142857142858,-0.6541670027694872
Pocillopora verrucosa,87,Organic compounds;Organoheterocyclic compounds;Carboxylic acids and derivatives;nan,-4.540671673927112,depletolite,-4.020634025358119,1.4444444444444444,0.1111111111111111,24,-0.5796354603251154
Pocillopora verrucosa,113,"Organic compounds;Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",-4.331726306383801,depletolite,-5.457520871164649,4.5,0.5,18,-1.0551948051948052
Pocillopora verrucosa,155,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Monoterpenoids,-4.222573389479506,depletolite,-12.495545044671799,3,0,11.166666666666666,-0.893939393939394
Pocillopora verrucosa,167,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-479.14352732300256,depletolite,-4.99542590879509,0,0,19,-1.1555555555555554
Pocillopora verrucosa,193,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;Fatty amides,-2.5465461053057217,depletolite,-10.888755950189923,1,0,18,-1.5555555555555554
Pocillopora verrucosa,212,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;Glycerophosphoethanolamines,-5.428529870965067,depletolite,-12.402361815677715,8,0.5,22.5,-0.9672619047619047
Pocillopora verrucosa,280,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls;nan,-5.397094688346917,depletolite,-1.3874574378373241,1,0,19,-1.0526315789473681
