feature_number,ecoNetConsensus,net_act,Day_CCA,Day_Dictyota,Day_Pocillopora verrucosa,Day_Porites lobata,Day_Turf,Night_CCA,Night_Dictyota,Night_Pocillopora verrucosa,Night_Porites lobata,Night_Turf,Daysum,Nightsum,DayNight_night,activity_night,DayNight_day,activity_day
10231,NA,-10231,NA,NA,7.170876663805686,6.452635307443394,NA,NA,NA,NA,NA,NA,13.62351197124908,0,Night,recalcitrant,Day,recalcitrant
10240,NA,20,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,Night,recalcitrant,Day,recalcitrant
10247,NA,-10247,NA,7.210617149718479,NA,NA,NA,NA,NA,NA,NA,NA,7.210617149718479,0,Night,recalcitrant,Day,recalcitrant
10250,NA,256,NA,6.039269370991075,NA,NA,NA,NA,NA,NA,NA,NA,6.039269370991075,0,NA,NA,Day,recalcitrant
10263,NA,-10263,NA,7.435273713652112,NA,NA,NA,NA,7.562147823521643,NA,NA,NA,7.435273713652112,7.562147823521643,Night,recalcitrant,Day,recalcitrant
10268,Lipids and lipid-like molecules;Fatty Acyls,165,NA,8.614816607131374,NA,NA,NA,NA,8.605579763791864,NA,NA,NA,8.614816607131374,8.605579763791864,Night,recalcitrant,Day,recalcitrant
10269,Lipids and lipid-like molecules;Fatty Acyls,165,NA,8.186332941590372,NA,NA,NA,NA,8.153778433597306,NA,NA,NA,8.186332941590372,8.153778433597306,Night,recalcitrant,Day,recalcitrant
10271,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,5094,0,6.499045217629533,NA,NA,NA,NA,6.041715842776423,0,NA,NA,6.499045217629533,6.041715842776423,Night,recalcitrant,Day,recalcitrant
10272,NA,3714,NA,0,NA,NA,0,NA,3.8268453804348814,NA,NA,NA,0,3.8268453804348814,Night,recalcitrant,Day,recalcitrant
10273,NA,-10273,NA,4.107680469120708,7.235465011180381,3.3840765915238284,NA,3.3837472619886335,0,3.3518140247046833,0,0,14.727222071824917,6.735561286693317,Night,recalcitrant,Day,recalcitrant
10274,Lipids and lipid-like molecules,627,NA,6.701459150845625,NA,NA,NA,NA,6.255195291746087,NA,NA,NA,6.701459150845625,6.255195291746087,Night,recalcitrant,Day,recalcitrant
10275,"Organic acids and derivatives;Carboxylic acids and derivatives;Amino acids, peptides, and analogues",3965,5.350554568988029,6.544962955765648,NA,NA,NA,NA,5.885494352166949,2.4678694915659256,NA,NA,11.895517524753677,8.353363843732875,Night,recalcitrant,Day,recalcitrant
10279,NA,-10279,0,0,NA,NA,NA,3.7934701366765418,0,NA,NA,NA,0,3.7934701366765418,Night,recalcitrant,Day,recalcitrant
10280,Organic oxygen compounds;Organooxygen compounds;Carbohydrates and carbohydrate conjugates,147,NA,6.868454505325545,NA,NA,NA,NA,5.88319599968297,NA,NA,NA,6.868454505325545,5.88319599968297,Night,recalcitrant,Day,recalcitrant
10281,NA,2976,NA,NA,NA,NA,NA,NA,NA,6.47541712586346,NA,NA,0,6.47541712586346,Night,recalcitrant,Day,recalcitrant
10283,NA,-10283,NA,3.4786407091711915,NA,NA,NA,NA,5.387283609454442,5.251032356979275,NA,NA,3.4786407091711915,10.638315966433716,Night,recalcitrant,Day,recalcitrant
