feature_number,OTU,fdr
1001,Otu0003,0.019598409638565083
10030,Otu0003,0.001204259616111838
10081,Otu0003,0.04085047423352975
10082,Otu0003,0.004116995913974376
1014,Otu0003,0.002484195001841147
10155,Otu0003,0.032738595352795385
10223,Otu0003,6.966476146979491e-4
10279,Otu0003,0.001518761899154642
10286,Otu0003,0.007419850394229665
10310,Otu0003,0.036755278796597325
10457,Otu0003,3.265295575891443e-4
10505,Otu0003,0.021871488589729343
10598,Otu0003,0.004903898915968857
10604,Otu0003,0.03045751522318644
10610,Otu0003,0.014160392441623643
10622,Otu0003,4.517212205145617e-4
10639,Otu0003,0.0017978334258396999
10656,Otu0003,0.026799509453836152
10673,Otu0003,0.0019809538870906806
10677,Otu0003,9.166051002119708e-4
10696,Otu0003,2.7937354390533006e-5
10698,Otu0003,0.007302379678435027
10755,Otu0003,0.003501390057906076
10760,Otu0003,0.03854770140050041
10805,Otu0003,8.092700037464666e-5
10838,Otu0003,0.0023153009714456073
10854,Otu0003,0.029036866986263676
10855,Otu0003,4.0850966738796053e-4
10864,Otu0003,0.024254660397104784
10892,Otu0003,4.5756403454089324e-5
10903,Otu0003,7.155485521785518e-4
10906,Otu0003,6.572895175896447e-4
11005,Otu0003,0.023037611904337594
11016,Otu0003,0.04179341338829275
11043,Otu0003,0.006992501439419803
11120,Otu0003,4.939020148451472e-4
11155,Otu0003,0.014408422166976732
11174,Otu0003,3.6512369956735264e-4
11181,Otu0003,0.034537840995027554
11182,Otu0003,9.413184172382905e-4
11185,Otu0003,7.1704987735652224e-6
11197,Otu0003,0.028847537761804626
11207,Otu0003,0.006362394939529244
11247,Otu0003,0.02106124139624283
11256,Otu0003,0.014407636329496905
11257,Otu0003,0.03474341574788969
11259,Otu0003,8.26988054678334e-4
11294,Otu0003,0.0076042083701656224
11315,Otu0003,7.132339671119916e-5
11321,Otu0003,0.0017714420686804839
11329,Otu0003,8.40546246583621e-4
11336,Otu0003,0.04596592953180209
11359,Otu0003,0.0035942223418824154
11373,Otu0003,0.017791626313937325
11385,Otu0003,0.0023338667219748037
11395,Otu0003,0.03159006590045348
11422,Otu0003,2.178613646743475e-5
11427,Otu0003,2.5066357469629032e-5
11440,Otu0003,5.466718364671223e-4
11441,Otu0003,0.0015495105515130998
11447,Otu0003,0.0019201291457735655
11483,Otu0003,1.945561502105813e-4
11492,Otu0003,0.004802769036973602
11580,Otu0003,0.0025160827281841313
11622,Otu0003,0.012039671596488059
11638,Otu0003,0.006157469844392891
11660,Otu0003,8.074105301556633e-5
11670,Otu0003,0.01571178926594505
11673,Otu0003,0.012433647513466784
11679,Otu0003,0.0016411154736190202
11695,Otu0003,7.792218897662321e-4
11706,Otu0003,5.946105750628398e-4
11714,Otu0003,0.02130339178519164
11716,Otu0003,0.04877587329253185
11727,Otu0003,0.00854964344037399
11748,Otu0003,0.02503163037000237
11764,Otu0003,8.137570381786118e-4
11783,Otu0003,0.0033862393499423664
11788,Otu0003,1.9236759664305274e-4
11831,Otu0003,0.035733892723972614
11835,Otu0003,0.01194807701296263
11859,Otu0003,0.004643902652336664
11867,Otu0003,0.0208673603783533
11887,Otu0003,0.0033892075878261827
11905,Otu0003,0.001712382717833548
11924,Otu0003,3.4015573902309296e-4
11953,Otu0003,0.020504512923223386
11984,Otu0003,0.0010850485753854673
12018,Otu0003,0.010079311636367702
12039,Otu0003,0.014651271831792344
12040,Otu0003,0.0027695676654689518
12124,Otu0003,0.014734232221873318
12129,Otu0003,0.0074124809604222686
1213,Otu0003,0.029990678092742223
12147,Otu0003,0.009383129285601133
12156,Otu0003,0.020259450592962268
12172,Otu0003,0.020109157262865374
12245,Otu0003,0.029020451093766286
12247,Otu0003,2.860623432400031e-5
12264,Otu0003,0.010158948540990372
12268,Otu0003,0.00525078716553904
12306,Otu0003,0.008533325391900028
12322,Otu0003,0.006377368435451932
12347,Otu0003,0.010020005624941304
12355,Otu0003,0.011751139113300224
12376,Otu0003,0.011197052596452432
12384,Otu0003,5.008668083746461e-4
12407,Otu0003,1.115121391332667e-6
12456,Otu0003,0.01063316609185616
12462,Otu0003,2.518874580899663e-4
12465,Otu0003,2.9228503659272504e-4
12470,Otu0003,1.0317776085379463e-4
12562,Otu0003,0.019160310703332278
12607,Otu0003,0.025287770962650755
12613,Otu0003,0.002036883966375159
12645,Otu0003,0.00551991621233133
12691,Otu0003,4.851363747239865e-4
12693,Otu0003,0.045708464810886265
12696,Otu0003,4.628296845850397e-4
12716,Otu0003,0.007982753812582531
12765,Otu0003,5.458158898530363e-4
12769,Otu0003,0.029110556905936422
12776,Otu0003,0.002003543220758169
12803,Otu0003,2.182474197266014e-4
12812,Otu0003,0.03149590504187303
12864,Otu0003,0.0034333970432608623
12886,Otu0003,4.836964036661667e-7
12898,Otu0003,0.008083110131875848
12938,Otu0003,2.802463205683314e-5
12949,Otu0003,0.03317732606909244
12978,Otu0003,0.0010686592906338464
12992,Otu0003,7.144361870147248e-4
13036,Otu0003,0.004731302653775072
13043,Otu0003,0.02421659828994403
13064,Otu0003,0.010336801745360535
13068,Otu0003,0.0026634197539370397
13085,Otu0003,0.001189656421524428
13099,Otu0003,0.03503298112577895
13113,Otu0003,0.00491684832875314
13115,Otu0003,0.015952336909993727
13135,Otu0003,0.002613637685280878
13163,Otu0003,6.014220986616745e-4
13174,Otu0003,0.024729133479130246
13189,Otu0003,1.5764013678500505e-4
13207,Otu0003,0.0017143936855371017
13211,Otu0003,0.04963256820642658
13298,Otu0003,0.04085930105169173
13409,Otu0003,0.031058489134341026
13427,Otu0003,0.030496076262200036
13444,Otu0003,1.2893947784600695e-5
13475,Otu0003,4.5072175871619985e-4
13504,Otu0003,3.961999878665411e-4
13526,Otu0003,0.00845456793880616
13561,Otu0003,0.019975918480099032
13580,Otu0003,0.04267023892508973
13624,Otu0003,0.021143233216002845
13727,Otu0003,0.0492303600726451
13738,Otu0003,0.0021856550161666586
13740,Otu0003,0.015893122318852086
14055,Otu0003,4.6539595146251637e-4
14094,Otu0003,6.444861582539516e-4
1410,Otu0003,1.499469989433608e-4
14111,Otu0003,6.892278356666492e-5
14156,Otu0003,0.02225257750576513
14174,Otu0003,0.015415396415395875
14238,Otu0003,0.012907122509501785
14283,Otu0003,0.021655487414151943
14305,Otu0003,0.0031661399788225995
14321,Otu0003,0.0011741635326800342
14372,Otu0003,0.016856095584144592
14402,Otu0003,0.0058567997603603495
14414,Otu0003,0.029595709608874428
14416,Otu0003,0.002077966231825612
14424,Otu0003,8.708948649867346e-4
14493,Otu0003,0.009734460971619481
14496,Otu0003,0.041988201579097204
14529,Otu0003,2.0042399819128468e-4
14533,Otu0003,0.010858080433674235
14537,Otu0003,0.024989131600258712
14682,Otu0003,0.019779159746953177
1469,Otu0003,4.542183821112498e-4
14702,Otu0003,1.352503720511063e-8
14783,Otu0003,0.02530914524848974
14856,Otu0003,0.0226392530667059
14873,Otu0003,0.0016893418608175748
14878,Otu0003,0.029203598278163496
14896,Otu0003,0.0034687731424310974
14926,Otu0003,0.010657709840635996
14932,Otu0003,0.009767911166014422
15013,Otu0003,4.896751666257622e-4
15064,Otu0003,2.2448740243433756e-5
15127,Otu0003,2.0042099197906425e-4
15251,Otu0003,0.01803992775670608
