DayNight,feature_number,CCA_log2,Dictyota_log2,Pocillopora verrucosa_log2,Porites lobata_log2,Turf_log2,Water control_log2,Organism,greater,lesser,FDR_greater,FDR_lesser,activity,CCA_xic,Dictyota_xic,Pocillopora verrucosa_xic,Porites lobata_xic,Turf_xic,Water control_xic
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10047,-3.3717790265374283,-3.029734777586341,-2.501863117960425,-4.366077877341707,-3.546682364580292,-4.045732080001042,CCA,0.9999897708933881,1.0229106611848706e-5,0.9999999384831213,0.027493599371831743,depletolite,1107413.0407656168,1842019.1552226613,1329521.3466211148,963892.9495332176,1037353.5475039063,746876.3170781359
Day,10135,-1.9693677960245348,-1.9576184020575933,-2.6465746984801295,-3.055080858732137,-2.138363394111114,-2.1541459844898116,CCA,0.9996178330479137,3.821669520862397e-4,0.9999999384831213,0.042713853753884846,depletolite,808595.7798574031,1048018.7345155898,535381.1681562467,1071500.6487812628,833700.0516005768,618928.0123242177
Day,10135,-1.9693677960245348,-1.9576184020575933,-2.6465746984801295,-3.055080858732137,-2.138363394111114,-2.1541459844898116,CCA,0.9996178330479137,3.821669520862397e-4,0.9999999384831213,0.042713853753884846,depletolite,808595.7798574031,1048018.7345155898,535381.1681562467,1071500.6487812628,833700.0516005768,618928.0123242177
Day,10135,-1.9693677960245348,-1.9576184020575933,-2.6465746984801295,-3.055080858732137,-2.138363394111114,-2.1541459844898116,CCA,0.9996178330479137,3.821669520862397e-4,0.9999999384831213,0.042713853753884846,depletolite,808595.7798574031,1048018.7345155898,535381.1681562467,1071500.6487812628,833700.0516005768,618928.0123242177
Day,10135,-1.9693677960245348,-1.9576184020575933,-2.6465746984801295,-3.055080858732137,-2.138363394111114,-2.1541459844898116,CCA,0.9996178330479137,3.821669520862397e-4,0.9999999384831213,0.042713853753884846,depletolite,808595.7798574031,1048018.7345155898,535381.1681562467,1071500.6487812628,833700.0516005768,618928.0123242177
