DayNight,activity,term,estimate,std.error,statistic,p.value,r2,r,FDR
Day,accumolite,log(sample_nc),-0.8872704947724249,0.05789335689121861,-15.325946575176193,2.956232059504398e-44,0.30390646514046415,0.5512771219091757,5.912464119008796e-44
Night,accumolite,log(sample_nc),-0.7730029109443806,0.040177175785042596,-19.239851877098808,1.1176583515692655e-70,0.2651334697294112,0.5149111279914342,4.470633406277062e-70
Day,depletolite,log(sample_nc),-0.018578955827956527,0.08428374318966066,-0.2204334445154978,0.8255790495275742,4.907931177056124e-5,0.0070056628359179,0.8255790495275742
Night,depletolite,log(sample_nc),0.07971931443439241,0.07522951680875888,1.0596813300960986,0.2895218014366808,0.0010179504898255587,0.03190533638477361,0.38602906858224106
