feature_number,network,activity,num_features,DayNight.x,NOSC,quadrant,combined_ID,binary_ID,min_nosc,max_nosc,C,H,N,O,P,nc,pc,min_log2,max_log2,molnet_string,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,Water control,num_organism,CCA_produced,Dictyota_produced,Pocillopora verrucosa_produced,Porites lobata_produced,Turf_produced,dorcierr,unique_organism,DayNight.y
11154,7,accumolite,176,Day,-1.1538461538461542,"1, 5, 7",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.1538461538461542,-1.1538461538461542,26,49,1,8,0,0.038461538461538464,0,-7.8076014835686625,7.893478425094312,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-3.88615449296406,-1.85953018439653,-1.09753017166314,-0.810032727086613,-1.72497580539334,1.93946592166982,5,yes,yes,yes,yes,yes,yes,NA,NA
11185,7,accumolite,176,Day,-1.1333333333333337,"1, 3, 5, 7",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.1333333333333337,-1.1333333333333337,30,57,1,10,0,0.03333333333333333,0,-7.921011975608977,9.212078236951326,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,0.00143891833583097,-7.91885261029643,-0.872078576554958,-0.975695744088783,3.7815290625627,3.32421097507253,3,no,yes,yes,yes,no,yes,NA,NA
11214,7,accumolite,176,Day,-1.125,"1, 3, 5",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.125,-1.125,32,61,1,11,0,0.03125,0,-9.321748091972076,6.813938886334535,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,0.00143891833583097,1.64327707249345,-0.707954860690425,-3.25132512639737,1.62283150925313,0.00143891833583097,2,no,no,yes,yes,no,yes,NA,NA
11341,7,accumolite,176,Day,-1.2000000000000002,"5, 7",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.2000000000000002,-1.2000000000000002,20,37,1,5,0,0.05,0,-9.486503713672752,3.3043540482867475,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-3.6419890858637,-2.09938946560481,-2.61278944758745,-2.72955607935175,-2.05248845887343,-0.274195514887029,3,yes,no,yes,yes,no,yes,NA,NA
11367,7,accumolite,176,Day,-1.0370370370370372,"3, 5",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.0370370370370372,-1.0370370370370372,27,49,1,9,0,0.037037037037037035,0,-9.595711109824656,8.48556858994861,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,0.237210361406182,-1.81737858009066,0.680097997971384,-2.57864413007263,0.00143891833583097,0.00143891833583097,4,yes,yes,yes,yes,no,yes,NA,NA
11561,7,accumolite,176,Day,-0.7391304347826084,"1, 3, 5",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-0.7391304347826084,-0.7391304347826084,23,53,14,2,2,0.6086956521739131,0.08695652173913043,-7.8731544867847285,8.661996909554993,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,0.00143891833583097,3.87716973748341,-0.5884636609321,-0.453719284721037,4.13184688837916,0.00143891833583097,2,no,no,yes,yes,no,yes,NA,NA
12478,7,accumolite,176,Day,-1.0909090909090908,"5, 7",Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14,2,-1.0909090909090908,-1.0909090909090908,22,41,1,7,0,0.045454545454545456,0,-8.103157020887396,6.924904060767721,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-0.61062867673705,-1.10288817583137,-4.64728440465111,-6.10848865995001,-2.20655360639727,-4.25362517342123,1,yes,no,no,no,no,yes,NA,NA
12696,7,accumolite,176,Day,-1.615384615384615,"1, 5, 7",Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14,2,-1.615384615384615,-1.615384615384615,26,51,1,8,2,0.038461538461538464,0.07692307692307693,-10.606915843421701,11.691490618732976,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-6.42568187532681,-10.6047564781092,-6.63963970491619,2.54698301938265,2.24887036502175,-2.4160479490962,1,no,yes,no,no,no,yes,NA,NA
13117,7,accumolite,176,Day,-1.04,"1, 5, 7",Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,3,-1.04,-1.04,25,45,1,8,0,0.04,0,-9.992728069295076,7.840823929236598,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-3.33648411890602,1.52685635770667,-1.81901651483413,-1.66997181979372,1.81738531183478,3.82383008493764,4,yes,yes,yes,yes,no,yes,NA,NA
13632,7,accumolite,176,Day,-1.5238095238095237,"1, 3, 7",Spectral Match to p-tert-Octylphenol tetraglycol ether from NIST14,2,-1.5238095238095237,-1.5238095238095237,21,45,1,5,0,0.047619047619047616,0,-15.855331984266721,16.7212778759064,Organic compounds;Lipids and lipid-like molecules;Prenol lipids;nan,-7.86209934771414,8.16591530197933,0.00143891833583097,4.03126324781921,11.7144171892797,0.00143891833583097,1,yes,no,no,no,no,yes,NA,NA
