feature_number,Organism,DayNight,network,activity,ecoNetConsensus,xic,log10,ra,asin,net_act,ecoNetConsensusScore,numberOfNodes,Compound_Name
3259,Dictyota,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,9502625.009886745,6.977428036044703,5.459057860842608e-4,5.459058132053947e-4,2023,1,1,NA
3259,Pocillopora verrucosa,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,5556328.513234405,6.7445712003182265,1.3547351354671337e-4,1.3547351397035808e-4,2023,1,1,NA
3259,Pocillopora verrucosa,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,9450289.432882804,6.972751191728513,2.0918995869404804e-4,2.0918996024853502e-4,2023,1,1,NA
3259,Turf,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,4262022.863539066,6.612889413919357,2.7570568665712363e-4,2.757056905531998e-4,2023,1,1,NA
3259,Turf,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,11286160.56356236,7.043029135819971,0.0011180923996228348,0.0011180926469801997,2023,1,1,NA
3326,Dictyota,Day,4959,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,98277436.44269833,7.99238650131103,0.0027951436859760493,0.002795147570228377,4959,1,1,NA
3466,Dictyota,Day,534,recalcitrant,Organic nitrogen compounds,1087687021.769289,9.036496381124701,0.030887468461823598,0.030892663675379833,534,0.6666666666666666,3,NA
3553,Turf,Day,2064,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Guanidines,48031218.75730858,7.681391164327216,0.003170339553217422,0.003170344913795811,2064,1,2,NA
3570,CCA,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2503188.2919062795,6.398490007648677,2.457278910719181e-4,2.457278939582763e-4,2023,1,1,NA
3570,CCA,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,8953740.367542982,6.867344184200444,0.0011074976946105328,0.0011074980241449518,2023,1,1,NA
3570,Dictyota,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2109591.798359344,6.317238213146865,6.12678181327317e-5,6.126781818161219e-5,2023,1,1,NA
3570,Dictyota,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,7065272.0419842815,6.8452215526764135,4.039585218749901e-4,4.0395853307981764e-4,2023,1,1,NA
3570,Pocillopora verrucosa,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2700990.1068124413,6.43152265678945,6.573578872731388e-5,6.573578877506052e-5,2023,1,1,NA
3570,Pocillopora verrucosa,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,7802129.3235080205,6.891702681087294,1.7359190185940553e-4,1.735919027481364e-4,2023,1,1,NA
3570,Turf,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2526097.3702343768,6.402384530898583,1.6730263183215244e-4,1.6730263263496525e-4,2023,1,1,NA
3570,Turf,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,10202443.272492286,7.005787397605258,0.0010168763784271784,0.001016876555010477,2023,1,1,NA
4315,CCA,Day,3585,depletolite,Organic nitrogen compounds,2031419.163976563,6.306949864442476,1.963347658163738e-4,1.963347671899079e-4,3585,0.5714285714285714,7,NA
4315,CCA,Night,3585,depletolite,Organic nitrogen compounds,5072926.445542972,6.705027789221302,7.160860206381367e-4,7.160860890486095e-4,3585,0.5714285714285714,7,NA
4315,Dictyota,Day,3585,depletolite,Organic nitrogen compounds,2478999.3171796957,6.393279907247055,6.971186171149045e-5,6.971186176867682e-5,3585,0.5714285714285714,7,NA
4315,Dictyota,Night,3585,depletolite,Organic nitrogen compounds,7888457.889203107,6.896857969038255,4.5362723518919094e-4,4.5362725078326293e-4,3585,0.5714285714285714,7,NA
4315,Pocillopora verrucosa,Day,3585,depletolite,Organic nitrogen compounds,3357433.9041132852,6.525751704583955,8.187264570669518e-5,8.187264580033493e-5,3585,0.5714285714285714,7,NA
4315,Pocillopora verrucosa,Night,3585,depletolite,Organic nitrogen compounds,18450026.25114069,7.260448283732153,4.0777915827501163e-4,4.0777917012699e-4,3585,0.5714285714285714,7,NA
4315,Porites lobata,Day,3585,depletolite,Organic nitrogen compounds,2701713.169724617,6.431497901576444,2.1667429467616737e-4,2.1667429646007392e-4,3585,0.5714285714285714,7,NA
4315,Porites lobata,Night,3585,depletolite,Organic nitrogen compounds,6871476.053767579,6.829448324456543,9.178686262806858e-4,9.178687684364742e-4,3585,0.5714285714285714,7,NA
4315,Turf,Day,3585,depletolite,Organic nitrogen compounds,2571453.0932382876,6.410166086290349,1.699640364792918e-4,1.6996403731062447e-4,3585,0.5714285714285714,7,NA
4315,Turf,Night,3585,depletolite,Organic nitrogen compounds,6692211.879488283,6.823056391438113,6.673745932481329e-4,6.673746430514048e-4,3585,0.5714285714285714,7,NA
4665,CCA,Day,1758,depletolite,Organic nitrogen compounds,92642807.47089553,7.966449581557967,0.009171788759979744,0.009171945571974673,1758,0.7,10,NA
4665,CCA,Night,1758,depletolite,Organic nitrogen compounds,6111830.26766802,6.720370754783419,9.711432770011212e-4,9.711436308798228e-4,1758,0.7,10,NA
4665,Dictyota,Night,1758,depletolite,Organic nitrogen compounds,1367895.1759414128,6.134826302490383,7.907599354759548e-5,7.907599363401121e-5,1758,0.7,10,NA
4665,Turf,Night,1758,depletolite,Organic nitrogen compounds,77361285.98015848,7.888321825921467,0.007753859782153343,0.007753937767918816,1758,0.7,10,NA
4685,Turf,Night,564,recalcitrant,Organic nitrogen compounds,71088392.89857227,7.850459494125217,0.007102720459627853,0.007102780211598984,564,0.6666666666666666,3,NA
4796,CCA,Night,378,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Aminoxides,653802.5529160216,5.815006762444698,9.202487956496134e-5,9.202487970835899e-5,378,1,1,NA
5215,Pocillopora verrucosa,Day,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,0,0,0,0,5504,1,1,NA
5215,Pocillopora verrucosa,Night,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,0,0,0,0,5504,1,1,NA
5215,Turf,Night,5504,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,2657364.08419141,3.362740569173429,2.493983164158384e-4,2.4939832675747667e-4,5504,1,1,NA
5247,CCA,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,79631670.76038098,7.6963419124491175,0.00922636647307887,0.009226786446133714,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,CCA,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,104859998.70835158,7.991653256472117,0.016121617511293738,0.016122924799450454,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,Dictyota,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,168696393.06133008,8.226936538335174,0.009699351324907629,0.00969950369472209,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,Pocillopora verrucosa,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,135701306.01780078,4.216807012342551,0.003121829363420064,0.0031218496469642867,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,Pocillopora verrucosa,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,151236886.02903515,8.17964295940272,0.0033605879644558446,0.003360594320745461,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,Turf,Day,-1,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,128271387.6458126,7.9619100395520395,0.008961093110872165,0.008961409480154291,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5247,Turf,Night,-1,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,204619673.7373535,8.31074306646018,0.020508616675277154,0.02051005986969466,-5247,1,NA,"1-Pyrrolidineethanol, .alpha.-phenyl-.beta.-propyl-"
5386,CCA,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,17194035.04807617,7.1317578091820915,0.0020999410300396788,0.0020999435123510084,2023,1,1,NA
5386,Dictyota,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1621901.520042969,6.165288242953735,4.86510866396888e-5,4.865108667526376e-5,2023,1,1,NA
5386,Dictyota,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,9306868.998347629,6.927068957502309,5.477104644314295e-4,5.477105092539982e-4,2023,1,1,NA
5386,Pocillopora verrucosa,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,1872759.7054140565,6.262676589939048,4.505722252216982e-5,4.5057222538544205e-5,2023,1,1,NA
5386,Pocillopora verrucosa,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,17257819.73801557,7.236975740474119,3.8329520309858273e-4,3.8329521250174127e-4,2023,1,1,NA
5386,Turf,Day,2023,recalcitrant,Organic nitrogen compounds;Organonitrogen compounds;Amines,5863229.076082038,6.764899325541028,3.9157110054797203e-4,3.9157111175660707e-4,2023,1,1,NA
5386,Turf,Night,2023,depletolite,Organic nitrogen compounds;Organonitrogen compounds;Amines,20578933.816265658,7.313052295542208,0.0020611465012981512,0.0020611479632830993,2023,1,1,NA
5910,CCA,Night,3585,depletolite,Organic nitrogen compounds,1507171.1508222825,6.17563454955736,2.1964034374725527e-4,2.1964034608593322e-4,3585,0.5714285714285714,7,NA
5910,Dictyota,Night,3585,depletolite,Organic nitrogen compounds,4456275.002453091,6.639604980512624,2.538153486182684e-4,2.5381535153845536e-4,3585,0.5714285714285714,7,NA
5910,Pocillopora verrucosa,Night,3585,depletolite,Organic nitrogen compounds,3258395.1548573934,6.502652231972254,7.288483614308782e-5,7.288483621934105e-5,3585,0.5714285714285714,7,NA
5910,Turf,Night,3585,depletolite,Organic nitrogen compounds,1701102.438132807,6.230671500295225,1.706564446910883e-4,1.7065644552541977e-4,3585,0.5714285714285714,7,NA
