superclass,class,subclass,DayNight,Organism,xic
Lipids and lipid-like molecules,Sphingolipids,Ceramides,Day,Porites lobata,5304492.155431649
Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Day,CCA,1337329.0841250103
Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Day,Dictyota,1442836.1513867327
Lipids and lipid-like molecules,Steroids and steroid derivatives,"Bile acids, alcohols and derivatives",Night,Pocillopora verrucosa,7336361.333675883
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Day,CCA,18185081.169630878
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Day,Dictyota,2449854631.0909414
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Day,Pocillopora verrucosa,508200042.3197999
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Day,Porites lobata,11470531.102130864
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Day,Turf,8869132.209345704
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Night,Dictyota,157352916.6385311
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Night,Pocillopora verrucosa,178897977.50790042
Organic acids and derivatives,No Consensus Reached,No Consensus Reached,Night,Porites lobata,4802818.642675793
Organic acids and derivatives,Carboxylic acids and derivatives,No Consensus Reached,Day,Dictyota,37204231.35307218
Organic acids and derivatives,Carboxylic acids and derivatives,No Consensus Reached,Day,Pocillopora verrucosa,12965593.428167999
Organic acids and derivatives,Carboxylic acids and derivatives,No Consensus Reached,Night,Turf,1452320.0914023486
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Day,CCA,2748689.163070297
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Day,Dictyota,161288995.9999119
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Day,Pocillopora verrucosa,98796145.94091998
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Day,Porites lobata,137514759.47526363
