DayNight,test,term,comparison,estimate,conf.low,conf.high,adj.p.value
Day,TF,Organism,Dictyota-CCA,0.06776847830343025,0.018914319097421438,0.11662263750943905,0.003887472622540966
Day,TF,Organism,Pocillopora verrucosa-CCA,0.07309540129199332,0.024241242085984514,0.12194956049800212,0.0018658252860264124
Day,TF,Organism,Turf-CCA,0.05832139170641071,0.0094672325004019,0.10717555091241951,0.014221451109336258
Day,TF,Organism,Water control-CCA,-0.13812520717520904,-0.18697936638121784,-0.08927104796920024,6.012112505615619e-7
Day,TF,Organism,Porites lobata-Dictyota,-0.09462708066024916,-0.14348123986625796,-0.045772921454240355,1.0372762714794259e-4
Day,TF,Organism,Water control-Dictyota,-0.2058936854786393,-0.2547478446846481,-0.1570395262726305,1.158200202411308e-9
Day,TF,Organism,Porites lobata-Pocillopora verrucosa,-0.09995400364881224,-0.14880816285482104,-0.05109984444280343,5.232916279818145e-5
Day,TF,Organism,Water control-Pocillopora verrucosa,-0.21122060846720236,-0.2600747676732112,-0.16236644926119356,7.644120891825423e-10
Day,TF,Organism,Turf-Porites lobata,0.08517999406322962,0.036325834857220816,0.13403415326923843,3.6076332997336813e-4
Day,TF,Organism,Water control-Porites lobata,-0.11126660481839012,-0.16012076402439893,-0.062412445612381316,1.2848895092676393e-5
Day,TF,Organism,Water control-Turf,-0.19644659888161975,-0.24530075808762855,-0.14759243967561095,2.479973781888134e-9
Night,TF,Organism,Porites lobata-CCA,0.13826770966283464,0.061078406262638135,0.21545701306303114,2.642664278397211e-4
Night,TF,Organism,Water control-CCA,0.07734869879727135,1.5939539707485184e-4,0.15453800219746786,0.04935547188102374
Night,TF,Organism,Porites lobata-Dictyota,0.09241725849804272,0.015227955097846219,0.16960656189823922,0.013895062031870964
Night,TF,Organism,Porites lobata-Pocillopora verrucosa,0.11973035907719343,0.042541055676996925,0.19691966247738993,0.001290910313446414
Day,change_per_hour,Organism,Porites lobata-CCA,-0.004662194077030182,-0.006638341865213587,-0.0026860462888467773,7.95671380671159e-6
Day,change_per_hour,Organism,Turf-CCA,0.0036747202557925983,0.0016985724676091933,0.005650868043976003,1.7000213338602688e-4
Day,change_per_hour,Organism,Water control-CCA,-0.012951026212396025,-0.01492717400057943,-0.01097487842421262,6.941114349956479e-13
Day,change_per_hour,Organism,Pocillopora verrucosa-Dictyota,-0.0032142841570890306,-0.0051904319452724355,-0.0012381363689056256,7.806632572330274e-4
Day,change_per_hour,Organism,Porites lobata-Dictyota,-0.005978785263199244,-0.007954933051382649,-0.004002637475015839,2.1816466344581897e-7
Day,change_per_hour,Organism,Turf-Dictyota,0.0023581290696235366,3.819812814401316e-4,0.0043342768578069416,0.014267774879165751
Day,change_per_hour,Organism,Water control-Dictyota,-0.014267617398565087,-0.016243765186748492,-0.012291469610381682,1.8030021919912542e-13
Day,change_per_hour,Organism,Porites lobata-Pocillopora verrucosa,-0.0027645011061102134,-0.004740648894293618,-7.883533179268085e-4,0.0035909010924491946
Day,change_per_hour,Organism,Turf-Pocillopora verrucosa,0.005572413226712567,0.003596265438529162,0.007548561014895972,6.251567943316161e-7
Day,change_per_hour,Organism,Water control-Pocillopora verrucosa,-0.011053333241476056,-0.013029481029659461,-0.009077185453292651,9.254819133275305e-12
Day,change_per_hour,Organism,Turf-Porites lobata,0.00833691433282278,0.006360766544639376,0.010313062121006186,1.13910547661078e-9
Day,change_per_hour,Organism,Water control-Porites lobata,-0.008288832135365843,-0.010264979923549248,-0.006312684347182438,1.2512983982304604e-9
Day,change_per_hour,Organism,Water control-Turf,-0.016625746468188624,-0.01860189425637203,-0.014649598680005219,3.552713678800501e-14
Night,change_per_hour,Organism,Dictyota-CCA,0.0035870660126376755,0.0018182712419174015,0.005355860783357949,5.852714163046002e-5
Night,change_per_hour,Organism,Pocillopora verrucosa-CCA,0.009982379731787623,0.008213584961067348,0.011751174502507898,7.893241615875013e-12
Night,change_per_hour,Organism,Porites lobata-CCA,0.005078302239341866,0.0033095074686215918,0.006847097010062139,4.78765403100212e-7
Night,change_per_hour,Organism,Turf-CCA,0.0031772443551808215,0.0014084495844605474,0.004946039125901095,2.5582803503076956e-4
Night,change_per_hour,Organism,Water control-CCA,-0.0026974029269707517,-0.0044661976976910255,-9.286081562504777e-4,0.001537881321823087
Night,change_per_hour,Organism,Pocillopora verrucosa-Dictyota,0.006395313719149948,0.004626518948429674,0.008164108489870222,1.3678174815012767e-8
Night,change_per_hour,Organism,Water control-Dictyota,-0.006284468939608427,-0.008053263710328702,-0.004515674168888153,1.8056330430837875e-8
Night,change_per_hour,Organism,Porites lobata-Pocillopora verrucosa,-0.0049040774924457575,-0.006672872263166031,-0.0031352827217254837,8.019750348253751e-7
Night,change_per_hour,Organism,Turf-Pocillopora verrucosa,-0.006805135376606802,-0.008573930147327076,-0.005036340605886528,5.059210828051164e-9
Night,change_per_hour,Organism,Water control-Pocillopora verrucosa,-0.012679782658758375,-0.01444857742947865,-0.0109109878880381,1.9828583219805296e-13
Night,change_per_hour,Organism,Turf-Porites lobata,-0.0019010578841610441,-0.003669852654881318,-1.322631134407701e-4,0.031043561473809156
Night,change_per_hour,Organism,Water control-Porites lobata,-0.007775705166312617,-0.009544499937032892,-0.0060069103955923435,5.826379378959246e-10
Night,change_per_hour,Organism,Water control-Turf,-0.005874647282151573,-0.007643442052871847,-0.004105852511431299,5.20945160342734e-8
