Plate Name,Gate Name,Table Code,sample_name,Organism,DayNight,Timepoint,Replicate,Event Count,Mean SSC,Mean SYBR,Cells µL-1,% Parent,% Total
DORCIERR_T0D-T3D,SYBR Polygon,E10,D_PV_2_T2D,Pocillopora verrucosa,Day,T2,2,22919,2065.521729,233997.8125,467.734694,0.8600322699999999,0.8600322699999999
DORCIERR_T0D-T3D,SYBR Polygon,E11,D_PV_3_T2D,Pocillopora verrucosa,Day,T2,3,22398,1926.372314,208317.375,447.96,0.8654225099999999,0.8654225099999999
DORCIERR_T0D-T3D,SYBR Polygon,E12,D_PV_4_T2D,Pocillopora verrucosa,Day,T2,4,21987,2093.897461,225686.84375,439.74,0.880713,0.880713
DORCIERR_T0D-T3D,SYBR Polygon,D9,D_PL_1_T2D,Porites lobata,Day,T2,1,14284,1975.613159,211965.03125,291.510204,0.81599543,0.81599543
DORCIERR_T0D-T3D,SYBR Polygon,D10,D_PL_2_T2D,Porites lobata,Day,T2,2,15729,2136.730713,223018.53125,321,0.82853982,0.82853982
DORCIERR_T0D-T3D,SYBR Polygon,D11,D_PL_3_T2D,Porites lobata,Day,T2,3,13182,1871.44519,210210.703125,269.020408,0.8124499199999999,0.8124499199999999
DORCIERR_T0D-T3D,SYBR Polygon,D12,D_PL_4_T2D,Porites lobata,Day,T2,4,14724,2017.359253,217259.0625,300.489796,0.82686584,0.82686584
DORCIERR_T0D-T3D,SYBR Polygon,F1,D_TR_1_T2D,Turf,Day,T2,1,30453,1690.362671,174129.84375,609.06,0.88182661,0.88182661
DORCIERR_T0D-T3D,SYBR Polygon,F2,D_TR_2_T2D,Turf,Day,T2,2,27189,1733.643677,171235.65625,554.877551,0.8623763,0.8623763
DORCIERR_T0D-T3D,SYBR Polygon,F3,D_TR_3_T2D,Turf,Day,T2,3,28474,1726.504883,185881.390625,581.102041,0.8635812199999999,0.8635812199999999
DORCIERR_T0D-T3D,SYBR Polygon,F4,D_TR_4_T2D,Turf,Day,T2,4,31090,1759.884888,190594.34375,621.8,0.8814606899999999,0.8814606899999999
DORCIERR_T0D-T3D,SYBR Polygon,F5,D_WA_1_T3D,Water control,Day,T3,1,15894,2142.470703,176780.0625,317.88,0.69744175,0.69744175
DORCIERR_T0D-T3D,SYBR Polygon,F6,D_WA_2_T3D,Water control,Day,T3,2,16247,1897.863647,193181.9375,331.571429,0.73712626,0.73712626
DORCIERR_T0D-T3D,SYBR Polygon,F7,D_WA_3_T3D,Water control,Day,T3,3,15037,1992.390869,194961.609375,306.877551,0.7237678099999999,0.7237678099999999
DORCIERR_T0D-T3D,SYBR Polygon,F8,D_WA_4_T3D,Water control,Day,T3,4,15480,1972.182983,171043.0625,315.918367,0.7509823900000001,0.7509823900000001
DORCIERR_T0D-T3D,SYBR Polygon,G1,D_CC_1_T3D,CCA,Day,T3,1,26593,1959.502319,173179.21875,542.714286,0.83303574,0.83303574
DORCIERR_T0D-T3D,SYBR Polygon,G2,D_CC_2_T3D,CCA,Day,T3,2,26421,1911.387085,177509.6875,528.42,0.8448772099999999,0.8448772099999999
DORCIERR_T0D-T3D,SYBR Polygon,G3,D_CC_3_T3D,CCA,Day,T3,3,26728,1826.936279,180441.484375,545.469388,0.8623048099999999,0.8623048099999999
DORCIERR_T0D-T3D,SYBR Polygon,G4,D_CC_4_T3D,CCA,Day,T3,4,26242,2166.955811,204727.390625,535.55102,0.85467692,0.85467692
DORCIERR_T0D-T3D,SYBR Polygon,G5,D_DT_1_T3D,Dictyota,Day,T3,1,34783,1786.032104,181411.3125,695.66,0.85443022,0.85443022
DORCIERR_T0D-T3D,SYBR Polygon,G6,D_DT_2_T3D,Dictyota,Day,T3,2,36345,1770.777466,180893.046875,741.734694,0.86223667,0.86223667
DORCIERR_T0D-T3D,SYBR Polygon,G7,D_DT_3_T3D,Dictyota,Day,T3,3,33096,1813.559814,179756.21875,675.428571,0.8591454199999999,0.8591454199999999
DORCIERR_T0D-T3D,SYBR Polygon,G8,D_DT_4_T3D,Dictyota,Day,T3,4,35949,1797.930908,173752.1875,733.653061,0.85782805,0.85782805
DORCIERR_T0D-T3D,SYBR Polygon,G9,D_PV_1_T3D,Pocillopora verrucosa,Day,T3,1,24869,2062.208984,192704.890625,507.530612,0.86168185,0.86168185
DORCIERR_T0D-T3D,SYBR Polygon,G10,D_PV_2_T3D,Pocillopora verrucosa,Day,T3,2,27377,2175.944092,213857.0625,558.714286,0.87673733,0.87673733
DORCIERR_T0D-T3D,SYBR Polygon,G11,D_PV_3_T3D,Pocillopora verrucosa,Day,T3,3,27202,2246.944092,215927.9375,555.142857,0.8884606599999999,0.8884606599999999
DORCIERR_T0D-T3D,SYBR Polygon,G12,D_PV_4_T3D,Pocillopora verrucosa,Day,T3,4,30047,1905.476563,202711.3125,600.94,0.89692537,0.89692537
DORCIERR_T0D-T3D,SYBR Polygon,F9,D_PL_1_T3D,Porites lobata,Day,T3,1,18566,1959.12793,193007.640625,371.32,0.7978513100000001,0.7978513100000001
DORCIERR_T0D-T3D,SYBR Polygon,F10,D_PL_2_T3D,Porites lobata,Day,T3,2,18903,1925.472656,202884.171875,378.06,0.80087277,0.80087277
DORCIERR_T0D-T3D,SYBR Polygon,F11,D_PL_3_T3D,Porites lobata,Day,T3,3,17727,1876.443115,198390.1875,361.77551,0.81815664,0.81815664
DORCIERR_T0D-T3D,SYBR Polygon,F12,D_PL_4_T3D,Porites lobata,Day,T3,4,18728,2010.955078,191979.765625,374.56,0.78732081,0.78732081
DORCIERR_T0D-T3D,SYBR Polygon,H1,D_TR_1_T3D,Turf,Day,T3,1,34813,1636.668579,144469.796875,696.26,0.8716106299999999,0.8716106299999999
DORCIERR_T0D-T3D,SYBR Polygon,H2,D_TR_2_T3D,Turf,Day,T3,2,33900,1630.234985,143292.34375,678,0.87166697,0.87166697
DORCIERR_T0D-T3D,SYBR Polygon,H3,D_TR_3_T3D,Turf,Day,T3,3,31402,1905.904297,160533.78125,640.857143,0.88071799,0.88071799
DORCIERR_T0D-T3D,SYBR Polygon,H4,D_TR_4_T3D,Turf,Day,T3,4,35916,1651.632324,149094.390625,732.979592,0.88016468,0.88016468
DORCIERR_T4D-TFD,SYBR Polygon,A1,D_WA_1_T4D,Water control,Day,T4,1,19829,1743.799072,216752.671875,404.673469,0.6004421,0.6004421
DORCIERR_T4D-TFD,SYBR Polygon,A2,D_WA_2_T4D,Water control,Day,T4,2,19529,1790.585693,230283.375,398.55102,0.63987549,0.63987549
DORCIERR_T4D-TFD,SYBR Polygon,A3,D_WA_3_T4D,Water control,Day,T4,3,20158,1752.744385,199560.71875,411.387755,0.7124730499999999,0.7124730499999999
DORCIERR_T4D-TFD,SYBR Polygon,A4,D_WA_4_T4D,Water control,Day,T4,4,19572,1881.074341,238491.4375,399.428571,0.73543005,0.73543005
DORCIERR_T4D-TFD,SYBR Polygon,A9,D_CC_1_T4D,CCA,Day,T4,1,32226,1730.861206,194917.734375,644.52,0.7737149200000001,0.7737149200000001
DORCIERR_T4D-TFD,SYBR Polygon,A10,D_CC_2_T4D,CCA,Day,T4,2,31949,1752.101563,204147.84375,652.020408,0.80372821,0.80372821
DORCIERR_T4D-TFD,SYBR Polygon,A11,D_CC_3_T4D,CCA,Day,T4,3,31410,1753.889038,209023.34375,641.020408,0.7787281500000001,0.7787281500000001
DORCIERR_T4D-TFD,SYBR Polygon,A12,D_CC_4_T4D,CCA,Day,T4,4,33169,1737.276733,205538.53125,676.918367,0.7992144999999999,0.7992144999999999
DORCIERR_T4D-TFD,SYBR Polygon,B1,D_DT_1_T4D,Dictyota,Day,T4,1,41559,1729.254517,217597.1875,848.142857,0.80177104,0.80177104
