Plate Name,Gate Name,Table Code,sample_name,Organism,DayNight,Timepoint,Replicate,Event Count,Mean SSC,Mean SYBR,Cells µL-1,% Parent,% Total
DORCIERR_T4D-TFD,SYBR Polygon,E8,D_PL_4_T6D,Porites lobata,Day,T6,4,26877,1751.088989,200890.40625,537.54,0.86410108,0.86410108
DORCIERR_T4D-TFD,SYBR Polygon,F9,D_TR_1_T6D,Turf,Day,T6,1,38105,1626.617188,159653.421875,777.653061,0.8514512999999999,0.8514512999999999
DORCIERR_T4D-TFD,SYBR Polygon,F10,D_TR_2_T6D,Turf,Day,T6,2,36471,1610.059814,175136.265625,744.306122,0.8615468199999999,0.8615468199999999
DORCIERR_T4D-TFD,SYBR Polygon,F11,D_TR_3_T6D,Turf,Day,T6,3,36585,1702.811401,178135.859375,746.632653,0.8655074500000001,0.8655074500000001
DORCIERR_T4D-TFD,SYBR Polygon,F12,D_TR_4_T6D,Turf,Day,T6,4,38943,1652.21582,169570.484375,778.86,0.8737687599999999,0.8737687599999999
DORCIERR_T4D-TFD,SYBR Polygon,G1,D_WA_1_TFD,Water control,Day,TF,1,23916,1806.680786,175535.3125,478.32,0.7950797900000001,0.7950797900000001
DORCIERR_T4D-TFD,SYBR Polygon,G2,D_WA_2_TFD,Water control,Day,TF,2,22979,1800.975952,186644.796875,459.58,0.7609696300000001,0.7609696300000001
DORCIERR_T4D-TFD,SYBR Polygon,G3,D_WA_3_TFD,Water control,Day,TF,3,21747,1881.161133,191830.65625,434.94,0.78773499,0.78773499
DORCIERR_T4D-TFD,SYBR Polygon,G4,D_WA_4_TFD,Water control,Day,TF,4,20509,1724.43396,196766.953125,410.18,0.7785665500000001,0.7785665500000001
DORCIERR_T4D-TFD,SYBR Polygon,G9,D_CC_1_TFD,CCA,Day,TF,1,31120,1841.929077,181969.46875,622.4,0.8007204400000001,0.8007204400000001
DORCIERR_T4D-TFD,SYBR Polygon,G10,D_CC_2_TFD,CCA,Day,TF,2,30250,1753.692627,175967.765625,617.346939,0.82149743,0.82149743
DORCIERR_T4D-TFD,SYBR Polygon,G11,D_CC_3_TFD,CCA,Day,TF,3,29160,1735.634888,172667.328125,595.102041,0.81877913,0.81877913
DORCIERR_T4D-TFD,SYBR Polygon,G12,D_CC_4_TFD,CCA,Day,TF,4,30603,1713.814453,168865.578125,612.06,0.82559081,0.82559081
DORCIERR_T4D-TFD,SYBR Polygon,H1,D_DT_1_TFD,Dictyota,Day,TF,1,34302,1772.055298,165756.125,700.040816,0.8070868900000001,0.8070868900000001
DORCIERR_T4D-TFD,SYBR Polygon,H2,D_DT_2_TFD,Dictyota,Day,TF,2,33186,1768.75061,171748.296875,677.265306,0.82433305,0.82433305
DORCIERR_T4D-TFD,SYBR Polygon,H3,D_DT_3_TFD,Dictyota,Day,TF,3,35548,1772.088135,182318.859375,725.469388,0.81063577,0.81063577
DORCIERR_T4D-TFD,SYBR Polygon,H4,D_DT_4_TFD,Dictyota,Day,TF,4,37218,1775.347534,170627.421875,759.55102,0.80778747,0.80778747
DORCIERR_T4D-TFD,SYBR Polygon,H5,D_PV_1_TFD,Pocillopora verrucosa,Day,TF,1,32912,1882.395386,175022.359375,671.673469,0.85198033,0.85198033
DORCIERR_T4D-TFD,SYBR Polygon,H6,D_PV_2_TFD,Pocillopora verrucosa,Day,TF,2,34573,1880.528931,181353.125,705.571429,0.8455537099999999,0.8455537099999999
DORCIERR_T4D-TFD,SYBR Polygon,H7,D_PV_3_TFD,Pocillopora verrucosa,Day,TF,3,37026,1798.757568,167508.203125,755.632653,0.8718154,0.8718154
DORCIERR_T4D-TFD,SYBR Polygon,H8,D_PV_4_TFD,Pocillopora verrucosa,Day,TF,4,37545,1850.303955,189421.53125,766.22449,0.85697656,0.85697656
DORCIERR_T4D-TFD,SYBR Polygon,G5,D_PL_1_TFD,Porites lobata,Day,TF,1,27281,1668.072998,170735.5625,556.755102,0.84550301,0.84550301
DORCIERR_T4D-TFD,SYBR Polygon,G6,D_PL_2_TFD,Porites lobata,Day,TF,2,30023,1658.145508,181920.875,612.714286,0.86834418,0.86834418
DORCIERR_T4D-TFD,SYBR Polygon,G7,D_PL_3_TFD,Porites lobata,Day,TF,3,28435,1746.175903,187145.484375,580.306122,0.84454543,0.84454543
DORCIERR_T4D-TFD,SYBR Polygon,G8,D_PL_4_TFD,Porites lobata,Day,TF,4,27602,1728.66626,173305.859375,552.04,0.8415757100000001,0.8415757100000001
DORCIERR_T4D-TFD,SYBR Polygon,H9,D_TR_1_TFD,Turf,Day,TF,1,33360,1734.092896,146604.9375,680.816327,0.7887270700000001,0.7887270700000001
DORCIERR_T4D-TFD,SYBR Polygon,H10,D_TR_2_TFD,Turf,Day,TF,2,34315,1722.765869,160267.5,686.3,0.8337180200000001,0.8337180200000001
DORCIERR_T4D-TFD,SYBR Polygon,H11,D_TR_3_TFD,Turf,Day,TF,3,33754,1654.680786,149469.375,688.857143,0.81531401,0.81531401
DORCIERR_T4D-TFD,SYBR Polygon,H12,D_TR_4_TFD,Turf,Day,TF,4,36458,1707.785889,160313.859375,744.040816,0.86156537,0.86156537
DORCIERR_T0N-T3N,SYBR Polygon,A1,D_WA_1_T0N,Water control,Night,T0,1,8765,2062.342041,212925.0625,178.877551,0.30636141,0.30636141
DORCIERR_T0N-T3N,SYBR Polygon,A2,D_WA_2_T0N,Water control,Night,T0,2,9620,1980.940674,196141.234375,196.326531,0.24641393,0.24641393
