Tree#	Groups	WScore	
1	AL_2_T1-D_CC_2_TFD	0.811253
1	AL_2_T3-D_CC_2_TFD	0.535367
1	AR_2_T2-D_CC_2_TFD	0.324388
1	AW_2_T1-D_CC_2_TFD	0.437755
1	AW_2_T2-D_CC_2_TFD	0.291207
1	AW_2_T3-D_CC_2_TFD	0.451997
1	CL_2_T1-D_CC_2_TFD	0.663157
1	CL_2_T2-D_CC_2_TFD	0.404369
1	CR_2_T3-D_CC_2_TFD	0.496009
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFD	0.521228
1	D_CC_1_T0D-D_CC_2_TFD	0.304099
1	D_CC_1_T0N-D_CC_2_TFD	0.449627
1	D_CC_1_TFD-D_CC_2_TFD	0.074954
1	D_CC_1_TFN-D_CC_2_TFD	0.372213
1	D_CC_2_T0D-D_CC_2_TFD	0.342847
1	D_CC_2_T0N-D_CC_2_TFD	0.478039
1	AL_2_T1-D_CC_2_TFN	0.824768
1	AL_2_T3-D_CC_2_TFN	0.540389
1	AR_2_T2-D_CC_2_TFN	0.308007
1	AW_2_T1-D_CC_2_TFN	0.384931
1	AW_2_T2-D_CC_2_TFN	0.369712
1	AW_2_T3-D_CC_2_TFN	0.476367
1	CL_2_T1-D_CC_2_TFN	0.621565
1	CL_2_T2-D_CC_2_TFN	0.350973
1	CR_2_T3-D_CC_2_TFN	0.465935
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFN	0.385633
1	D_CC_1_T0D-D_CC_2_TFN	0.309874
1	D_CC_1_T0N-D_CC_2_TFN	0.428371
1	D_CC_1_TFD-D_CC_2_TFN	0.250391
1	D_CC_1_TFN-D_CC_2_TFN	0.195703
1	D_CC_2_T0D-D_CC_2_TFN	0.350888
1	D_CC_2_T0N-D_CC_2_TFN	0.455393
1	D_CC_2_TFD-D_CC_2_TFN	0.224334
1	AL_2_T1-D_CC_3_TFD	0.834094
1	AL_2_T3-D_CC_3_TFD	0.544994
1	AR_2_T2-D_CC_3_TFD	0.307977
1	AW_2_T1-D_CC_3_TFD	0.430231
1	AW_2_T2-D_CC_3_TFD	0.298344
1	AW_2_T3-D_CC_3_TFD	0.428304
1	CL_2_T1-D_CC_3_TFD	0.675935
1	CL_2_T2-D_CC_3_TFD	0.395267
1	CR_2_T3-D_CC_3_TFD	0.496368
1	DORCIERR_D_WA_2_TFN-D_CC_3_TFD	0.524038
1	D_CC_1_T0D-D_CC_3_TFD	0.272126
1	D_CC_1_T0N-D_CC_3_TFD	0.413701
1	D_CC_1_TFD-D_CC_3_TFD	0.076746
1	D_CC_1_TFN-D_CC_3_TFD	0.355396
1	D_CC_2_T0D-D_CC_3_TFD	0.295735
1	D_CC_2_T0N-D_CC_3_TFD	0.442843
1	D_CC_2_TFD-D_CC_3_TFD	0.074808
1	D_CC_2_TFN-D_CC_3_TFD	0.201103
1	AL_2_T1-D_CC_3_TFN	0.788449
1	AL_2_T3-D_CC_3_TFN	0.500293
1	AR_2_T2-D_CC_3_TFN	0.350377
1	AW_2_T1-D_CC_3_TFN	0.361492
1	AW_2_T2-D_CC_3_TFN	0.422681
1	AW_2_T3-D_CC_3_TFN	0.530340
1	CL_2_T1-D_CC_3_TFN	0.571014
1	CL_2_T2-D_CC_3_TFN	0.342220
1	CR_2_T3-D_CC_3_TFN	0.428044
1	DORCIERR_D_WA_2_TFN-D_CC_3_TFN	0.324119
1	D_CC_1_T0D-D_CC_3_TFN	0.303481
1	D_CC_1_T0N-D_CC_3_TFN	0.437813
1	D_CC_1_TFD-D_CC_3_TFN	0.333293
1	D_CC_1_TFN-D_CC_3_TFN	0.141358
1	D_CC_2_T0D-D_CC_3_TFN	0.360567
1	D_CC_2_T0N-D_CC_3_TFN	0.464895
1	D_CC_2_TFD-D_CC_3_TFN	0.306822
1	D_CC_2_TFN-D_CC_3_TFN	0.108538
1	D_CC_3_TFD-D_CC_3_TFN	0.287084
1	AL_2_T1-D_CC_4_TFD	0.838324
1	AL_2_T3-D_CC_4_TFD	0.557336
1	AR_2_T2-D_CC_4_TFD	0.322829
1	AW_2_T1-D_CC_4_TFD	0.439860
1	AW_2_T2-D_CC_4_TFD	0.302634
1	AW_2_T3-D_CC_4_TFD	0.432445
1	CL_2_T1-D_CC_4_TFD	0.686702
1	CL_2_T2-D_CC_4_TFD	0.408418
1	CR_2_T3-D_CC_4_TFD	0.511510
1	DORCIERR_D_WA_2_TFN-D_CC_4_TFD	0.536506
1	D_CC_1_T0D-D_CC_4_TFD	0.288783
1	D_CC_1_T0N-D_CC_4_TFD	0.418876
1	D_CC_1_TFD-D_CC_4_TFD	0.066176
1	D_CC_1_TFN-D_CC_4_TFD	0.368418
1	D_CC_2_T0D-D_CC_4_TFD	0.301163
1	D_CC_2_T0N-D_CC_4_TFD	0.446864
1	D_CC_2_TFD-D_CC_4_TFD	0.072769
1	D_CC_2_TFN-D_CC_4_TFD	0.216589
1	D_CC_3_TFD-D_CC_4_TFD	0.032390
1	D_CC_3_TFN-D_CC_4_TFD	0.301487
1	AL_2_T1-D_CC_4_TFN	0.786473
1	AL_2_T3-D_CC_4_TFN	0.469478
1	AR_2_T2-D_CC_4_TFN	0.476999
1	AW_2_T1-D_CC_4_TFN	0.461881
1	AW_2_T2-D_CC_4_TFN	0.537436
1	AW_2_T3-D_CC_4_TFN	0.621083
1	CL_2_T1-D_CC_4_TFN	0.547024
1	CL_2_T2-D_CC_4_TFN	0.466225
1	CR_2_T3-D_CC_4_TFN	0.496451
1	DORCIERR_D_WA_2_TFN-D_CC_4_TFN	0.184123
1	D_CC_1_T0D-D_CC_4_TFN	0.422624
1	D_CC_1_T0N-D_CC_4_TFN	0.541428
1	D_CC_1_TFD-D_CC_4_TFN	0.458799
1	D_CC_1_TFN-D_CC_4_TFN	0.119051
1	D_CC_2_T0D-D_CC_4_TFN	0.481020
1	D_CC_2_T0N-D_CC_4_TFN	0.554462
1	D_CC_2_TFD-D_CC_4_TFN	0.427926
1	D_CC_2_TFN-D_CC_4_TFN	0.265789
1	D_CC_3_TFD-D_CC_4_TFN	0.415099
1	D_CC_3_TFN-D_CC_4_TFN	0.207786
1	D_CC_4_TFD-D_CC_4_TFN	0.427623
1	AL_2_T1-D_DT_1_T0D	0.853978
1	AL_2_T3-D_DT_1_T0D	0.591409
1	AR_2_T2-D_DT_1_T0D	0.378721
1	AW_2_T1-D_DT_1_T0D	0.493343
1	AW_2_T2-D_DT_1_T0D	0.416400
1	AW_2_T3-D_DT_1_T0D	0.264790
1	CL_2_T1-D_DT_1_T0D	0.710710
1	CL_2_T2-D_DT_1_T0D	0.423357
1	CR_2_T3-D_DT_1_T0D	0.434674
1	DORCIERR_D_WA_2_TFN-D_DT_1_T0D	0.616676
1	D_CC_1_T0D-D_DT_1_T0D	0.270107
1	D_CC_1_T0N-D_DT_1_T0D	0.183164
1	D_CC_1_TFD-D_DT_1_T0D	0.317688
1	D_CC_1_TFN-D_DT_1_T0D	0.458315
1	D_CC_2_T0D-D_DT_1_T0D	0.215415
1	D_CC_2_T0N-D_DT_1_T0D	0.203067
1	D_CC_2_TFD-D_DT_1_T0D	0.346619
1	D_CC_2_TFN-D_DT_1_T0D	0.361989
1	D_CC_3_TFD-D_DT_1_T0D	0.319798
1	D_CC_3_TFN-D_DT_1_T0D	0.412296
1	D_CC_4_TFD-D_DT_1_T0D	0.320416
1	D_CC_4_TFN-D_DT_1_T0D	0.525296
1	AL_2_T1-D_DT_1_T0N	0.910293
1	AL_2_T3-D_DT_1_T0N	0.633318
1	AR_2_T2-D_DT_1_T0N	0.424873
1	AW_2_T1-D_DT_1_T0N	0.522171
1	AW_2_T2-D_DT_1_T0N	0.475225
1	AW_2_T3-D_DT_1_T0N	0.288343
1	CL_2_T1-D_DT_1_T0N	0.746119
1	CL_2_T2-D_DT_1_T0N	0.452136
1	CR_2_T3-D_DT_1_T0N	0.465189
1	DORCIERR_D_WA_2_TFN-D_DT_1_T0N	0.605136
1	D_CC_1_T0D-D_DT_1_T0N	0.275356
1	D_CC_1_T0N-D_DT_1_T0N	0.115386
1	D_CC_1_TFD-D_DT_1_T0N	0.372798
1	D_CC_1_TFN-D_DT_1_T0N	0.469511
1	D_CC_2_T0D-D_DT_1_T0N	0.187706
1	D_CC_2_T0N-D_DT_1_T0N	0.139697
1	D_CC_2_TFD-D_DT_1_T0N	0.416779
1	D_CC_2_TFN-D_DT_1_T0N	0.392085
1	D_CC_3_TFD-D_DT_1_T0N	0.377725
1	D_CC_3_TFN-D_DT_1_T0N	0.400420
1	D_CC_4_TFD-D_DT_1_T0N	0.383800
1	D_CC_4_TFN-D_DT_1_T0N	0.508202
1	D_DT_1_T0D-D_DT_1_T0N	0.124038
1	AL_2_T1-D_DT_1_TFN	0.754890
1	AL_2_T3-D_DT_1_TFN	0.460224
1	AR_2_T2-D_DT_1_TFN	0.409626
1	AW_2_T1-D_DT_1_TFN	0.402015
1	AW_2_T2-D_DT_1_TFN	0.470744
1	AW_2_T3-D_DT_1_TFN	0.571237
1	CL_2_T1-D_DT_1_TFN	0.535910
1	CL_2_T2-D_DT_1_TFN	0.405852
1	CR_2_T3-D_DT_1_TFN	0.458271
1	DORCIERR_D_WA_2_TFN-D_DT_1_TFN	0.287971
1	D_CC_1_T0D-D_DT_1_TFN	0.350036
1	D_CC_1_T0N-D_DT_1_TFN	0.499859
1	D_CC_1_TFD-D_DT_1_TFN	0.391409
1	D_CC_1_TFN-D_DT_1_TFN	0.146586
1	D_CC_2_T0D-D_DT_1_TFN	0.419158
1	D_CC_2_T0N-D_DT_1_TFN	0.515748
1	D_CC_2_TFD-D_DT_1_TFN	0.354426
1	D_CC_2_TFN-D_DT_1_TFN	0.219875
1	D_CC_3_TFD-D_DT_1_TFN	0.343358
1	D_CC_3_TFN-D_DT_1_TFN	0.151179
1	D_CC_4_TFD-D_DT_1_TFN	0.357626
1	D_CC_4_TFN-D_DT_1_TFN	0.177679
1	D_DT_1_T0D-D_DT_1_TFN	0.456063
1	D_DT_1_T0N-D_DT_1_TFN	0.438344
1	AL_2_T1-D_DT_2_T0D	0.865165
1	AL_2_T3-D_DT_2_T0D	0.599182
1	AR_2_T2-D_DT_2_T0D	0.381583
1	AW_2_T1-D_DT_2_T0D	0.498578
1	AW_2_T2-D_DT_2_T0D	0.422329
1	AW_2_T3-D_DT_2_T0D	0.256083
