Tree#	Groups	WScore	
1	AL_2_T1-AL_2_T3	0.175139
1	AL_2_T1-AR_2_T2	0.361408
1	AL_2_T3-AR_2_T2	0.236352
1	AL_2_T1-AW_2_T1	0.341706
1	AL_2_T3-AW_2_T1	0.239786
1	AR_2_T2-AW_2_T1	0.202131
1	AL_2_T1-AW_2_T2	0.396459
1	AL_2_T3-AW_2_T2	0.298144
1	AR_2_T2-AW_2_T2	0.135685
1	AW_2_T1-AW_2_T2	0.221028
1	AL_2_T1-AW_2_T3	0.525304
1	AL_2_T3-AW_2_T3	0.385309
1	AR_2_T2-AW_2_T3	0.250213
1	AW_2_T1-AW_2_T3	0.334442
1	AW_2_T2-AW_2_T3	0.255193
1	AL_2_T1-CL_2_T1	0.128310
1	AL_2_T3-CL_2_T1	0.171133
1	AR_2_T2-CL_2_T1	0.315437
1	AW_2_T1-CL_2_T1	0.293368
1	AW_2_T2-CL_2_T1	0.358494
1	AW_2_T3-CL_2_T1	0.471909
1	AL_2_T1-CL_2_T2	0.326601
1	AL_2_T3-CL_2_T2	0.187701
1	AR_2_T2-CL_2_T2	0.145235
1	AW_2_T1-CL_2_T2	0.192894
1	AW_2_T2-CL_2_T2	0.222501
1	AW_2_T3-CL_2_T2	0.295211
1	CL_2_T1-CL_2_T2	0.261287
1	AL_2_T1-CR_2_T3	0.269102
1	AL_2_T3-CR_2_T3	0.154369
1	AR_2_T2-CR_2_T3	0.261287
1	AW_2_T1-CR_2_T3	0.274151
1	AW_2_T2-CR_2_T3	0.330414
1	AW_2_T3-CR_2_T3	0.318447
1	CL_2_T1-CR_2_T3	0.232274
1	CL_2_T2-CR_2_T3	0.197495
1	AL_2_T1-DORCIERR_D_WA_2_TFN	0.219128
1	AL_2_T3-DORCIERR_D_WA_2_TFN	0.213685
1	AR_2_T2-DORCIERR_D_WA_2_TFN	0.311538
1	AW_2_T1-DORCIERR_D_WA_2_TFN	0.240612
1	AW_2_T2-DORCIERR_D_WA_2_TFN	0.350942
1	AW_2_T3-DORCIERR_D_WA_2_TFN	0.475898
1	CL_2_T1-DORCIERR_D_WA_2_TFN	0.186519
1	CL_2_T2-DORCIERR_D_WA_2_TFN	0.302627
1	CR_2_T3-DORCIERR_D_WA_2_TFN	0.276940
1	AL_2_T1-D_CC_1_T0D	0.376536
1	AL_2_T3-D_CC_1_T0D	0.268598
1	AR_2_T2-D_CC_1_T0D	0.222693
1	AW_2_T1-D_CC_1_T0D	0.305029
1	AW_2_T2-D_CC_1_T0D	0.296508
1	AW_2_T3-D_CC_1_T0D	0.347663
1	CL_2_T1-D_CC_1_T0D	0.330836
1	CL_2_T2-D_CC_1_T0D	0.202806
1	CR_2_T3-D_CC_1_T0D	0.222112
1	DORCIERR_D_WA_2_TFN-D_CC_1_T0D	0.294924
1	AL_2_T1-D_CC_1_T0N	0.616393
1	AL_2_T3-D_CC_1_T0N	0.501240
1	AR_2_T2-D_CC_1_T0N	0.416978
1	AW_2_T1-D_CC_1_T0N	0.481144
1	AW_2_T2-D_CC_1_T0N	0.468020
1	AW_2_T3-D_CC_1_T0N	0.316443
1	CL_2_T1-D_CC_1_T0N	0.567928
1	CL_2_T2-D_CC_1_T0N	0.411962
1	CR_2_T3-D_CC_1_T0N	0.414415
1	DORCIERR_D_WA_2_TFN-D_CC_1_T0N	0.497722
1	D_CC_1_T0D-D_CC_1_T0N	0.291371
1	AL_2_T1-D_CC_1_TFD	0.462523
1	AL_2_T3-D_CC_1_TFD	0.382065
1	AR_2_T2-D_CC_1_TFD	0.267364
1	AW_2_T1-D_CC_1_TFD	0.333979
1	AW_2_T2-D_CC_1_TFD	0.246956
1	AW_2_T3-D_CC_1_TFD	0.378285
1	CL_2_T1-D_CC_1_TFD	0.423490
1	CL_2_T2-D_CC_1_TFD	0.326623
1	CR_2_T3-D_CC_1_TFD	0.393424
1	DORCIERR_D_WA_2_TFN-D_CC_1_TFD	0.351553
1	D_CC_1_T0D-D_CC_1_TFD	0.275360
1	D_CC_1_T0N-D_CC_1_TFD	0.404128
1	AL_2_T1-D_CC_1_TFN	0.288861
1	AL_2_T3-D_CC_1_TFN	0.244369
1	AR_2_T2-D_CC_1_TFN	0.274685
1	AW_2_T1-D_CC_1_TFN	0.198912
1	AW_2_T2-D_CC_1_TFN	0.312442
1	AW_2_T3-D_CC_1_TFN	0.430721
1	CL_2_T1-D_CC_1_TFN	0.247946
1	CL_2_T2-D_CC_1_TFN	0.261834
1	CR_2_T3-D_CC_1_TFN	0.288985
1	DORCIERR_D_WA_2_TFN-D_CC_1_TFN	0.106721
1	D_CC_1_T0D-D_CC_1_TFN	0.254480
1	D_CC_1_T0N-D_CC_1_TFN	0.428497
1	D_CC_1_TFD-D_CC_1_TFN	0.271675
1	AL_2_T1-D_CC_2_T0D	0.516032
1	AL_2_T3-D_CC_2_T0D	0.408560
1	AR_2_T2-D_CC_2_T0D	0.320649
1	AW_2_T1-D_CC_2_T0D	0.380457
1	AW_2_T2-D_CC_2_T0D	0.368956
1	AW_2_T3-D_CC_2_T0D	0.362301
1	CL_2_T1-D_CC_2_T0D	0.473256
1	CL_2_T2-D_CC_2_T0D	0.321901
1	CR_2_T3-D_CC_2_T0D	0.368580
1	DORCIERR_D_WA_2_TFN-D_CC_2_T0D	0.395855
1	D_CC_1_T0D-D_CC_2_T0D	0.157640
1	D_CC_1_T0N-D_CC_2_T0D	0.227447
1	D_CC_1_TFD-D_CC_2_T0D	0.285870
1	D_CC_1_TFN-D_CC_2_T0D	0.325255
1	AL_2_T1-D_CC_2_T0N	0.614161
1	AL_2_T3-D_CC_2_T0N	0.502149
1	AR_2_T2-D_CC_2_T0N	0.429816
1	AW_2_T1-D_CC_2_T0N	0.493490
1	AW_2_T2-D_CC_2_T0N	0.481141
1	AW_2_T3-D_CC_2_T0N	0.308109
1	CL_2_T1-D_CC_2_T0N	0.565503
1	CL_2_T2-D_CC_2_T0N	0.424137
1	CR_2_T3-D_CC_2_T0N	0.414999
1	DORCIERR_D_WA_2_TFN-D_CC_2_T0N	0.496064
1	D_CC_1_T0D-D_CC_2_T0N	0.293382
1	D_CC_1_T0N-D_CC_2_T0N	0.045126
1	D_CC_1_TFD-D_CC_2_T0N	0.426029
1	D_CC_1_TFN-D_CC_2_T0N	0.434720
1	D_CC_2_T0D-D_CC_2_T0N	0.249662
1	AL_2_T1-D_CC_2_TFD	0.406132
1	AL_2_T3-D_CC_2_TFD	0.335847
1	AR_2_T2-D_CC_2_TFD	0.234309
1	AW_2_T1-D_CC_2_TFD	0.304134
1	AW_2_T2-D_CC_2_TFD	0.214215
1	AW_2_T3-D_CC_2_TFD	0.378720
1	CL_2_T1-D_CC_2_TFD	0.368386
1	CL_2_T2-D_CC_2_TFD	0.287796
1	CR_2_T3-D_CC_2_TFD	0.346054
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFD	0.303082
1	D_CC_1_T0D-D_CC_2_TFD	0.256033
1	D_CC_1_T0N-D_CC_2_TFD	0.426205
1	D_CC_1_TFD-D_CC_2_TFD	0.054772
1	D_CC_1_TFN-D_CC_2_TFD	0.239446
1	D_CC_2_T0D-D_CC_2_TFD	0.307472
1	D_CC_2_T0N-D_CC_2_TFD	0.443571
1	AL_2_T1-D_CC_2_TFN	0.368040
1	AL_2_T3-D_CC_2_TFN	0.306246
1	AR_2_T2-D_CC_2_TFN	0.208661
1	AW_2_T1-D_CC_2_TFN	0.225578
1	AW_2_T2-D_CC_2_TFN	0.255907
1	AW_2_T3-D_CC_2_TFN	0.383579
1	CL_2_T1-D_CC_2_TFN	0.322977
1	CL_2_T2-D_CC_2_TFN	0.249334
1	CR_2_T3-D_CC_2_TFN	0.316757
1	DORCIERR_D_WA_2_TFN-D_CC_2_TFN	0.211192
1	D_CC_1_T0D-D_CC_2_TFN	0.231746
1	D_CC_1_T0N-D_CC_2_TFN	0.392399
1	D_CC_1_TFD-D_CC_2_TFN	0.181951
1	D_CC_1_TFN-D_CC_2_TFN	0.121807
1	D_CC_2_T0D-D_CC_2_TFN	0.285084
1	D_CC_2_T0N-D_CC_2_TFN	0.406844
1	D_CC_2_TFD-D_CC_2_TFN	0.157802
1	AL_2_T1-D_CC_3_TFD	0.426012
1	AL_2_T3-D_CC_3_TFD	0.349399
1	AR_2_T2-D_CC_3_TFD	0.234085
1	AW_2_T1-D_CC_3_TFD	0.293776
1	AW_2_T2-D_CC_3_TFD	0.217911
1	AW_2_T3-D_CC_3_TFD	0.368166
1	CL_2_T1-D_CC_3_TFD	0.387073
1	CL_2_T2-D_CC_3_TFD	0.293818
1	CR_2_T3-D_CC_3_TFD	0.360456
1	DORCIERR_D_WA_2_TFN-D_CC_3_TFD	0.309033
1	D_CC_1_T0D-D_CC_3_TFD	0.243188
1	D_CC_1_T0N-D_CC_3_TFD	0.400214
1	D_CC_1_TFD-D_CC_3_TFD	0.054886
1	D_CC_1_TFN-D_CC_3_TFD	0.229917
1	D_CC_2_T0D-D_CC_3_TFD	0.276171
1	D_CC_2_T0N-D_CC_3_TFD	0.421461
1	D_CC_2_TFD-D_CC_3_TFD	0.059166
1	D_CC_2_TFN-D_CC_3_TFD	0.140288
1	AL_2_T1-D_CC_3_TFN	0.319855
1	AL_2_T3-D_CC_3_TFN	0.264894
1	AR_2_T2-D_CC_3_TFN	0.231887
1	AW_2_T1-D_CC_3_TFN	0.198320
1	AW_2_T2-D_CC_3_TFN	0.284745
1	AW_2_T3-D_CC_3_TFN	0.415432
1	CL_2_T1-D_CC_3_TFN	0.275987
1	CL_2_T2-D_CC_3_TFN	0.230883
1	CR_2_T3-D_CC_3_TFN	0.278301
1	DORCIERR_D_WA_2_TFN-D_CC_3_TFN	0.162805
1	D_CC_1_T0D-D_CC_3_TFN	0.211732
1	D_CC_1_T0N-D_CC_3_TFN	0.384578
1	D_CC_1_TFD-D_CC_3_TFN	0.241814
1	D_CC_1_TFN-D_CC_3_TFN	0.084423
1	D_CC_2_T0D-D_CC_3_TFN	0.278323
1	D_CC_2_T0N-D_CC_3_TFN	0.398281
1	D_CC_2_TFD-D_CC_3_TFN	0.215531
1	D_CC_2_TFN-D_CC_3_TFN	0.074220
1	D_CC_3_TFD-D_CC_3_TFN	0.200904
1	AL_2_T1-D_CC_4_TFD	0.428528
1	AL_2_T3-D_CC_4_TFD	0.356803
1	AR_2_T2-D_CC_4_TFD	0.240676
1	AW_2_T1-D_CC_4_TFD	0.294996
1	AW_2_T2-D_CC_4_TFD	0.227014
1	AW_2_T3-D_CC_4_TFD	0.375110
1	CL_2_T1-D_CC_4_TFD	0.389911
1	CL_2_T2-D_CC_4_TFD	0.300800
1	CR_2_T3-D_CC_4_TFD	0.367136
1	DORCIERR_D_WA_2_TFN-D_CC_4_TFD	0.307498
1	D_CC_1_T0D-D_CC_4_TFD	0.245020
1	D_CC_1_T0N-D_CC_4_TFD	0.404870
1	D_CC_1_TFD-D_CC_4_TFD	0.058545
1	D_CC_1_TFN-D_CC_4_TFD	0.226960
1	D_CC_2_T0D-D_CC_4_TFD	0.276643
1	D_CC_2_T0N-D_CC_4_TFD	0.421841
1	D_CC_2_TFD-D_CC_4_TFD	0.062702
1	D_CC_2_TFN-D_CC_4_TFD	0.138070
1	D_CC_3_TFD-D_CC_4_TFD	0.020595
1	D_CC_3_TFN-D_CC_4_TFD	0.197140
1	AL_2_T1-D_CC_4_TFN	0.286439
1	AL_2_T3-D_CC_4_TFN	0.236758
1	AR_2_T2-D_CC_4_TFN	0.296120
1	AW_2_T1-D_CC_4_TFN	0.211673
1	AW_2_T2-D_CC_4_TFN	0.335700
1	AW_2_T3-D_CC_4_TFN	0.446331
1	CL_2_T1-D_CC_4_TFN	0.245418
1	CL_2_T2-D_CC_4_TFN	0.284622
1	CR_2_T3-D_CC_4_TFN	0.294285
1	DORCIERR_D_WA_2_TFN-D_CC_4_TFN	0.084509
1	D_CC_1_T0D-D_CC_4_TFN	0.273282
1	D_CC_1_T0N-D_CC_4_TFN	0.442665
1	D_CC_1_TFD-D_CC_4_TFN	0.305864
1	D_CC_1_TFN-D_CC_4_TFN	0.058971
1	D_CC_2_T0D-D_CC_4_TFN	0.343196
1	D_CC_2_T0N-D_CC_4_TFN	0.445928
1	D_CC_2_TFD-D_CC_4_TFN	0.268825
1	D_CC_2_TFN-D_CC_4_TFN	0.156959
1	D_CC_3_TFD-D_CC_4_TFN	0.263783
1	D_CC_3_TFN-D_CC_4_TFN	0.112652
1	D_CC_4_TFD-D_CC_4_TFN	0.260753
1	AL_2_T1-D_DT_1_T0D	0.523226
1	AL_2_T3-D_DT_1_T0D	0.421149
1	AR_2_T2-D_DT_1_T0D	0.328084
1	AW_2_T1-D_DT_1_T0D	0.404438
1	AW_2_T2-D_DT_1_T0D	0.369647
1	AW_2_T3-D_DT_1_T0D	0.246414
1	CL_2_T1-D_DT_1_T0D	0.477542
1	CL_2_T2-D_DT_1_T0D	0.345992
1	CR_2_T3-D_DT_1_T0D	0.335962
1	DORCIERR_D_WA_2_TFN-D_DT_1_T0D	0.428492
1	D_CC_1_T0D-D_DT_1_T0D	0.250445
1	D_CC_1_T0N-D_DT_1_T0D	0.187782
1	D_CC_1_TFD-D_DT_1_T0D	0.301850
1	D_CC_1_TFN-D_DT_1_T0D	0.344160
1	D_CC_2_T0D-D_DT_1_T0D	0.219385
1	D_CC_2_T0N-D_DT_1_T0D	0.199313
1	D_CC_2_TFD-D_DT_1_T0D	0.310943
1	D_CC_2_TFN-D_DT_1_T0D	0.295307
1	D_CC_3_TFD-D_DT_1_T0D	0.296206
1	D_CC_3_TFN-D_DT_1_T0D	0.330390
1	D_CC_4_TFD-D_DT_1_T0D	0.295753
1	D_CC_4_TFN-D_DT_1_T0D	0.384905
1	AL_2_T1-D_DT_1_T0N	0.540297
1	AL_2_T3-D_DT_1_T0N	0.456451
1	AR_2_T2-D_DT_1_T0N	0.369495
1	AW_2_T1-D_DT_1_T0N	0.414474
1	AW_2_T2-D_DT_1_T0N	0.414376
1	AW_2_T3-D_DT_1_T0N	0.280099
1	CL_2_T1-D_DT_1_T0N	0.501821
1	CL_2_T2-D_DT_1_T0N	0.375728
1	CR_2_T3-D_DT_1_T0N	0.370494
1	DORCIERR_D_WA_2_TFN-D_DT_1_T0N	0.420894
1	D_CC_1_T0D-D_DT_1_T0N	0.261119
1	D_CC_1_T0N-D_DT_1_T0N	0.128662
1	D_CC_1_TFD-D_DT_1_T0N	0.349034
1	D_CC_1_TFN-D_DT_1_T0N	0.352685
1	D_CC_2_T0D-D_DT_1_T0N	0.195385
1	D_CC_2_T0N-D_DT_1_T0N	0.143281
1	D_CC_2_TFD-D_DT_1_T0N	0.363008
1	D_CC_2_TFN-D_DT_1_T0N	0.324534
1	D_CC_3_TFD-D_DT_1_T0N	0.337993
1	D_CC_3_TFN-D_DT_1_T0N	0.315003
1	D_CC_4_TFD-D_DT_1_T0N	0.338983
1	D_CC_4_TFN-D_DT_1_T0N	0.368426
1	D_DT_1_T0D-D_DT_1_T0N	0.134659
1	AL_2_T1-D_DT_1_TFN	0.283204
1	AL_2_T3-D_DT_1_TFN	0.238816
1	AR_2_T2-D_DT_1_TFN	0.264327
1	AW_2_T1-D_DT_1_TFN	0.198431
1	AW_2_T2-D_DT_1_TFN	0.309737
1	AW_2_T3-D_DT_1_TFN	0.426744
1	CL_2_T1-D_DT_1_TFN	0.245929
1	CL_2_T2-D_DT_1_TFN	0.257565
1	CR_2_T3-D_DT_1_TFN	0.281527
1	DORCIERR_D_WA_2_TFN-D_DT_1_TFN	0.124977
1	D_CC_1_T0D-D_DT_1_TFN	0.247026
1	D_CC_1_T0N-D_DT_1_TFN	0.422176
1	D_CC_1_TFD-D_DT_1_TFN	0.271555
1	D_CC_1_TFN-D_DT_1_TFN	0.065614
1	D_CC_2_T0D-D_DT_1_TFN	0.313261
1	D_CC_2_T0N-D_DT_1_TFN	0.425499
1	D_CC_2_TFD-D_DT_1_TFN	0.239033
1	D_CC_2_TFN-D_DT_1_TFN	0.132691
1	D_CC_3_TFD-D_DT_1_TFN	0.228283
1	D_CC_3_TFN-D_DT_1_TFN	0.084559
1	D_CC_4_TFD-D_DT_1_TFN	0.225998
1	D_CC_4_TFN-D_DT_1_TFN	0.078634
1	D_DT_1_T0D-D_DT_1_TFN	0.354594
1	D_DT_1_T0N-D_DT_1_TFN	0.330261
1	AL_2_T1-D_DT_2_T0D	0.537579
1	AL_2_T3-D_DT_2_T0D	0.429922
1	AR_2_T2-D_DT_2_T0D	0.329899
1	AW_2_T1-D_DT_2_T0D	0.409367
1	AW_2_T2-D_DT_2_T0D	0.373356
1	AW_2_T3-D_DT_2_T0D	0.246455
1	CL_2_T1-D_DT_2_T0D	0.489364
1	CL_2_T2-D_DT_2_T0D	0.353583
1	CR_2_T3-D_DT_2_T0D	0.344677
1	DORCIERR_D_WA_2_TFN-D_DT_2_T0D	0.438285
1	D_CC_1_T0D-D_DT_2_T0D	0.255059
1	D_CC_1_T0N-D_DT_2_T0D	0.179252
1	D_CC_1_TFD-D_DT_2_T0D	0.301394
1	D_CC_1_TFN-D_DT_2_T0D	0.352250
1	D_CC_2_T0D-D_DT_2_T0D	0.215266
1	D_CC_2_T0N-D_DT_2_T0D	0.189886
1	D_CC_2_TFD-D_DT_2_T0D	0.312701
1	D_CC_2_TFN-D_DT_2_T0D	0.296647
1	D_CC_3_TFD-D_DT_2_T0D	0.297220
1	D_CC_3_TFN-D_DT_2_T0D	0.335641
1	D_CC_4_TFD-D_DT_2_T0D	0.296859
1	D_CC_4_TFN-D_DT_2_T0D	0.388442
1	D_DT_1_T0D-D_DT_2_T0D	0.033378
1	D_DT_1_T0N-D_DT_2_T0D	0.133063
1	D_DT_1_TFN-D_DT_2_T0D	0.360616
1	AL_2_T1-D_DT_2_T0N	0.510827
1	AL_2_T3-D_DT_2_T0N	0.431600
1	AR_2_T2-D_DT_2_T0N	0.344355
1	AW_2_T1-D_DT_2_T0N	0.387163
1	AW_2_T2-D_DT_2_T0N	0.392692
1	AW_2_T3-D_DT_2_T0N	0.288744
1	CL_2_T1-D_DT_2_T0N	0.471537
1	CL_2_T2-D_DT_2_T0N	0.349727
1	CR_2_T3-D_DT_2_T0N	0.344611
1	DORCIERR_D_WA_2_TFN-D_DT_2_T0N	0.394199
1	D_CC_1_T0D-D_DT_2_T0N	0.237031
1	D_CC_1_T0N-D_DT_2_T0N	0.165126
1	D_CC_1_TFD-D_DT_2_T0N	0.325909
1	D_CC_1_TFN-D_DT_2_T0N	0.322791
1	D_CC_2_T0D-D_DT_2_T0N	0.194048
1	D_CC_2_T0N-D_DT_2_T0N	0.179063
1	D_CC_2_TFD-D_DT_2_T0N	0.338796
1	D_CC_2_TFN-D_DT_2_T0N	0.297010
1	D_CC_3_TFD-D_DT_2_T0N	0.313782
1	D_CC_3_TFN-D_DT_2_T0N	0.286297
1	D_CC_4_TFD-D_DT_2_T0N	0.313769
1	D_CC_4_TFN-D_DT_2_T0N	0.340597
1	D_DT_1_T0D-D_DT_2_T0N	0.145345
1	D_DT_1_T0N-D_DT_2_T0N	0.058653
1	D_DT_1_TFN-D_DT_2_T0N	0.301711
1	D_DT_2_T0D-D_DT_2_T0N	0.147159
1	AL_2_T1-D_DT_2_TFD	0.350615
1	AL_2_T3-D_DT_2_TFD	0.298836
1	AR_2_T2-D_DT_2_TFD	0.207584
1	AW_2_T1-D_DT_2_TFD	0.264531
1	AW_2_T2-D_DT_2_TFD	0.246632
1	AW_2_T3-D_DT_2_TFD	0.382345
1	CL_2_T1-D_DT_2_TFD	0.318803
1	CL_2_T2-D_DT_2_TFD	0.253002
1	CR_2_T3-D_DT_2_TFD	0.314154
1	DORCIERR_D_WA_2_TFN-D_DT_2_TFD	0.243118
1	D_CC_1_T0D-D_DT_2_TFD	0.231345
1	D_CC_1_T0N-D_DT_2_TFD	0.426981
1	D_CC_1_TFD-D_DT_2_TFD	0.136741
1	D_CC_1_TFN-D_DT_2_TFD	0.176889
1	D_CC_2_T0D-D_DT_2_TFD	0.303288
1	D_CC_2_T0N-D_DT_2_TFD	0.440717
1	D_CC_2_TFD-D_DT_2_TFD	0.108951
1	D_CC_2_TFN-D_DT_2_TFD	0.094717
1	D_CC_3_TFD-D_DT_2_TFD	0.095863
1	D_CC_3_TFN-D_DT_2_TFD	0.145297
1	D_CC_4_TFD-D_DT_2_TFD	0.095680
1	D_CC_4_TFN-D_DT_2_TFD	0.211611
1	D_DT_1_T0D-D_DT_2_TFD	0.295933
1	D_DT_1_T0N-D_DT_2_TFD	0.350372
1	D_DT_1_TFN-D_DT_2_TFD	0.172154
1	D_DT_2_T0D-D_DT_2_TFD	0.302472
